Keyword,Likely Meaning,Explanation,NP_flag,MAR_flag
DESC. / DESCABEZADO,Descabezado,“Headed” or “head removed.” Refers to fish that have been decapitated but otherwise whole.,no / not that I know of,no / not that I know of
ENT. / ENTERO / ENT,Entero,"“Whole.” Refers to fish sold or landed whole, not processed.",no / not that I know of,no / not that I know of
FILETE / FILETE DE,Filete,"“Fillet.” Meat cut from the side of the fish, usually boneless.",no / not that I know of,no / not that I know of
DESV. / DESV,Desviscerado,“Gutted” — viscera removed.,no / not that I know of,no / not that I know of
DE ALTA MAR,De alta mar,“From the high seas.” Refers to offshore or deep-sea catch.,no / not that I know of,no / not that I know of
ALETA,Aleta,“Fin.” Often refers to shark fins (aleta de tiburón).,no / not that I know of,no / not that I know of
COCINERO,Cocinero,"May refer to a common name for a fish species (e.g., Pez Cocinero – a type of jack or amberjack).",no / not that I know of,no / not that I know of
SECA / SECA DE / PIEL DE SECA,Seca / seco,"“Dried.” Often means sun-dried or salted-dried product (e.g., pescado seco). “Piel de seca” = dried skin.",maybe,no / not that I know of
DE CULTIVO / DE CULTIVO VIVO,De cultivo / vivo,“From aquaculture / live.” Indicates farmed fish or live product.,no / not that I know of,yes
S.,Sin or Sur or abbreviation,Context needed — could mean “sin” (without) or part of a species name abbreviation.,no / not that I know of,no / not that I know of
CONCHA DE,Concha de,"“Shell of.” Used for shellfish (e.g., concha de abulón = abalone shell).",yes,no / not that I know of
CABEZA DE,Cabeza de,"“Head of.” Used for products sold as heads (e.g., cabeza de camarón).",maybe,no / not that I know of
FCA. / FCO,Fracción / Fracción Comercial or Francisco,"In datasets, often stands for “Fracción” (tariff or classification fraction). Context needed — could also be a producer name abbreviation.",no / not that I know of,maybe
NA,Not Available / No Aplica,Missing or not applicable data value.,no / not that I know of,no / not that I know of
