"main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean"
"ABULON","ABULON CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ABULON"
"ABULON","ABULON ENT. FCO.","ENT.","FCO.",NA,NA,NA,"ABULON"
"ABULON","ABULON CONCHA DE SECA","CONCHA DE","SECA",NA,NA,NA,"ABULON"
"ABULON","ABULON DE CULTIVO ENT. FCO.","DE CULTIVO","ENT.","FCO.",NA,NA,"ABULON"
"ABULON","ABULON AMARILLO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"ABULON AMARILLO"
"ABULON","ABULON AMARILLO CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ABULON AMARILLO"
"ABULON","ABULON AMARILLO",NA,NA,NA,NA,NA,"ABULON AMARILLO"
"ABULON","ABULON AMARILLO S.C. FCO.","S.","FCO.",NA,NA,NA,"ABULON AMARILLO C."
"ABULON","ABULON ASADO",NA,NA,NA,NA,NA,"ABULON ASADO"
"ABULON","ABULON AZUL ENT. FCO.","ENT.","FCO.",NA,NA,NA,"ABULON AZUL"
"ABULON","ABULON AZUL CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ABULON AZUL"
"ABULON","ABULON AZUL",NA,NA,NA,NA,NA,"ABULON AZUL"
"ABULON","ABULON AZUL S.C. FCO.","S.","FCO.",NA,NA,NA,"ABULON AZUL C."
"ABULON","ABULON BLANCO CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ABULON BLANCO"
"ABULON","ABULON S.C. FCO.","S.","FCO.",NA,NA,NA,"ABULON C."
"ABULON","ABULON CHINO S.C. FCO.","S.","FCO.",NA,NA,NA,"ABULON CHINO C."
"ABULON","ABULON NEGRO S.C. FCO.","S.","FCO.",NA,NA,NA,"ABULON NEGRO C."
"ABULON","ABULON ROJO CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ABULON ROJO"
"ABULON","ABULON TRIPA DE",NA,NA,NA,NA,NA,"ABULON TRIPA DE"
"ALGAS","ALGA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALGA"
"ALGAS","ALGA SECA","SECA",NA,NA,NA,NA,"ALGA"
"ALGAS","ALGA EUCHEMA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALGA EUCHEMA"
"ALGAS","ALGA GELIDIUM SECA","SECA",NA,NA,NA,NA,"ALGA GELIDIUM"
"ALGAS","ALGA GELIDIUM ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALGA GELIDIUM"
"ALGAS","ALGA GIGARTINA SECA","SECA",NA,NA,NA,NA,"ALGA GIGARTINA"
"ALGAS","ALGA GIGARTINA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALGA GIGARTINA"
"ALMEJA","ALMEJA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA"
"ALMEJA","ALMEJA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA"
"ALMEJA","ALMEJA DE CULTIVO ENT. FCA.","DE CULTIVO","ENT.","FCA.",NA,NA,"ALMEJA"
"ALMEJA","ALMEJA",NA,NA,NA,NA,NA,"ALMEJA"
"ALMEJA","ALMEJA ARENERA",NA,NA,NA,NA,NA,"ALMEJA ARENERA"
"ALMEJA","ALMEJA ARENERA ENT FCA","ENT","FCA",NA,NA,NA,"ALMEJA ARENERA"
"ALMEJA","ALMEJA BLANCA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA BLANCA"
"ALMEJA","ALMEJA BLANCA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA BLANCA"
"ALMEJA","ALMEJA BLANCA DE CULTIVO ENT. FCA.","DE CULTIVO","ENT.","FCA.",NA,NA,"ALMEJA BLANCA"
"ALMEJA","ALMEJA BLANCA (CHIONE FLUCTIFRAGA) ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA BLANCA (CHIONE FLUCTIFRAGA)"
"ALMEJA","ALMEJA BLANCA (CHIONE FLUCTIFRAGA) S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA BLANCA (CHIONE FLUCTIFRAGA) C."
"ALMEJA","ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA"
"ALMEJA","ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA"
"ALMEJA","ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA C."
"ALMEJA","ALMEJA BLANCA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA BLANCA C."
"ALMEJA","ALMEJA BURRA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA BURRA"
"ALMEJA","ALMEJA BURRA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA BURRA"
"ALMEJA","ALMEJA BURRA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA BURRA C."
"ALMEJA","ALMEJA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA C."
"ALMEJA","ALMEJA CALLO DE ARBOL ENT FCA","ENT","FCA",NA,NA,NA,"ALMEJA CALLO DE ARBOL"
"ALMEJA","ALMEJA CALLO DE ARBOL",NA,NA,NA,NA,NA,"ALMEJA CALLO DE ARBOL"
"ALMEJA","ALMEJA CATARINA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA CATARINA"
"ALMEJA","ALMEJA CATARINA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA CATARINA"
"ALMEJA","ALMEJA CATARINA DE CULTIVO ENT FCA","DE CULTIVO","ENT","FCA",NA,NA,"ALMEJA CATARINA"
"ALMEJA","ALMEJA CATARINA",NA,NA,NA,NA,NA,"ALMEJA CATARINA"
