"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
"Alopias pelagicus","TIBURON","TIBURON COLUDO DESV. Y DESC. FCO. (ALOPIAS PELAGICUS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON COLUDO (ALOPIAS PELAGICUS)","ALOPIAS PELAGICUS","Alopias pelagicus","Alopias","Alopiidae"
"Alopias pelagicus","TIBURON","ALETA FCA DE TIBURON COLUDO (ALOPIAS PELAGICUS)","ALETA","FCA",NA,NA,NA,"DE TIBURON COLUDO (ALOPIAS PELAGICUS)","ALOPIAS PELAGICUS","Alopias pelagicus","Alopias","Alopiidae"
"Alopias pelagicus","TIBURON","ALETA FCA DE TIBURON ZORRO (ALOPIAS PELAGICUS)","ALETA","FCA",NA,NA,NA,"DE TIBURON ZORRO (ALOPIAS PELAGICUS)","ALOPIAS PELAGICUS","Alopias pelagicus","Alopias","Alopiidae"
"Alopias pelagicus","TIBURON","TIBURON ZORRO DESV. FCO. (ALOPIAS PELAGICUS)","DESV.","FCO.",NA,NA,NA,"TIBURON ZORRO (ALOPIAS PELAGICUS)","ALOPIAS PELAGICUS","Alopias pelagicus","Alopias","Alopiidae"
"Alopias pelagicus","TIBURON","TIBURON COLUDO ENT. FCO. (ALOPIAS PELAGICUS)","ENT.","FCO.",NA,NA,NA,"TIBURON COLUDO (ALOPIAS PELAGICUS)","ALOPIAS PELAGICUS","Alopias pelagicus","Alopias","Alopiidae"
"Alopias pelagicus","TIBURON","TIBURON COLUDO DESV. FCO. (ALOPIAS PELAGICUS)","DESV.","FCO.",NA,NA,NA,"TIBURON COLUDO (ALOPIAS PELAGICUS)","ALOPIAS PELAGICUS","Alopias pelagicus","Alopias","Alopiidae"
"Alopias pelagicus","TIBURON","TIBURON ZORRO ENT. FCO. (ALOPIAS PELAGICUS)","ENT.","FCO.",NA,NA,NA,"TIBURON ZORRO (ALOPIAS PELAGICUS)","ALOPIAS PELAGICUS","Alopias pelagicus","Alopias","Alopiidae"
"Alopias pelagicus","TIBURON","TIBURON ZORRO DESV. Y DESC. FCO. (ALOPIAS PELAGICUS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON ZORRO (ALOPIAS PELAGICUS)","ALOPIAS PELAGICUS","Alopias pelagicus","Alopias","Alopiidae"
"Alopias superciliosus","TIBURON","ALETA SECA DE TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","ALETA","SECA DE",NA,NA,NA,"TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","ALOPIAS SUPERCILIOSUS","Alopias superciliosus","Alopias","Alopiidae"
"Alopias superciliosus","TIBURON","TIBURON ZORRO NEGRO DESV Y DESC FCO (ALOPIAS SUPERCILIOSUS)","DESV","DESC","FCO",NA,NA,"TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","ALOPIAS SUPERCILIOSUS","Alopias superciliosus","Alopias","Alopiidae"
"Alopias superciliosus","TIBURON","TIBURON ZORRO NEGRO DESV FCO (ALOPIAS SUPERCILIOSUS)","DESV","FCO",NA,NA,NA,"TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","ALOPIAS SUPERCILIOSUS","Alopias superciliosus","Alopias","Alopiidae"
"Alopias superciliosus","TIBURON","TIBURON ZORRO NEGRO FILETE (ALOPIAS SUPERCILIOSUS)","FILETE",NA,NA,NA,NA,"TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","ALOPIAS SUPERCILIOSUS","Alopias superciliosus","Alopias","Alopiidae"
"Alopias vulpinus","TIBURON","GRILLO DESV. FCO. (ALOPIAS VULPINUS)","DESV.","FCO.",NA,NA,NA,"GRILLO (ALOPIAS VULPINUS)","ALOPIAS VULPINUS","Alopias vulpinus","Alopias","Alopiidae"
"Alopias vulpinus","TIBURON","TIBURON ZORRO DESV. FCO. (ALOPIAS VULPINUS)","DESV.","FCO.",NA,NA,NA,"TIBURON ZORRO (ALOPIAS VULPINUS)","ALOPIAS VULPINUS","Alopias vulpinus","Alopias","Alopiidae"
