Index,main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean,recorded_scientific_name,recorded_scientific_name_clean,common_name_english_estimated,species_estimated,genus_estimated,family_estimated,source_of_estimate,classification_certainty
1,ANCHOVETA,ANCHOVETA ENT. FCA. (ENGRAULIS MORDAX),ENT.,FCA.,NA,NA,NA,ANCHOVETA (ENGRAULIS MORDAX),ENGRAULIS MORDAX,Engraulis mordax,Northern anchovy,Engraulis mordax,Engraulis,Engraulidae,taxize,high
2,ANCHOVETA,ANCHOVETA IND. (ENGRAULIS MORDAX),IND.,NA,NA,NA,NA,ANCHOVETA (ENGRAULIS MORDAX),ENGRAULIS MORDAX,Engraulis mordax,Northern anchovy,Engraulis mordax,Engraulis,Engraulidae,taxize,high
3,ANCHOVETA,ANCHOA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ANCHOA,NA,NA,anchovy,NA,NA,Engraulidae,logical conclusion based on research,high
4,ANCHOVETA,ANCHOA DESV. FCA.,DESV.,FCA.,NA,NA,NA,ANCHOA,NA,NA,anchovy,NA,NA,Engraulidae,logical conclusion based on research,high
5,ANCHOVETA,ANCHOVETA IND.,IND.,NA,NA,NA,NA,ANCHOVETA,NA,NA,anchovy,NA,NA,Engraulidae,logical conclusion based on research,high
6,ANCHOVETA,ANCHOVETA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ANCHOVETA,NA,NA,anchovy,NA,NA,Engraulidae,logical conclusion based on research,high
7,ANCHOVETA,BOQUERON ENT. FCO.,ENT.,FCO.,NA,NA,NA,BOQUERON,NA,NA,anchovy,NA,NA,Engraulidae,logical conclusion based on research,high
8,ANCHOVETA,MANJUA ENT. FCA.,ENT.,FCA.,NA,NA,NA,MANJUA,NA,NA,anchovy,NA,NA,Engraulidae,logical conclusion based on research,high
9,ANCHOVETA,MANJUA DESV. FCA.,DESV.,FCA.,NA,NA,NA,MANJUA,NA,NA,anchovy,NA,NA,Engraulidae,logical conclusion based on research,high
10,ATUN,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),ALETA,ENT.,FCO.,NA,NA,ATUN AMARILLA (THUNNUS ALBACARES),THUNNUS ALBACARES,Thunnus albacares,Yellowfin tuna,Thunnus albacares,Thunnus,Scombridae,taxize,high
11,ATUN,ATUN ALETA AMARILLA DESV. FCO. (THUNNUS ALBACARES),ALETA,DESV.,FCO.,NA,NA,ATUN AMARILLA (THUNNUS ALBACARES),THUNNUS ALBACARES,Thunnus albacares,Yellowfin tuna,Thunnus albacares,Thunnus,Scombridae,taxize,high
12,ATUN,ATUN ALETA AMARILLA IND. (THUNNUS ALBACARES),ALETA,IND.,NA,NA,NA,ATUN AMARILLA (THUNNUS ALBACARES),THUNNUS ALBACARES,Thunnus albacares,Yellowfin tuna,Thunnus albacares,Thunnus,Scombridae,taxize,high
