"state","main_species_group","CNP_Recommendation","Baseline_Total_Catch_2020_2022","Total_Catch_2023","CatchCompare_2023_vs_Baseline","Total_Catch_2024","CatchCompare_2024_vs_Baseline","Avg_CPUE_2020_2022","Avg_CPUE_2023","Avg_CPUE_2024"
"BAJA CALIFORNIA","ABULON",NA,79.73,112,"substantially higher",1190.26,"qc flag: > 3x higher",41.2533333333333,56,61.552380952381
"BAJA CALIFORNIA","ALGAS",NA,105666.666666667,56000,"substantially lower",32000,"substantially lower",7633.33333333333,3350,4666.66666666667
"BAJA CALIFORNIA","ALMEJA",NA,1794747.66666667,2664710,"substantially higher",1643476.4,"lower",1573.31927235129,1734.42373584906,1569.19379648411
"BAJA CALIFORNIA","ATUN",NA,2091,0,"substantially lower",2323872,"qc flag: > 3x higher",85.5242914979757,NA,15171.7222006464
"BAJA CALIFORNIA","BAGRE",NA,1496.66666666667,0,"substantially lower",0,"substantially lower",204.814814814815,NA,NA
"BAJA CALIFORNIA","BANDERA",NA,50,105,"substantially higher",20,"substantially lower",16.6666666666667,11.6666666666667,6.66666666666667
"BAJA CALIFORNIA","BAQUETA",NA,176190.333333333,290353,"substantially higher",285459.211,"substantially higher",272.955512545265,284.424536839611,221.238080091796
"BAJA CALIFORNIA","BARRILETE",NA,NA,0,"similar",709469,"similar",NA,NA,3389.81347158191
"BAJA CALIFORNIA","BERRUGATA",NA,2946923.16666667,4583180,"substantially higher",4025730.5,"substantially higher",3984.11029357106,7607.08923514213,5120.45390431054
"BAJA CALIFORNIA","BESUGO",NA,NA,150,"similar",0,"similar",NA,50,NA
"BAJA CALIFORNIA","BONITO",NA,24658.85,5,"substantially lower",2767.5,"substantially lower",166.867948717949,1.66666666666667,123.547619047619
"BAJA CALIFORNIA","CABRILLA",NA,274606.933333333,292843,"higher",320785.65,"higher",266.51669529542,206.680044687251,228.584249757163
"BAJA CALIFORNIA","CALAMAR",NA,530,1209,"substantially higher",9395,"qc flag: > 3x higher",26.7843137254902,18.4938271604938,585.520833333333
"BAJA CALIFORNIA","CAMARON",NA,949552.2,992595,"similar",697630.112,"lower",1058.35050863585,1175.15125,915.220998405104
"BAJA CALIFORNIA","CARACOL",NA,62894,102159,"substantially higher",42728,"substantially lower",234.088767388978,468.729949874687,321.725644122383
"BAJA CALIFORNIA","CARPA",NA,1843.75,375,"substantially lower",0,"substantially lower",141.71626984127,125,NA
"BAJA CALIFORNIA","CAZON",NA,111610.166666667,259952,"substantially higher",322041.76,"substantially higher",335.91935220871,458.832378175716,476.739844929628
"BAJA CALIFORNIA","CORVINA",NA,1675616.76666667,2194495,"substantially higher",1431669.26,"lower",1122.98419944099,1387.33062547012,648.798448504774
"BAJA CALIFORNIA","ERIZO",NA,4095,550,"substantially lower",13588,"qc flag: > 3x higher",143.187662337662,183.333333333333,264.47311827957
"BAJA CALIFORNIA","ESMEDREGAL",NA,NA,11,"similar",4,"similar",NA,2.75,2
"BAJA CALIFORNIA","GUACHINANGO",NA,7839.2,1897,"substantially lower",642.3,"substantially lower",83.1510535714286,30.037037037037,49.1238095238095
"BAJA CALIFORNIA","JAIBA",NA,9676.33333333333,34049,"qc flag: > 3x higher",31215,"qc flag: > 3x higher",132.64238410596,106.561111111111,129.743489583333
"BAJA CALIFORNIA","JUREL",NA,216897.783333333,215818,"similar",334927.7,"substantially higher",358.882920195659,307.690539815805,327.323997897686
"BAJA CALIFORNIA","LANGOSTA",NA,42541,53886,"higher",48562,"higher",240.525630952381,374.152469135802,448.158131176999
"BAJA CALIFORNIA","LENGUADO",NA,1256771.96666667,326269,"substantially lower",300846.85,"substantially lower",555.315063763982,205.960838326418,214.916822710453
"BAJA CALIFORNIA","LISA",NA,46104.3333333333,21226,"substantially lower",27848,"substantially lower",220.245158470562,200.871212121212,159.816086956522
"BAJA CALIFORNIA","LOBINA",NA,1350,900,"substantially lower",0,"substantially lower",174.84375,300,NA
"BAJA CALIFORNIA","MACARELA",NA,451781.666666667,142300,"substantially lower",0,"substantially lower",24119.0476190476,35575,NA
"BAJA CALIFORNIA","MERO",NA,7436.8,6302,"lower",11429.85,"substantially higher",45.1362052730697,38.6577810505646,54.3763889537254
"BAJA CALIFORNIA","MOJARRA",NA,20706.0666666667,6490,"substantially lower",17148,"lower",89.5552722073909,76.6098290598291,163.860256410256
"BAJA CALIFORNIA","ORNATO",NA,NA,255,"similar",444,"similar",NA,2.125,8.82407407407407
"BAJA CALIFORNIA","OTRAS",NA,2729873,5213038,"substantially higher",6678755.7,"substantially higher",514.791991996298,743.24896786324,1053.8719888179
"BAJA CALIFORNIA","PAMPANO",NA,3843,15048,"qc flag: > 3x higher",14449,"qc flag: > 3x higher",123.986111111111,139.800469483568,118.109053497942
"BAJA CALIFORNIA","PARGO",NA,27491.9833333333,39517,"substantially higher",45522.2,"substantially higher",100.410591081624,84.104209799862,69.2905393305267
"BAJA CALIFORNIA","PECES DE ORNATO",NA,533.206666666667,0,"substantially lower",0,"substantially lower",4.51420238095238,NA,NA
"BAJA CALIFORNIA","PEPINO DE MAR",NA,1330,5,"substantially lower",2790,"substantially higher",136.979166666667,2.5,440
"BAJA CALIFORNIA","PETO",NA,700,0,"substantially lower",0,"substantially lower",175,NA,NA
"BAJA CALIFORNIA","PIERNA",NA,30895.0333333333,13204,"substantially lower",18022.7,"substantially lower",124.527784643269,69.5372485357779,66.402147766323
"BAJA CALIFORNIA","PULPO",NA,170762.953333333,134480,"lower",187830.5,"higher",167.277918296799,147.060448995449,281.507682582467
"BAJA CALIFORNIA","RAYA Y SIMILARES",NA,268361.083333333,262449,"similar",307372.55,"higher",359.581244149143,257.572621869261,349.498298830089
"BAJA CALIFORNIA","ROBALO",NA,66,0,"substantially lower",0,"substantially lower",11,NA,NA
"BAJA CALIFORNIA","RONCO",NA,1688.26666666667,1742,"similar",3455,"substantially higher",167.234583333333,203.142857142857,571
"BAJA CALIFORNIA","RUBIA Y VILLAJAIBA",NA,217.8,0,"substantially lower",43,"substantially lower",217.8,NA,14.3333333333333
"BAJA CALIFORNIA","RUBIO",NA,315,0,"substantially lower",1.1,"substantially lower",13.125,NA,1.1
"BAJA CALIFORNIA","SARDINA",NA,2517208.08666667,3594913,"substantially higher",1896546.1,"lower",21404.0432369615,37639.7572362278,17662.0854166667
"BAJA CALIFORNIA","SARGAZO",NA,265835.166666667,264525,"similar",19200,"substantially lower",3030.18913043478,5570.95652173913,9600
"BAJA CALIFORNIA","SIERRA",NA,2475995.03333333,1877143,"lower",4006481,"substantially higher",2825.52027773489,2234.897985705,3039.14863586484
"BAJA CALIFORNIA","TIBURON",NA,457748.666666667,374653,"lower",397501.65,"lower",408.71860201357,617.72912650664,493.979629029457
"BAJA CALIFORNIA SUR","ABULON",NA,4718.93333333333,6885,"substantially higher",2822.68,"substantially lower",361.392105263158,389.981481481481,352.835
"BAJA CALIFORNIA SUR","ALGAS",NA,112128,0,"substantially lower",0,"substantially lower",10572.8,NA,NA
"BAJA CALIFORNIA SUR","ALMEJA",NA,184493.333333333,57750,"substantially lower",36743,"substantially lower",824.149580915538,280.423976608187,369.384615384615
"BAJA CALIFORNIA SUR","ANCHOVETA",NA,121,0,"substantially lower",0,"substantially lower",40.3333333333333,NA,NA
"BAJA CALIFORNIA SUR","ATUN",NA,2282.26666666667,3903,"substantially higher",6688.3,"substantially higher",38.9255685933652,69.4216666666667,33.3776923076923
"BAJA CALIFORNIA SUR","BAGRE",NA,9135,0,"substantially lower",0,"substantially lower",845.766666666667,NA,NA
"BAJA CALIFORNIA SUR","BANDERA",NA,411.533333333333,2,"substantially lower",0,"substantially lower",137.177777777778,1,NA
"BAJA CALIFORNIA SUR","BAQUETA",NA,125051.933333333,87972,"lower",97944.68,"lower",114.433929938724,91.0199960052328,90.2101088672816
"BAJA CALIFORNIA SUR","BARRILETE",NA,1150.66666666667,530,"substantially lower",300,"substantially lower",57.7797619047619,58,62.5
"BAJA CALIFORNIA SUR","BERRUGATA",NA,25631.9,6609,"substantially lower",10818.3,"substantially lower",207.977588797814,87.6277777777778,113.71768707483
"BAJA CALIFORNIA SUR","BONITO",NA,11259.2,5615,"substantially lower",35250,"qc flag: > 3x higher",461.418992248062,372.805555555556,2203.125
"BAJA CALIFORNIA SUR","CABRILLA",NA,575904.183333333,574019,"similar",554190.805,"similar",156.79613936255,153.899549167274,153.239892218084
"BAJA CALIFORNIA SUR","CALAMAR",NA,12466.3666666667,10437,"lower",3024,"substantially lower",79.8970297029703,132.437908496732,48.0405405405405
"BAJA CALIFORNIA SUR","CAMARON",NA,2577768.06666667,13481,"substantially lower",18200,"substantially lower",20675.0529441685,96.7999748005263,351.637815947493
"BAJA CALIFORNIA SUR","CARACOL",NA,75416,75207,"similar",85534,"higher",2046.39777432712,889.492682926829,1558.8591954023
"BAJA CALIFORNIA SUR","CAZON",NA,416190.233333333,638693,"substantially higher",945521.035,"substantially higher",284.214269439356,378.467704675889,616.375439985116
"BAJA CALIFORNIA SUR","CORVINA",NA,82884.4833333333,116400,"substantially higher",56664.1,"substantially lower",166.306444555154,221.193407943408,131.796434340745
"BAJA CALIFORNIA SUR","ERIZO",NA,32576,17290,"substantially lower",2300,"substantially lower",606.746642246642,652.222222222222,766.666666666667
"BAJA CALIFORNIA SUR","ESMEDREGAL",NA,227359.333333333,640,"substantially lower",147,"substantially lower",2987.22560854421,66.6666666666667,12.0555555555556
"BAJA CALIFORNIA SUR","FAUNA",NA,763.46,1042,"substantially higher",280.84,"substantially lower",11.7079039806511,8.90338074623789,8.51030303030303
"BAJA CALIFORNIA SUR","GUACHINANGO",NA,1139941.91666667,759648,"substantially lower",516987.185,"substantially lower",262.734655306286,166.543647977804,140.62095123162
"BAJA CALIFORNIA SUR","JAIBA",NA,1953.33333333333,250,"substantially lower",400,"substantially lower",88.0869565217391,24.1666666666667,40
"BAJA CALIFORNIA SUR","JUREL",NA,1444281.08333333,1238072,"lower",1101643.35,"lower",537.98581697903,382.558634921167,304.436025104732
"BAJA CALIFORNIA SUR","LANGOSTA",NA,123097,95390,"lower",84869,"substantially lower",1246.78346810422,869.341365461847,628.836482778917
"BAJA CALIFORNIA SUR","LEBRANCHA",NA,NA,0,"similar",212,"similar",NA,NA,106
"BAJA CALIFORNIA SUR","LENGUADO",NA,308760.816666667,280091,"lower",215408.62,"substantially lower",225.592606061805,208.858547602227,161.906197779329
"BAJA CALIFORNIA SUR","LISA",NA,27701.3,22878,"lower",26855,"similar",159.870701884921,133.219576719577,162.282731476579
"BAJA CALIFORNIA SUR","MACARELA",NA,17522.6666666667,985,"substantially lower",320,"substantially lower",357.882849895275,4.45991096408227,3.5216802901532
"BAJA CALIFORNIA SUR","MERO",NA,106278.25,111703,"higher",88227.09,"lower",78.8178741612021,94.3234118204804,86.7066378002528
"BAJA CALIFORNIA SUR","MOJARRA",NA,66891.7166666667,88514,"substantially higher",65266.8,"similar",65.0424664455586,73.2634488440112,67.547873963305
"BAJA CALIFORNIA SUR","OSTION",NA,2669103.66666667,2600,"substantially lower",2060,"substantially lower",4484.20653545801,59.9007936507937,19.4252169931518
"BAJA CALIFORNIA SUR","OTRAS",NA,1771636.6,1248639,"lower",1237800.24,"substantially lower",228.151183071777,160.275928435015,181.935975209463
"BAJA CALIFORNIA SUR","PAMPANO",NA,18789.7333333333,16522,"lower",20080.2,"higher",109.867840038314,131.974468085106,87.9759957123315
"BAJA CALIFORNIA SUR","PARGO",NA,691509.066666667,692460,"similar",656030.09,"lower",89.3010331694353,86.8541029418243,84.967164414002
"BAJA CALIFORNIA SUR","PEPINO DE MAR",NA,88101,0,"substantially lower",0,"substantially lower",434.457781776456,NA,NA
"BAJA CALIFORNIA SUR","PETO",NA,30000,0,"substantially lower",0,"substantially lower",10000,NA,NA
"BAJA CALIFORNIA SUR","PIERNA",NA,219162.366666667,224917,"similar",139897.85,"substantially lower",107.507804375466,116.364534778333,86.8868713359564
"BAJA CALIFORNIA SUR","PULPO",NA,410065.8,181455,"substantially lower",213181.2,"substantially lower",422.492875561545,266.414912280702,243.501161202186
"BAJA CALIFORNIA SUR","RAYA Y SIMILARES",NA,212430.316666667,189934,"lower",190992.7,"lower",191.402370878879,142.640233142028,131.108458150377
"BAJA CALIFORNIA SUR","ROBALO",NA,1006.66666666667,379,"substantially lower",455.5,"substantially lower",17.8816819291819,14.6,58.5138888888889
"BAJA CALIFORNIA SUR","RONCO",NA,8884.9,8388,"lower",1330.7,"substantially lower",124.035544965787,58.5725283446712,13.3709247648903
"BAJA CALIFORNIA SUR","SARDINA",NA,206010.666666667,11558,"substantially lower",17528,"substantially lower",5014.70640987162,59.385743985744,109.807418024227
"BAJA CALIFORNIA SUR","SARGAZO",NA,NA,38676,"similar",57000,"similar",NA,5211.6,5700
"BAJA CALIFORNIA SUR","SIERRA",NA,136653.05,94020,"substantially lower",138969.9,"similar",264.345486058682,322.907456626061,346.518570823418
"BAJA CALIFORNIA SUR","TIBURON",NA,1187393.66666667,1921803,"substantially higher",3455691.15,"substantially higher",438.609960106478,903.307619427356,1363.79085208496
"JALISCO","ATUN",NA,7423.66666666667,3455,"substantially lower",680,"substantially lower",21.0625649210089,12.0140356569027,21.9354838709677
"JALISCO","BAGRE",NA,168185.266666667,29459,"substantially lower",27977.2,"substantially lower",691.085464628734,11.3996985370662,17.1424210037857
"JALISCO","BANDERA",NA,1154,2304,"substantially higher",5773.4,"qc flag: > 3x higher",5.85531196633119,5.1634260524877,18.9991597620916
"JALISCO","BAQUETA",NA,180,421,"substantially higher",0,"substantially lower",5.80645161290323,12.7575757575758,NA
"JALISCO","BARRILETE",NA,5880,10340,"substantially higher",3262,"substantially lower",13.6872953245398,16.1559633164252,8.43285741385612
"JALISCO","BERRUGATA",NA,3044.33333333333,5536,"substantially higher",594,"substantially lower",23.4943166420619,8.13979287304408,1.67323943661972
"JALISCO","BONITO",NA,2628.66666666667,6402,"substantially higher",3794,"substantially higher",10.414784328266,10.3929915257265,20.833827709801
"JALISCO","CABRILLA",NA,10018,4613,"substantially lower",3907,"substantially lower",28.8748054834705,10.2366109987725,13.1108465307744
"JALISCO","CAMARON",NA,2711.5,89,"substantially lower",92,"substantially lower",722.592439272046,0.74380353562967,2.96774193548387
"JALISCO","CARACOL",NA,3192,0,"substantially lower",0,"substantially lower",399,NA,NA
"JALISCO","CARPA",NA,1138463.8,1223584,"higher",1213875.1,"higher",134.670107172045,117.406075674232,159.450208222532
"JALISCO","CAZON",NA,313.5,1600,"qc flag: > 3x higher",975,"qc flag: > 3x higher",10.2110671191554,20.5904761904762,16.5229885057471
"JALISCO","CHARAL",NA,389668.583333333,362611,"lower",337642,"lower",105.196602977036,65.8019212351916,119.448898816366
"JALISCO","CINTILLA",NA,1171,200,"substantially lower",538,"substantially lower",17.5948717948718,2.17204301075269,2.28884895848188
"JALISCO","CORVINA",NA,1344.25,1942,"substantially higher",1458,"higher",16.6078378955734,6.27409826187966,4.38767341297931
"JALISCO","ESMEDREGAL",NA,7319.33333333333,5107,"substantially lower",6141,"lower",33.8701115834251,8.22199989082711,19.0893000187419
"JALISCO","GUACHINANGO",NA,184857.266666667,127297,"substantially lower",107767.5,"substantially lower",44.7366248203692,27.0934494214426,34.7270334451411
"JALISCO","JAIBA",NA,8886.5,17922,"substantially higher",14156.4,"substantially higher",27.664545349484,20.8109645378155,25.8771399174158
"JALISCO","JUREL",NA,25637.3333333333,30684,"higher",32888,"higher",38.4234563501043,30.6020130009597,30.2022503170484
"JALISCO","LANGOSTA",NA,21051.3333333333,22306,"higher",20381,"similar",36.4016641510816,26.3698677851069,34.2889111465045
"JALISCO","LANGOSTINO",NA,2406,2983,"higher",3091,"higher",11.5178999519865,11.9862784131545,8.34629370544178
"JALISCO","LEBRANCHA",NA,47318,27903,"substantially lower",21310.5,"substantially lower",40.5566661563148,24.3256613123225,27.9024386738309
"JALISCO","LENGUADO",NA,5562.33333333333,3500,"substantially lower",2436,"substantially lower",32.0215930488545,10.2539202006731,14.2417818740399
"JALISCO","LISA",NA,36104.4333333333,27831,"lower",25763,"lower",43.197223969115,35.66697189588,45.852389055176
"JALISCO","LOBINA",NA,8076.16666666667,14149,"substantially higher",11582,"substantially higher",17.6353585129657,13.0327982042109,10.9873675450424
"JALISCO","MERO",NA,524,2458,"qc flag: > 3x higher",0,"substantially lower",18.7786485545106,4.93858971293058,NA
"JALISCO","MOJARRA",NA,6130673.76666667,3100559,"substantially lower",2664639.04,"substantially lower",1211.63397620303,171.544574435398,264.613474880749
"JALISCO","OSTION",NA,37104.6666666667,49847,"substantially higher",43950,"higher",73.2235299305742,73.4958659798737,80.1126737483304
"JALISCO","OTRAS",NA,269689.866666667,235688,"lower",114199.6,"substantially lower",39.378627204252,69.6374078204091,37.8183353718442
"JALISCO","PAMPANO",NA,12926.8,5190,"substantially lower",6691,"substantially lower",35.741665957685,11.651085224128,23.2101971715527
"JALISCO","PARGO",NA,152274.666666667,126455,"lower",116168.8,"lower",31.8939551833659,18.1600130157047,25.6795757431566
"JALISCO","PECES DE ORNATO",NA,5094,0,"substantially lower",0,"substantially lower",1273.5,NA,NA
"JALISCO","PETO",NA,2800,0,"substantially lower",0,"substantially lower",94.9596774193548,NA,NA
"JALISCO","PULPO",NA,81115,57325,"lower",76461,"lower",38.177375670393,25.9994357261136,53.0928261629597
"JALISCO","RAYA Y SIMILARES",NA,2447.33333333333,420,"substantially lower",2250,"lower",44.6806806296592,15,14.755933721451
"JALISCO","ROBALO",NA,49492.9,37320,"lower",32028.5,"substantially lower",36.087817094379,19.6619433469356,22.055525168802
"JALISCO","RONCO",NA,295.5,511,"substantially higher",0,"substantially lower",19.3880952380952,16.4838709677419,NA
"JALISCO","SIERRA",NA,72432,52519,"lower",40015,"substantially lower",37.966658568502,22.9065751846219,24.6046812545574
"JALISCO","TIBURON",NA,2970.03333333333,346,"substantially lower",78,"substantially lower",10.3690816096714,2.25483870967742,2.51612903225806
"JALISCO","TRUCHA",NA,6907.33333333333,0,"substantially lower",0,"substantially lower",813.396129032258,NA,NA
"NAYARIT","ATUN",NA,426579,370429,"lower",344214,"lower",278.962281795511,294.703463203463,295.227487545135
"NAYARIT","BAGRE",NA,NA,162,"similar",918,"similar",NA,162,229.5
"NAYARIT","BANDERA",NA,676311.75,446220,"substantially lower",420586.7,"substantially lower",143.887899161776,109.561163691555,98.3716914083209
"NAYARIT","BAQUETA",NA,50413.3,28712,"substantially lower",9116.6,"substantially lower",104.265522053924,93.1078560082985,40.2818625654059
"NAYARIT","BARRILETE",NA,2110,200,"substantially lower",168.3,"substantially lower",101.428571428571,28.5714285714286,14.025
"NAYARIT","BERRUGATA",NA,225326.316666667,171659,"lower",198688.85,"lower",125.107503268847,112.600512523546,107.763919951923
"NAYARIT","BONITO",NA,32257.4666666667,48051,"substantially higher",62062.7,"substantially higher",202.929667644184,214.244642857143,263.340833333333
"NAYARIT","CABRILLA",NA,7181.11666666667,14086,"substantially higher",2257.2,"substantially lower",87.5446593915344,389.022222222222,371.433333333333
"NAYARIT","CALAMAR",NA,300,0,"substantially lower",0,"substantially lower",9.375,NA,NA
"NAYARIT","CAMARON",NA,10375642.0033333,1911598,"substantially lower",2001758.39,"substantially lower",2409.10818162583,1916.62557427595,1765.99590160564
"NAYARIT","CARACOL",NA,5874,0,"substantially lower",0,"substantially lower",2937,NA,NA
"NAYARIT","CARPA",NA,315,0,"substantially lower",0,"substantially lower",139.166666666667,NA,NA
"NAYARIT","CAZON",NA,272689.933333333,324685,"higher",360239.9,"substantially higher",324.387285285181,479.781482379062,493.472577758106
"NAYARIT","CHARAL",NA,500,0,"substantially lower",0,"substantially lower",500,NA,NA
"NAYARIT","CINTILLA",NA,4991,0,"substantially lower",0,"substantially lower",73.8937728937729,NA,NA
"NAYARIT","CORVINA",NA,523065.333333333,423749,"lower",502439.35,"similar",103.24365143942,111.626469337364,114.542459720933
"NAYARIT","ESMEDREGAL",NA,3023.26666666667,3299,"higher",1986.6,"substantially lower",34.5016332686921,48.6785256410256,38.2264189886481
"NAYARIT","FAUNA",NA,NA,0,"similar",1203.6,"similar",NA,NA,34.3885714285714
"NAYARIT","GUACHINANGO",NA,594001,462350,"lower",579628.75,"similar",120.787793586737,131.247741046272,165.912529568455
"NAYARIT","JAIBA",NA,87382.6666666667,144082,"substantially higher",124012,"substantially higher",655.308212080748,1040.74944144912,568.400272510751
"NAYARIT","JUREL",NA,38312.5,36830,"similar",51631.9,"substantially higher",126.470726669682,109.575,87.4497213528792
"NAYARIT","LANGOSTA",NA,4986.66666666667,4143,"lower",3343,"substantially lower",69.1138867705299,24.8391659622429,19.492513967514
"NAYARIT","LANGOSTINO",NA,111410.333333333,20000,"substantially lower",15000,"substantially lower",554.247846536633,1133.33333333333,1666.66666666667
"NAYARIT","LEBRANCHA",NA,11235.0333333333,13067,"higher",11517.9,"similar",48.8479710144928,65.38,50.9375
"NAYARIT","LENGUADO",NA,89720.15,67792,"lower",32067.1,"substantially lower",177.618848616352,223.998145355008,159.432344632768
"NAYARIT","LISA",NA,141711.8,146186,"similar",187931.96,"substantially higher",117.98365513347,157.36351981352,231.75201712828
"NAYARIT","LOBINA",NA,2320.9,4525,"substantially higher",354.2,"substantially lower",398.934285714286,312.333333333333,354.2
"NAYARIT","MERO",NA,8689.63333333333,4276,"substantially lower",1421.5,"substantially lower",51.7345916214587,43.3125,37.255291005291
"NAYARIT","MOJARRA",NA,7673597.71666667,6697494,"lower",5726600.355,"lower",1499.6070317463,1277.96506811622,1139.27038457234
"NAYARIT","OSTION",NA,1485556.33333333,323293,"substantially lower",172826,"substantially lower",2042.2743093671,637.713901689708,717.583946078431
"NAYARIT","OTRAS",NA,1642510.13333333,1422495,"lower",1714739.65,"similar",87.1690171776158,75.1598331637991,94.7173941980043
"NAYARIT","PAMPANO",NA,35835.3666666667,16999,"substantially lower",9905.4,"substantially lower",84.8642186637583,47.4335576933007,49.423595282634
"NAYARIT","PARGO",NA,450686.216666667,391242,"lower",398266.48,"lower",82.7464575096534,78.0005398441878,81.6816732631116
"NAYARIT","PECES DE ORNATO",NA,1300,0,"substantially lower",0,"substantially lower",1300,NA,NA
"NAYARIT","PETO",NA,1000,0,"substantially lower",0,"substantially lower",333.333333333333,NA,NA
"NAYARIT","PIERNA",NA,160,129,"lower",0,"substantially lower",26.6666666666667,21.5,NA
"NAYARIT","PULPO",NA,2670,0,"substantially lower",0,"substantially lower",178,NA,NA
"NAYARIT","RAYA Y SIMILARES",NA,262167.066666667,185221,"lower",193265,"lower",791.1275538274,210.002085135572,190.04806705543
"NAYARIT","ROBALO",NA,678280.483333333,521433,"lower",670162.15,"similar",106.728770964362,104.010779542424,117.427772022763
"NAYARIT","RONCO",NA,29510.7666666667,38817,"substantially higher",30511,"similar",56.647043040935,62.6730676241648,71.6356389214393
"NAYARIT","RUBIA Y VILLAJAIBA",NA,223,0,"substantially lower",0,"substantially lower",45.5,NA,NA
"NAYARIT","SARDINA",NA,NA,20,"similar",0,"similar",NA,20,NA
"NAYARIT","SIERRA",NA,690584.933333333,571593,"lower",570464.43,"lower",152.622091778038,185.874224058791,142.368315473624
"NAYARIT","TIBURON",NA,891101.366666667,657076,"lower",532598.2,"substantially lower",151.159427927904,151.315167231852,175.99493176572
"NAYARIT","TRUCHA",NA,29334.0666666667,24197,"lower",35648.7,"higher",89.2618285939968,58.0988095238095,87.8907172995781
"SINALOA","ABULON",NA,1327.5,0,"substantially lower",0,"substantially lower",652.916666666667,NA,NA
