"landing_site","acuaculture_production","est_aquaculture_production","est_aquaculture_certainty","aquacultureFLAG_landing.site"
"LAGUNA LAS FLORES Y GOLFO DE MEXICO","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE LOS ANGELES","no","no, as reported","estimate is consistent with original report","NO"
"PAREDON COLORADO","no","no, as reported","estimate is consistent with original report","NO"
"LA PUERTA","no","no, as reported","estimate is consistent with original report","NO"
"SAN NICOLAS","no","no, as reported","estimate is consistent with original report","NO"
"SANTA BARBARA","no","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA AURELIO VENANCINI (EL SALTO)","no","no, as reported","estimate is consistent with original report","NO"
"SITIO EMB DESEM GENERICO","no","no, as reported","estimate is consistent with original report","NO"
"BAJA VENECIA","no","no, as reported","estimate is consistent with original report","NO"
"LAS PLAYITAS","no","no, as reported","estimate is consistent with original report","NO"
"EL RASTRO","no","no, as reported","estimate is consistent with original report","NO"
"GOLFO DE SANTA CLARA","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA AGIABAMPO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO LA BOCANITA","no","no, as reported","estimate is consistent with original report","NO"
"EL JITZAMURI","no","no, as reported","estimate is consistent with original report","NO"
"LA REFORMA","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO EL TETUAN","no","no, as reported","estimate is consistent with original report","NO"
"EL CASTILLO","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO EL COLORADO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO LA BALLENA","no","no, as reported","estimate is consistent with original report","NO"
"EL POZOLE","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO BACOREHUIS","no","no, as reported","estimate is consistent with original report","NO"
"TOPOLOBAMPO","no","no, as reported","estimate is consistent with original report","NO"
"PAREDONES","no","no, as reported","estimate is consistent with original report","NO"
"MARISMA DE LAS CABRAS","no","no, as reported","estimate is consistent with original report","NO"
"EL CHOYUDO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO EL POZO (MARGEN IZQUIERDA)","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO SAN MIGUEL","no","no, as reported","estimate is consistent with original report","NO"
"CHIRIMOYO, EL","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL JIHUITE","no","no, as reported","estimate is consistent with original report","NO"
"PRESA DE LA VEGA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LA POLVORA","no","no, as reported","estimate is consistent with original report","NO"
"CHACALA","no","no, as reported","estimate is consistent with original report","NO"
"AYALAS, LOS","no","no, as reported","estimate is consistent with original report","NO"
"CONCHAS, LAS","no","no, as reported","estimate is consistent with original report","NO"
"RINCON, EL","no","no, as reported","estimate is consistent with original report","NO"
"SANTA ROSALIA (B.C.S.)","no","no, as reported","estimate is consistent with original report","NO"
"LA ESCOLLERA","no","no, as reported","estimate is consistent with original report","NO"
