"recorded_taxa_group","recorded_taxa_name_clean","total_catch_2014.2024","total_value_2014.2024"
"ABULON","ABULON",23834.8,13964830
"ALMEJA","ALMEJA",416167,26533700
"ALMEJA","ALMEJA BLANCA",223798,3071444
"ALMEJA","ALMEJA CATARINA",287140,2321615
"ALMEJA","ALMEJA CHOCOLATA",30000,606405
"ALMEJA","ALMEJA GENEROSA",61171,3950462
"ALMEJA","ALMEJA PATA MULA",1099843,21327649
"ATUN","ATUN ALETA AZUL P",735000,22050000
"BAGRE","JUILE",17108,2025800
"CAMARON","CAMARON AZUL",1270202.17,1139789847.76
"CAMARON","CAMARON BLANCO",400181046.6527,38399577056.4028
"CAMARON","CAMARON BLANCO (LITOPENAEUS VANNAMEI)",788863941.6,76281026431.91
"CAMARON","CAMARON CAFE",309644,19769950
"CARACOL","CARACOL",218285,16541251
"CHARAL","CHARAL (CHIROSTOMA SPHYRAENA)",10500,835000
"GUACHINANGO","GUACHINANGO",661371.1,108542880
"JUREL","JUREL",2093134,292963799.9
"LENGUADO","LENGUADO",18675.137,905167.25
"MOJARRA","MOJARRA",309349.5,11094964
"MOJARRA","MOJARRA CASTARRICA",45425,1301650
"OSTION","OSTION",10930363.8,161533307.6
"OSTION","OSTION JAPONES",19571551.79,584657663.448
"OSTION","OSTION JAPONES (CRASSOSTREA GIGAS)",1926005,39673155.47
"OSTION","OSTION JAPONES (MAGALLANA GIGAS)",10522,360686
"OSTION","OSTION KUMAMOTO (CRASSOSTREA SIKAMEA)",1407184,4311498
"OSTION","OSTION MANGLE",65058.78,2321882
"OSTION","OSTION PLACER",5596272.59,99852438.285
"OSTION","OSTION ROCA",7658131.44,279925807.538
"OTRAS","CALLO HACHA",712101.5,6049420
"OTRAS","LAGARTO",37620,3385800
"OTRAS","TOPOTE",18300,832000
"ROBALO","ROBALO",475453.5,65505580
"TRUCHA","TRUCHA ARCO-IRIS",12329.9,272135
