"Year","OHI_Region","Mean_relative.CPUE_AllGroups"
2016,"Region_1",0.9406709
2016,"Region_1_2_Baja_TBD",3.3562897
2016,"Region_2",1.7930585
2016,"Region_3",2.2034626
2016,"Region_3_4_BCS_TBD",0.3160839
2016,"Region_4",1.2090517
2016,"Region_4_5_6_Sonora_TBD",0.6503621
2016,"Region_5",0.8444474
2016,"Region_6",1.0878115
2016,"Region_7",0.3830468
2016,"Region_8",0.4953865
2016,"Region_9",1.2183916
2016,"Region_Jalisco_TBD",0.8156288
2017,"Region_1",0.8624558
2017,"Region_1_2_Baja_TBD",8.7638611
2017,"Region_2",2.7529688
2017,"Region_3",5.6798229
2017,"Region_3_4_BCS_TBD",0.8045706
2017,"Region_4",1.421662
2017,"Region_4_5_6_Sonora_TBD",1.0694934
2017,"Region_5",0.6198127
2017,"Region_6",0.7933161
2017,"Region_7",0.4939157
2017,"Region_8",0.5942013
2017,"Region_9",1.3276968
2017,"Region_Jalisco_TBD",0.9439134
2018,"Region_1",0.7480331
2018,"Region_1_2_Baja_TBD",7.1614637
2018,"Region_2",3.4203256
2018,"Region_3",1.9490963
2018,"Region_3_4_BCS_TBD",32.8177723
2018,"Region_4",1.0609632
2018,"Region_4_5_6_Sonora_TBD",16.7331255
2018,"Region_5",1.2853952
2018,"Region_6",0.8317314
2018,"Region_7",0.6766795
2018,"Region_8",6.2609257
2018,"Region_9",1.9331824
2018,"Region_Jalisco_TBD",1.8036151
2019,"Region_1",1.5475018
2019,"Region_1_2_Baja_TBD",3.4107212
2019,"Region_2",6.4196803
2019,"Region_3",1.2801846
2019,"Region_3_4_BCS_TBD",30.649069
2019,"Region_4",1.2574719
2019,"Region_4_5_6_Sonora_TBD",90.0516668
2019,"Region_5",1.4121252
2019,"Region_6",1.2870288
2019,"Region_7",1.2029663
2019,"Region_8",7.7943924
2019,"Region_9",2.1884866
2019,"Region_Jalisco_TBD",1.8932699
2020,"Region_1",2.1635992
2020,"Region_1_2_Baja_TBD",0.9917966
2020,"Region_2",2.8740039
2020,"Region_3",1.0970679
2020,"Region_3_4_BCS_TBD",68.5153724
2020,"Region_4",1.9923039
2020,"Region_4_5_6_Sonora_TBD",102.8289141
2020,"Region_5",0.9216273
2020,"Region_6",0.8240378
2020,"Region_7",1.4677959
2020,"Region_8",8.2610137
2020,"Region_9",2.3655984
2020,"Region_Jalisco_TBD",1.9199217
2021,"Region_1",3.6104551
2021,"Region_1_2_Baja_TBD",0.9063419
2021,"Region_2",2.4798401
2021,"Region_3",0.8902736
2021,"Region_3_4_BCS_TBD",18.8823021
2021,"Region_4",1.3795757
2021,"Region_4_5_6_Sonora_TBD",115.3457753
2021,"Region_5",0.8199584
2021,"Region_6",0.7189349
2021,"Region_7",2.0234266
2021,"Region_8",6.9210608
2021,"Region_9",3.2370835
2021,"Region_Jalisco_TBD",6.9691207
2022,"Region_1",3.6675049
2022,"Region_1_2_Baja_TBD",0.7985513
2022,"Region_2",3.3623399
2022,"Region_3",1.0907497
2022,"Region_3_4_BCS_TBD",10.4044189
2022,"Region_4",2.2921653
2022,"Region_4_5_6_Sonora_TBD",99.3392758
2022,"Region_5",1.2416716
2022,"Region_6",0.7375279
2022,"Region_7",1.7610469
2022,"Region_8",7.2900686
2022,"Region_9",3.4324985
2022,"Region_Jalisco_TBD",2.0598562
2023,"Region_1",4.8893932
2023,"Region_1_2_Baja_TBD",2.6477238
2023,"Region_2",2.6614528
2023,"Region_3",1.0311541
2023,"Region_3_4_BCS_TBD",0.7872783
2023,"Region_4",1.8972822
2023,"Region_4_5_6_Sonora_TBD",3.753467
2023,"Region_5",2.4785867
2023,"Region_6",0.8563464
2023,"Region_7",1.8587021
2023,"Region_8",1.2182205
2023,"Region_9",3.0010429
2023,"Region_Jalisco_TBD",0.652864
2024,"Region_1",4.5299735
2024,"Region_1_2_Baja_TBD",0.6884262
2024,"Region_2",2.1594394
2024,"Region_3",1.1520728
2024,"Region_3_4_BCS_TBD",0.8277774
2024,"Region_4",2.3563315
2024,"Region_4_5_6_Sonora_TBD",2.7582669
2024,"Region_5",1.481733
2024,"Region_6",0.8765027
2024,"Region_7",1.2312326
2024,"Region_8",1.0554528
2024,"Region_9",2.6346689
2024,"Region_Jalisco_TBD",0.9250871
