"main_species_group","n_Records_dataMares","n_Records_JCdata","state","Total_Biomass_kg_dataMares","Total_Landed_Biomass_JCdata","Total_Live_Biomass_JCdata","Total_Value_JCdata","Total_Value_mxn_dataMares","Count_discrepancy","Count_discrepancy.per","Biomass_discrepancy","Biomass_discrepancy.per","Value_discrepancy","Value_discrepancy.per"
"ABULON",258,259,"BAJA CALIFORNIA",145801,145801,149945.26,58979401,58983201,1,0,0,0,-3800,0
"ALGAS",569,222,"BAJA CALIFORNIA",2211402,850736,4063271,6144900,28328282.4,-347,-156,-1360666,-160,-22183382.4,-361
"ALMEJA",1340,1339,"BAJA CALIFORNIA",2053017,2049593,2069117,68242026.31,68303658.31,-1,0,-3424,0,-61632,0
"ANCHOVETA",687,NA,"BAJA CALIFORNIA",38029891,NA,NA,NA,61102114.88,NA,NA,NA,NA,NA,NA
"BAGRE",15,15,"BAJA CALIFORNIA",3618,3618,3704.1,79476,79476,0,0,0,0,0,0
"BANDERA",297,2,"BAJA CALIFORNIA",117569,1979,1996.9,23370,9755538,-295,-14750,-115590,-5841,-9732168,-41644
"BARRILETE",2,NA,"BAJA CALIFORNIA",28020,NA,NA,NA,261140,NA,NA,NA,NA,NA,NA
"BERRUGATA",392,355,"BAJA CALIFORNIA",4165611,3687861,3689591,54285466.9,58205989.9,-37,-10,-477750,-13,-3920523,-7
"CABRILLA",1255,1254,"BAJA CALIFORNIA",684205,683965,709112.45,12029017.16,12031897.16,-1,0,-240,0,-2880,0
"CALAMAR",126,18,"BAJA CALIFORNIA",748145,4509,4509,73654,13885316.06,-108,-600,-743636,-16492,-13811662.06,-18752
"CAMARON",730,722,"BAJA CALIFORNIA",786926,730366,1158757.6,180130410.4,194505763.4,-8,-1,-56560,-8,-14375353,-8
"CANGREJO",901,NA,"BAJA CALIFORNIA",128990,NA,NA,NA,6723285.93,NA,NA,NA,NA,NA,NA
"CARACOL",295,314,"BAJA CALIFORNIA",175391,175391,273472,3441648.46,3558822.46,19,6,0,0,-117174,-3
"CAZON",212,212,"BAJA CALIFORNIA",114978,114978,132788.35,2221603,2221603,0,0,0,0,0,0
"CORVINA",1256,1267,"BAJA CALIFORNIA",1964128,1961570,2078920.35,36165057.5,36462532.5,11,1,-2558,0,-297475,-1
"DORADO",14,NA,"BAJA CALIFORNIA",3145,NA,NA,NA,136535,NA,NA,NA,NA,NA,NA
"ERIZO",2332,2362,"BAJA CALIFORNIA",1580571,1582131,1734531,80117652.81,82177642.52,30,1,1560,0,-2059989.70999999,-3
"GUACHINANGO",32,32,"BAJA CALIFORNIA",7618,7618,7618,555442,555442,0,0,0,0,0,0
"JAIBA",37,37,"BAJA CALIFORNIA",7110,7110,7540,162305,162305,0,0,0,0,0,0
"JUREL",884,880,"BAJA CALIFORNIA",552151,495316,499495.8,10357382.64,11628436.64,-4,0,-56835,-11,-1271054,-12
"LANGOSTA",1913,1937,"BAJA CALIFORNIA",583767,583767,585362.8,140475451.25,142144868.7,24,1,0,0,-1669417.44999999,-1
"LENGUADO",1242,1209,"BAJA CALIFORNIA",530573,493053,528682.75,20200054,22348888.5,-33,-3,-37520,-8,-2148834.5,-11
"LISA",106,106,"BAJA CALIFORNIA",43072,43072,44448,689089,689089,0,0,0,0,0,0
"MARLIN",18,NA,"BAJA CALIFORNIA",4554,NA,NA,NA,225294,NA,NA,NA,NA,NA,NA
"MERO",288,283,"BAJA CALIFORNIA",18890,11565,12196.5,546492,687172,-5,-2,-7325,-63,-140680,-26
"MOJARRA",130,126,"BAJA CALIFORNIA",22044,21751,21959,553881,560271,-4,-3,-293,-1,-6390,-1
"OTRAS",5422,6338,"BAJA CALIFORNIA",3626472,2004714,3104484.4,67180419.1,90271526.18,916,14,-1621758,-81,-23091107.08,-34
"PAMPANO",33,33,"BAJA CALIFORNIA",5165,5165,5195,56686,56686,0,0,0,0,0,0
"PARGO",199,198,"BAJA CALIFORNIA",27349,27234,27536.4,954891,957191,-1,-1,-115,0,-2300,0
"PEPINO DE MAR",224,224,"BAJA CALIFORNIA",130145,130145,130145,4606652,4606652,0,0,0,0,0,0
"PETO",3,3,"BAJA CALIFORNIA",1200,1200,1200,22100,22100,0,0,0,0,0,0
"PEZ ESPADA",103,NA,"BAJA CALIFORNIA",130162,NA,NA,NA,6597914,NA,NA,NA,NA,NA,NA
"PEZ GALLO",2,NA,"BAJA CALIFORNIA",180,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA
"PIERNA",176,176,"BAJA CALIFORNIA",35228,35228,35398.8,658827,658827,0,0,0,0,0,0
"PULPO",406,408,"BAJA CALIFORNIA",203913,203913,221102.3,14782195,14852655,2,0,0,0,-70460,0
"RAYA Y SIMILARES",719,705,"BAJA CALIFORNIA",408242,396276,477834.8,6694818,7004714,-14,-2,-11966,-3,-309896,-5
"ROBALO",2,2,"BAJA CALIFORNIA",833,833,833,16000,16000,0,0,0,0,0,0
"RONCO",6,22,"BAJA CALIFORNIA",1033,4502,4625.1,87747,51596,16,73,3469,77,36151,41
"RUBIO",4,4,"BAJA CALIFORNIA",315,315,315,4050,4050,0,0,0,0,0,0
"SARDINA",1926,9,"BAJA CALIFORNIA",124481850,20215,23449.4,103489,232425407.55,-1917,-21300,-124461635,-615690,-232321918.55,-224489
"SIERRA",457,457,"BAJA CALIFORNIA",2602636,2602636,2604522.3,59253991,59253991,0,0,0,0,0,0
"TIBURON",1678,1103,"BAJA CALIFORNIA",2423381,629525,793096.5,13380097,46231159,-575,-52,-1793856,-285,-32851062,-246
"TUNIDOS",247,NA,"BAJA CALIFORNIA",3287983,NA,NA,NA,78588827,NA,NA,NA,NA,NA,NA
"ABULON",168,168,"BAJA CALIFORNIA SUR",90462,90462,125407.58,48686964,48686964,0,0,0,0,0,0
"ALGAS",61,50,"BAJA CALIFORNIA SUR",123358,124344,561664,1511290.42,1702559.15,-11,-22,986,1,-191268.73,-13
"ALMEJA",3522,3547,"BAJA CALIFORNIA SUR",9617313.3,9665633.3,13909567.3,218235463.4,217341863.4,25,1,48320,0,893600,0
"ANCHOVETA",2,2,"BAJA CALIFORNIA SUR",7,7,7,119,119,0,0,0,0,0,0
"BAGRE",21,21,"BAJA CALIFORNIA SUR",16536,16536,16706.1,448543,448543,0,0,0,0,0,0
