"main_species_group","n_Records_dataMares","n_Records_JCdata","state","Total_Biomass_kg_dataMares","Total_Landed_Biomass_JCdata","Total_Live_Biomass_JCdata","Total_Value_JCdata","Total_Value_mxn_dataMares","Count_discrepancy","Count_discrepancy.per","Biomass_discrepancy","Biomass_discrepancy.per","Value_discrepancy","Value_discrepancy.per"
"ABULON",258,355,"BAJA CALIFORNIA",145801,183747,187891.26,68483401,58983201,97,27,37946,21,9500200,14
"ALGAS",569,222,"BAJA CALIFORNIA",2211402,850736,4063271,6144900,28328282.4,-347,-156,-1360666,-160,-22183382.4,-361
"ALMEJA",1338,1409,"BAJA CALIFORNIA",2048737,2058217,2078541,68739450.31,68175258.31,71,5,9480,0,564192,1
"ANCHOVETA",687,721,"BAJA CALIFORNIA",38029891,38029891,44100056.76,49368424,61102114.88,34,5,0,0,-11733690.88,-24
"BAGRE",15,15,"BAJA CALIFORNIA",3618,3618,3704.1,79476,79476,0,0,0,0,0,0
"BANDERA",297,2,"BAJA CALIFORNIA",117569,1979,1996.9,23370,9755538,-295,-14750,-115590,-5841,-9732168,-41644
"BARRILETE",2,2,"BAJA CALIFORNIA",28020,28020,28020,261140,261140,0,0,0,0,0,0
"BERRUGATA",392,393,"BAJA CALIFORNIA",4165611,4165611,4167341,58197939.9,58205989.9,1,0,0,0,-8050,0
"CABRILLA",1255,1255,"BAJA CALIFORNIA",684205,684205,709352.45,12031897.16,12031897.16,0,0,0,0,0,0
"CALAMAR",126,127,"BAJA CALIFORNIA",748145,748145,748145,13752605,13885316.06,1,1,0,0,-132711.060000001,-1
"CAMARON",728,757,"BAJA CALIFORNIA",786810,992179,1455106.6,205030300.4,194478889.8,29,4,205369,21,10551410.6,5
"CANGREJO",899,NA,"BAJA CALIFORNIA",128910,NA,NA,NA,6713685.93,NA,NA,NA,NA,NA,NA
"CARACOL",295,314,"BAJA CALIFORNIA",175391,175391,273472,3441648.46,3558822.46,19,6,0,0,-117174,-3
"CAZON",212,212,"BAJA CALIFORNIA",114978,114978,132788.35,2221603,2221603,0,0,0,0,0,0
"CORVINA",1254,1270,"BAJA CALIFORNIA",1962446,1963770,2081120.35,36219057.5,36420212.5,16,1,1324,0,-201155,-1
"DORADO",14,NA,"BAJA CALIFORNIA",3145,NA,NA,NA,136535,NA,NA,NA,NA,NA,NA
"ERIZO",2328,2362,"BAJA CALIFORNIA",1574334,1582131,1734531,80117652.81,81852131.52,34,1,7797,0,-1734478.70999999,-2
"GUACHINANGO",32,32,"BAJA CALIFORNIA",7618,7618,7618,555442,555442,0,0,0,0,0,0
"JAIBA",37,37,"BAJA CALIFORNIA",7110,7110,7540,162305,162305,0,0,0,0,0,0
"JUREL",884,889,"BAJA CALIFORNIA",552151,552151,556330.8,11588132.64,11628436.64,5,1,0,0,-40304,0
"LANGOSTA",1910,1937,"BAJA CALIFORNIA",583677,583767,585362.8,140475451.25,142128668.7,27,1,90,0,-1653217.44999999,-1
"LENGUADO",1242,1255,"BAJA CALIFORNIA",530573,530573,568793.85,21935554,22348888.5,13,1,0,0,-413334.5,-2
"LISA",106,106,"BAJA CALIFORNIA",43072,43072,44448,689089,689089,0,0,0,0,0,0
"MARLIN",18,NA,"BAJA CALIFORNIA",4554,NA,NA,NA,225294,NA,NA,NA,NA,NA,NA
"MERO",288,284,"BAJA CALIFORNIA",18890,18565,20946.5,672492,687172,-4,-1,-325,-2,-14680,-2
"MOJARRA",130,129,"BAJA CALIFORNIA",22044,35077,35285,1202811,560271,-1,-1,13033,37,642540,53
"OTRAS",5420,7192,"BAJA CALIFORNIA",3626190,4074719,5360697.8,120465552.1,90265406.18,1772,25,448529,11,30200145.92,25
"PAMPANO",33,33,"BAJA CALIFORNIA",5165,5165,5195,56686,56686,0,0,0,0,0,0
"PARGO",199,199,"BAJA CALIFORNIA",27349,27349,27662.9,957191,957191,0,0,0,0,0,0
"PEPINO DE MAR",224,224,"BAJA CALIFORNIA",130145,130145,130145,4606652,4606652,0,0,0,0,0,0
"PETO",3,3,"BAJA CALIFORNIA",1200,1200,1200,22100,22100,0,0,0,0,0,0
"PEZ ESPADA",103,NA,"BAJA CALIFORNIA",130162,NA,NA,NA,6597914,NA,NA,NA,NA,NA,NA
"PEZ GALLO",1,NA,"BAJA CALIFORNIA",100,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA
"PIERNA",176,176,"BAJA CALIFORNIA",35228,35228,35398.8,658827,658827,0,0,0,0,0,0
"PULPO",406,408,"BAJA CALIFORNIA",203913,203913,221102.3,14782195,14852655,2,0,0,0,-70460,0
"RAYA Y SIMILARES",719,719,"BAJA CALIFORNIA",408242,408242,498014.55,7004714,7004714,0,0,0,0,0,0
"ROBALO",2,2,"BAJA CALIFORNIA",833,833,833,16000,16000,0,0,0,0,0,0
"RONCO",6,23,"BAJA CALIFORNIA",1033,5252,5450.1,97497,51596,17,74,4219,80,45901,47
"RUBIO",4,4,"BAJA CALIFORNIA",315,315,315,4050,4050,0,0,0,0,0,0
"SARDINA",1926,1990,"BAJA CALIFORNIA",124481850,123697760,143489401.6,182280788,232425407.55,64,3,-784090,-1,-50144619.55,-28
"SIERRA",457,457,"BAJA CALIFORNIA",2602636,2602636,2604522.3,59253991,59253991,0,0,0,0,0,0
"TIBURON",1678,1677,"BAJA CALIFORNIA",2423381,2423331,2935485.85,46230638,46231159,-1,0,-50,0,-521,0
"TUNIDOS",247,NA,"BAJA CALIFORNIA",3287983,NA,NA,NA,78588827,NA,NA,NA,NA,NA,NA
"ABULON",168,180,"BAJA CALIFORNIA SUR",90462,97462,132407.58,52589464,48686964,12,7,7000,7,3902500,7
"ALGAS",61,50,"BAJA CALIFORNIA SUR",123358,124344,561664,1511290.42,1702559.15,-11,-22,986,1,-191268.73,-13
"ALMEJA",3514,3569,"BAJA CALIFORNIA SUR",9611262.3,9718354.3,13962288.3,218590406.4,217214413.4,55,2,107092,1,1375993,1
"ANCHOVETA",2,2,"BAJA CALIFORNIA SUR",7,7,7,119,119,0,0,0,0,0,0
"BAGRE",21,21,"BAJA CALIFORNIA SUR",16536,16536,16706.1,448543,448543,0,0,0,0,0,0
"BANDERA",823,35,"BAJA CALIFORNIA SUR",221828,9305,9945,126168,14823689,-788,-2251,-212523,-2284,-14697521,-11649
"BARRILETE",7,7,"BAJA CALIFORNIA SUR",1182,1182,1182,22380,22380,0,0,0,0,0,0
"BERRUGATA",432,432,"BAJA CALIFORNIA SUR",235160,235160,249583.2,3250768,3250768,0,0,0,0,0,0
"CABRILLA",3842,3865,"BAJA CALIFORNIA SUR",4152768,4165456,4486309.6,84733151.14,85638334.14,23,1,12688,0,-905183,-1
"CALAMAR",101,101,"BAJA CALIFORNIA SUR",31252,31252,32442.1,461117,461117,0,0,0,0,0,0
"CAMARON",1426,1604,"BAJA CALIFORNIA SUR",1184703,4252796,4926603.2,464476880.3,158411145,178,11,3068093,72,306065735.3,66
"CARACOL",152,152,"BAJA CALIFORNIA SUR",311405,311405,1012594,9508166,9508166,0,0,0,0,0,0
"CAZON",1425,1429,"BAJA CALIFORNIA SUR",1928187,1928447,2236995.9,21146570,21178302,4,0,260,0,-31732,0
"CORVINA",2028,2041,"BAJA CALIFORNIA SUR",957852,958197,1034088.05,23548921.9,23931844.9,13,1,345,0,-382923,-2
"DORADO",84,NA,"BAJA CALIFORNIA SUR",24505,NA,NA,NA,559323,NA,NA,NA,NA,NA,NA
"ERIZO",38,38,"BAJA CALIFORNIA SUR",57439,57439,65047,574390,574390,0,0,0,0,0,0
"ESMEDREGAL",2,115,"BAJA CALIFORNIA SUR",131,352924,352924,35282575,3275,113,98,352793,100,35279300,100
"GUACHINANGO",2247,2309,"BAJA CALIFORNIA SUR",1071093,1151284,1212471.9,90612274.4,77004664.4,62,3,80191,7,13607610,15
"JAIBA",1026,1032,"BAJA CALIFORNIA SUR",874198,880303,883919.4,35586333,35301183,6,1,6105,1,285150,1
"JUREL",2835,2971,"BAJA CALIFORNIA SUR",2587492,2864359,2899036.8,125791968.04,63932452.04,136,5,276867,10,61859516,49
"LANGOSTA",933,934,"BAJA CALIFORNIA SUR",1422138,1422138,1422195,498134159.44,499767959.44,1,0,0,0,-1633800,0
"LENGUADO",2754,2890,"BAJA CALIFORNIA SUR",1636918,1637730,1766373.25,67382183.34,72013058.34,136,5,812,0,-4630875,-7
"LISA",677,678,"BAJA CALIFORNIA SUR",527220,527420,529537.4,6980476,6978076,1,0,200,0,2400,0
"MARLIN",62,NA,"BAJA CALIFORNIA SUR",14137,NA,NA,NA,515672,NA,NA,NA,NA,NA,NA
