"Year","Major_Functional_Group","Stock","Total_Landed_Biomass","n_Records"
2000,"Cephalopods","Dosidicus",27436745,2234
2000,"Crustaceans","Panulirus",1972301,1648
2000,"Demersal marine fishes","Acanthurus",230,2
2000,"Demersal marine fishes","Aetobatus",10192.2,79
2000,"Demersal marine fishes","Anisotremus",201735.1,567
2000,"Demersal marine fishes","Anoplopoma",38981,139
2000,"Demersal marine fishes","Balistes",1108183.9,1163
2000,"Demersal marine fishes","Brotula",842936.5,375
2000,"Demersal marine fishes","Calamus",3421,26
2000,"Demersal marine fishes","Carcharhinus",106369.8,170
2000,"Demersal marine fishes","Caulolatilus",1075804.7,1073
2000,"Demersal marine fishes","Centropomus",359712.32,2087
2000,"Demersal marine fishes","Cynoscion",1977866.85,3493
2000,"Demersal marine fishes","Diapterus",27275,100
2000,"Demersal marine fishes","Diplectrum",42273.65,139
2000,"Demersal marine fishes","Eucinostomus argenteus",56945,391
2000,"Demersal marine fishes","Eugerres",11800,99
2000,"Demersal marine fishes","Galeocerdo",1617,39
2000,"Demersal marine fishes","Gerres",33861.9,136
2000,"Demersal marine fishes","Ginglymostoma",6941.8,40
2000,"Demersal marine fishes","Haemulon",232461.9,1002
2000,"Demersal marine fishes","Haemulopsis",139423.1,345
2000,"Demersal marine fishes","Hoplopagrus",30153.8,173
2000,"Demersal marine fishes","Hypanus",1433886.9,1147
2000,"Demersal marine fishes","Hyporthodus",326310.7,717
2000,"Demersal marine fishes","Hyporthodus niphobles",42591.4,175
2000,"Demersal marine fishes","Lamna",6297.1,54
2000,"Demersal marine fishes","Lutjanus",2182817.1,4700
2000,"Demersal marine fishes","Menticirrhus",360064.3,669
2000,"Demersal marine fishes","Merluccius",214923.4,154
2000,"Demersal marine fishes","Microlepidotus",469928.5,12
2000,"Demersal marine fishes","Micropogonias",1918419.6,1859
2000,"Demersal marine fishes","Mobula",1330735.6,831
2000,"Demersal marine fishes","Mugil",1913907.8,1859
2000,"Demersal marine fishes","Mustelus",246002.1,120
2000,"Demersal marine fishes","Mycteroperca",458407.25,1382
2000,"Demersal marine fishes","Nematistius",698.4,11
2000,"Demersal marine fishes","Orthopristis",29854,122
2000,"Demersal marine fishes","Paralabrax",4242902.4,2018
2000,"Demersal marine fishes","Parapsettus",2142,4
2000,"Demersal marine fishes","Pseudobatos",1491063.55,1490
2000,"Demersal marine fishes","Pseudupeneus",43705.4,48
2000,"Demersal marine fishes","Scorpaena",84929,249
2000,"Demersal marine fishes","Sphoeroides",363590.95,998
2000,"Demersal marine fishes","Sphyrna",2525.65,6
2000,"Demersal marine fishes","Squatina",1487600.3,1075
2000,"Demersal marine fishes","Stereolepis",383.6,3
2000,"Demersal marine fishes","Synodus",42018,81
2000,"Diadromous fishes","Chanos",5212,33
2000,"Marine algae","Gelidium",4123655,161
2000,"Marine fishes NEI","Epinephelus",69432.1,472
2000,"Miscellaneous aquatic animals","Mesocentrotus",5205,1
2000,"Molluscs excl. Cephalopods","Argopecten",6172454,5028
2000,"Molluscs excl. Cephalopods","Dosinia",359420,36
2000,"Molluscs excl. Cephalopods","Haliotis",632436.38,1211
2000,"Molluscs excl. Cephalopods","Hexaplex",4750,2
2000,"Molluscs excl. Cephalopods","Lobatus",8097,12
2000,"Molluscs excl. Cephalopods","Megapitaria",1402632,843
2000,"Molluscs excl. Cephalopods","Megastraea",1584048,263
2000,"Pelagic marine fishes","Ablennes",4479,21
2000,"Pelagic marine fishes","Caranx",14937.2,275
2000,"Pelagic marine fishes","Cetengraulis",111230308.52,820
2000,"Pelagic marine fishes","Coryphaena",88878.4,426
2000,"Pelagic marine fishes","Etrumeus",4141784.64,71
2000,"Pelagic marine fishes","Istiophorus",210,2
2000,"Pelagic marine fishes","Katsuwonus",4419352,75
2000,"Pelagic marine fishes","Oligoplites",339,8
2000,"Pelagic marine fishes","Opisthonema",52185085.88,548
2000,"Pelagic marine fishes","Sarda",49981.65,100
2000,"Pelagic marine fishes","Sardinops",102058462.28,920
2000,"Pelagic marine fishes","Scomber",27140816.5,354
2000,"Pelagic marine fishes","Scomberomorus",4585522.82,2432
2000,"Pelagic marine fishes","Selene",23692.6,45
2000,"Pelagic marine fishes","Seriola",862433.7,934
2000,"Pelagic marine fishes","Thunnus",52554287,245
2000,"Pelagic marine fishes","Trachinotus",208993.9,631
2000,"Pelagic marine fishes","Xiphias",38715.75,27
2000,"Shrimps, prawns","Farfantepenaeus",14473.8,8
2000,"Shrimps, prawns","Litopenaeus",56958.2,75
2000,"Shrimps, prawns","Penaeus",4358458.2,3079
2000,"Shrimps, prawns","Rimapenaeus",322851,540
2000,"Shrimps, prawns","Sicyonia",1559288.4,314
2001,"Cephalopods","Dosidicus",25687744.45,2550
2001,"Crustaceans","Panulirus",1664774,1605
2001,"Demersal marine fishes","Acanthurus",3641,12
2001,"Demersal marine fishes","Aetobatus",17111.75,91
2001,"Demersal marine fishes","Alopias",51,1
2001,"Demersal marine fishes","Anisotremus",175743.3,497
2001,"Demersal marine fishes","Anoplopoma",50069,124
2001,"Demersal marine fishes","Balistes",690835.4,997
2001,"Demersal marine fishes","Brotula",316844.7,229
2001,"Demersal marine fishes","Calamus",17774,53
2001,"Demersal marine fishes","Carcharhinus",131352.3,188
2001,"Demersal marine fishes","Caulolatilus",1092934.2,1084
2001,"Demersal marine fishes","Centropomus",398855.3,3507
2001,"Demersal marine fishes","Cynoscion",4884908.55,4269
2001,"Demersal marine fishes","Diapterus",22352,109
2001,"Demersal marine fishes","Diplectrum",38491.85,127
2001,"Demersal marine fishes","Eucinostomus argenteus",73082,517
2001,"Demersal marine fishes","Eugerres",20487,164
2001,"Demersal marine fishes","Galeocerdo",4593.5,44
2001,"Demersal marine fishes","Gerres",126178.3,223
2001,"Demersal marine fishes","Ginglymostoma",3667,27
2001,"Demersal marine fishes","Haemulon",308976.5,1622
2001,"Demersal marine fishes","Haemulopsis",121758,355
2001,"Demersal marine fishes","Hoplopagrus",50625.2,215
2001,"Demersal marine fishes","Hypanus",1535057.6,1173
2001,"Demersal marine fishes","Hyporthodus",250396.7,633
2001,"Demersal marine fishes","Hyporthodus niphobles",61238.6,186
2001,"Demersal marine fishes","Lamna",2298.8,15
2001,"Demersal marine fishes","Lutjanus",2410951.65,5515
2001,"Demersal marine fishes","Menticirrhus",232364.3,526
2001,"Demersal marine fishes","Merluccius",655861.5,149
2001,"Demersal marine fishes","Micropogonias",2221869.5,1982
2001,"Demersal marine fishes","Mobula",896560.55,778
2001,"Demersal marine fishes","Mugil",2097096,2496
