Region,Stock,Landings_Datasource,StartYear,EndYear,int_yr,btype,Flim,Fpa,Blim,Bpa,Bmsy,B40,FMSY,MSY,MSYBtrigger,M,Fofl,last_F,q.start,q.end,st_b.low,st_b.hi,int_b.low,int_b.hi,end_b.low,end_b.hi,r.low,r.hi,Resilience,Resilience_Source,Yes_Run,Comment
goc,dosidicus,jc_data,2000,2024,2011,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.3,0.5,0.01,0.2,NA,NA,High,Ferrer et al_2022,1,NA
goc,panulirus,jc_data,2000,2024,2008,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.3,0.5,0.3,0.5,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,gerres,jc_data,2000,2024,2009,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.01,0.4,NA,NA,High,best_guess_Serranidae,1,NA
goc,hyporthodus,jc_data,2000,2024,2015,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,my_best_guess,0,Incomplete model priors
goc,menticirrhus,jc_data,2000,2024,2013,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,micropogonias,jc_data,2000,2024,2013,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,mycteroperca,jc_data,2000,2024,2018,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.6,0.9,0.6,0.9,NA,NA,Low,Ferrer et al_2022,1,NA
goc,paralabrax,jc_data,2000,2024,2018,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.6,0.9,0.6,0.9,NA,NA,Low,Ferrer et al_2022,1,NA
goc,balistes,jc_data,2000,2024,2007,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude_freshwater_fish,0,Incomplete model priors
goc,cynoscion,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,lutjanus,jc_data,2000,2024,2015,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.01,0.4,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,brotula,jc_data,2000,2024,2013,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,Low,Ferrer et al_2022,1,NA
goc,mugil,jc_data,2000,2024,2011,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,hyporthodus niphobles,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,Very Low,best_guess_Mycteroperca.jordani,1,NA
goc,anisotremus,jc_data,2000,2024,2010,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,NA,exclude_freshwater_fish,0,Incomplete model priors
goc,calamus,jc_data,2000,2024,2010,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,NA,exclude_freshwater_fish,0,Incomplete model priors
goc,diapterus,jc_data,2000,2024,2010,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,NA,exclude_freshwater_fish,0,Incomplete model priors
goc,eucinostomus argenteus,jc_data,2000,2024,2010,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,NA,exclude_freshwater_fish,0,Incomplete model priors
goc,eugerres,jc_data,2000,2024,2010,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,NA,exclude_freshwater_fish,0,Incomplete model priors
goc,haemulon,jc_data,2000,2024,2010,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,NA,exclude_freshwater_fish,0,Incomplete model priors
goc,acanthurus,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,anoplopoma,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,diplectrum,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,merluccius,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,microlepidotus,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,nematistius,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,orthopristis,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,parapsettus,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,pseudupeneus,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,scorpaena,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,sphoeroides,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,stereolepis,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,synodus,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,hoplopagrus,jc_data,2000,2024,2015,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,MAREA_priors,0,Incomplete model priors
goc,caulolatilus,jc_data,2000,2024,2010,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.8,0.5,0.8,0.5,0.8,NA,NA,Low,Ferrer et al_2022,1,NA
goc,aetobatus,jc_data,2000,2024,2009,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,NA,NA,NA,NA,Low,my_best_guess,0,Incomplete model priors
goc,hypanus,jc_data,2000,2024,2009,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,NA,NA,NA,NA,Low,my_best_guess,0,Incomplete model priors
goc,mobula,jc_data,2000,2024,2009,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,NA,NA,NA,NA,Low,my_best_guess,0,Incomplete model priors
goc,pseudobatos,jc_data,2000,2024,2009,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,NA,NA,NA,NA,Low,my_best_guess,0,Incomplete model priors
goc,centropomus,jc_data,2000,2024,2013,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,High,best_guess_Centropomus.robalito,1,NA
goc,haemulopsis,jc_data,2000,2024,2007,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,MAREA_priors,0,Incomplete model priors
goc,carcharhinus,jc_data,2000,2024,2011,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
