"Major_Functional_Group","estimated_taxa_group","Stock"
"Cephalopods","CALAMAR","Dosidicus"
"Crustaceans","LANGOSTA","Panulirus"
"Demersal marine fishes","BANDERA","Gerres"
"Demersal marine fishes","BAQUETA","Hyporthodus"
"Demersal marine fishes","BERRUGATA","Menticirrhus"
"Demersal marine fishes","BERRUGATA","Micropogonias"
"Demersal marine fishes","CABRILLA","Mycteroperca"
"Demersal marine fishes","CABRILLA","Paralabrax"
"Demersal marine fishes","CARPA","Balistes"
"Demersal marine fishes","CORVINA","Cynoscion"
"Demersal marine fishes","LENGUADO","Brotula"
"Demersal marine fishes","LISA","Mugil"
"Demersal marine fishes","MERO","Epinephelus"
"Demersal marine fishes","MERO","Hyporthodus niphobles"
"Demersal marine fishes","MOJARRA","Anisotremus"
"Demersal marine fishes","MOJARRA","Calamus"
"Demersal marine fishes","MOJARRA","Diapterus"
"Demersal marine fishes","MOJARRA","Eucinostomus argenteus"
"Demersal marine fishes","MOJARRA","Eugerres"
"Demersal marine fishes","OTRAS","Acanthurus"
"Demersal marine fishes","OTRAS","Anoplopoma"
"Demersal marine fishes","OTRAS","Caulolatilus"
"Demersal marine fishes","OTRAS","Diplectrum"
"Demersal marine fishes","OTRAS","Haemulon"
"Demersal marine fishes","OTRAS","Hoplopagrus"
"Demersal marine fishes","OTRAS","Lutjanus"
"Demersal marine fishes","OTRAS","Merluccius"
"Demersal marine fishes","OTRAS","Microlepidotus"
"Demersal marine fishes","OTRAS","Nematistius"
"Demersal marine fishes","OTRAS","Orthopristis"
"Demersal marine fishes","OTRAS","Parapsettus"
"Demersal marine fishes","OTRAS","Pseudobatos"
"Demersal marine fishes","OTRAS","Pseudupeneus"
"Demersal marine fishes","OTRAS","Scorpaena"
"Demersal marine fishes","OTRAS","Selene"
"Demersal marine fishes","OTRAS","Sphoeroides"
"Demersal marine fishes","OTRAS","Stereolepis"
"Demersal marine fishes","OTRAS","Synodus"
"Demersal marine fishes","RAYA Y SIMILARES","Aetobatus"
"Demersal marine fishes","RAYA Y SIMILARES","Hypanus"
"Demersal marine fishes","RAYA Y SIMILARES","Mobula"
"Demersal marine fishes","ROBALO","Centropomus"
"Demersal marine fishes","RONCO","Haemulopsis"
"Diadromous fishes","OTRAS","Chanos"
"Marine algae","ALGAS","Gelidium"
"Miscellaneous aquatic animals","ERIZO","Mesocentrotus"
"Molluscs excl. Cephalopods","ABULON","Haliotis"
"Molluscs excl. Cephalopods","ALMEJA","Argopecten"
"Molluscs excl. Cephalopods","ALMEJA","Dosinia"
"Molluscs excl. Cephalopods","ALMEJA","Megapitaria"
"Molluscs excl. Cephalopods","CARACOL","Hexaplex"
"Molluscs excl. Cephalopods","CARACOL","Lobatus"
"Molluscs excl. Cephalopods","CARACOL","Megastraea"
"Pelagic marine fishes","ATUN","Thunnus"
"Pelagic marine fishes","BARRILETE","Katsuwonus"
"Pelagic marine fishes","BONITO","Caranx"
"Pelagic marine fishes","BONITO","Sarda"
"Pelagic marine fishes","ESMEDREGAL","Seriola"
"Pelagic marine fishes","MACARELA","Scomber"
"Pelagic marine fishes","OTRAS","Ablennes"
"Pelagic marine fishes","OTRAS","Coryphaena"
"Pelagic marine fishes","OTRAS","Istiophorus"
"Pelagic marine fishes","OTRAS","Oligoplites"
"Pelagic marine fishes","OTRAS","Scomberomorus"
"Pelagic marine fishes","OTRAS","Trachinotus"
"Pelagic marine fishes","OTRAS","Xiphias"
"Pelagic marine fishes","SARDINA","Cetengraulis"
"Pelagic marine fishes","SARDINA","Etrumeus"
"Pelagic marine fishes","SARDINA","Opisthonema"
"Pelagic marine fishes","SARDINA","Sardinops"
"Sharks","PETO","Lamna"
"Sharks","TIBURON","Carcharhinus"
"Sharks","TIBURON","Galeocerdo"
"Sharks","TIBURON","Ginglymostoma"
"Sharks","TIBURON","Mustelus"
"Sharks","TIBURON","Sphyrna"
"Sharks","TIBURON","Squatina"
"Shrimps, prawns","CAMARON","Farfantepenaeus"
"Shrimps, prawns","CAMARON","Litopenaeus"
"Shrimps, prawns","CAMARON","Penaeus"
"Shrimps, prawns","CAMARON","Rimapenaeus"
"Shrimps, prawns","CAMARON","Sicyonia"
"Demersal marine fishes","OTRAS","Nicholsina"
"Miscellaneous aquatic animals","ERIZO","Strongylocentrotus"
"Sharks","TIBURON","Alopias"
"Sharks","TIBURON","Prionace"
"Demersal marine fishes","OTRAS","Paranthias"
"Pelagic marine fishes","OTRAS","Sphyraena"
"Pelagic marine fishes","BARRILETE","Euthynnus"
"Crustaceans","JAIBA","Callinectes"
"Demersal marine fishes","BANDERA","Ariopsis"
"Demersal marine fishes","CORVINA","Larimus"
"Molluscs excl. Cephalopods","ALMEJA","Panopea"
"Sharks","TIBURON","Isurus"
"Sharks","TIBURON","Nasolamia"
"Demersal marine fishes","CINTILLA","Trichiurus"
"Molluscs excl. Cephalopods","CARACOL","Turbo"
"Molluscs excl. Cephalopods","ALMEJA","Chione"
