estimated_taxa_group,int_b.low,int_b.hi,end_b.low,end_b.hi
bandera,0.4,0.6,0.01,0.4
barrilete,0.7,1,0.01,0.4
berrugata,0.2,0.4,0.1,0.4
cabrilla,0.6,0.9,0.6,0.9
calamar,0.3,0.5,0.01,0.2
caracol,0.7,1,0.6,1
cazon,0.2,0.4,0.1,0.4
corvina,0.2,0.4,0.1,0.4
guachinango,0.7,1,0.01,0.4
jaiba,0.3,0.5,0.3,0.5
jurel,0.4,0.6,0.3,0.6
langosta,0.3,0.5,0.3,0.5
lenguado,0.2,0.4,0.1,0.3
lisa,0.2,0.4,0.1,0.3
mero,0.2,0.4,0.1,0.3
mojarra,0.2,0.4,0.1,0.3
ostion,0.2,0.4,0.1,0.4
pierna,0.5,0.8,0.5,0.8
pulpo,0.2,0.4,0.1,0.3
robalo,0.2,0.4,0.1,0.3
sierra,0.4,0.6,0.3,0.6
tiburon,0.4,0.6,0.3,0.6
