estimated_taxa_group,int_yr,StartYear,EndYear
ABULON,2012,2000,2024
ALGAS,2014,2000,2024
ALMEJA,2012,2000,2024
ANCHOVETA,2018,2000,2024
ATUN,2012,2000,2024
BAGRE,2017,2000,2024
BANDERA,2009,2000,2024
BAQUETA,2015,2000,2024
BARRILETE,2016,2000,2024
BERRUGATA,2013,2000,2024
BESUGO,NA,NA,NA
BONITO,2011,2000,2024
CABRILLA,2018,2000,2024
CALAMAR,2011,2000,2024
CAMARON,2018,2000,2024
CARACOL,2017,2000,2024
CARPA,2007,2000,2024
CAZON,2014,2000,2024
CHARAL,2005,2000,2024
CINTILLA,2009,2001,2024
CORVINA,2014,2000,2024
ERIZO,2008,2000,2024
ESMEDREGAL,2020,2000,2024
ESPECIE GENERICA,NA,NA,NA
FAUNA,2020,2000,2024
GUACHINANGO,2015,2000,2024
JAIBA,2014,2000,2024
JUREL,2008,2000,2024
LANGOSTA,2008,2000,2024
LANGOSTINO,2015,2000,2024
LEBRANCHA,2011,2000,2024
LENGUADO,2013,2000,2024
LISA,2011,2000,2024
LOBINA,2018,2000,2024
MACARELA,2012,2000,2024
MERO,2014,2000,2024
MOJARRA,2010,2000,2024
ORNATO,NA,NA,NA
OSTION,2018,2000,2024
OTRAS,2014,2000,2024
PAMPANO,2012,2000,2024
PARGO,2015,2000,2024
PECES DE ORNATO,2011,2000,2022
PEPINO DE MAR,2007,2000,2024
PETO,2022,2000,2024
PIERNA,2010,2000,2024
PULPO,2009,2000,2024
RAYA Y SIMILARES,2009,2000,2024
ROBALO,2013,2000,2024
RONCO,2007,2000,2024
RUBIA Y VILLAJAIBA,2013,2000,2024
RUBIO,2009,2000,2024
SARDINA,2015,2000,2024
SARGAZO,2004,2000,2024
SIERRA,2010,2000,2024
TIBURON,2011,2000,2024
TRUCHA,2016,2000,2024
