"","Year","OHI_Region","total_catch_kg","weighted_BBmsy","weighted_BBmsy_capped"
"1",2014,"Region_1",3696671.71,0.775891793069566,0.775891793069566
"2",2014,"Region_1_2_Baja_TBD",1624.5,0.817346989979994,0.817346989979994
"3",2014,"Region_2",824334.3,1.17248829802612,1
"4",2014,"Region_3",1339346,1.41815590030079,1
"5",2014,"Region_4",2482460.55,1.39744159445674,1
"6",2014,"Region_4_5_6_Sonora_TBD",138279.2,0.915370522167165,0.915370522167165
"7",2014,"Region_5",7453730.3,0.820832715771077,0.820832715771077
"8",2014,"Region_6",780470.35,1.12011896025994,1
"9",2014,"Region_7",2778728.4,1.24901963815264,1
"10",2014,"Region_8",9071464.17,1.03952034184809,1
"11",2014,"Region_9",4145546.15,1.08318884840537,1
"12",2015,"Region_1",2448645.9,0.748850177068657,0.748850177068657
"13",2015,"Region_1_2_Baja_TBD",355197.2,0.954206381736312,0.954206381736312
"14",2015,"Region_2",1227558,1.21317127493838,1
"15",2015,"Region_3",1650057.95,1.41758389628263,1
"16",2015,"Region_3_4_BCS_TBD",3191,1.76416577466562,1
"17",2015,"Region_4",2761024.88,1.4115613374788,1
"18",2015,"Region_4_5_6_Sonora_TBD",10060,0.825094116604374,0.825094116604374
"19",2015,"Region_5",5270958.5,0.734913960354812,0.734913960354812
"20",2015,"Region_6",2166294.17,1.2207440249442,1
"21",2015,"Region_7",3755923.9,1.21126148320426,1
"22",2015,"Region_8",10405167.3055,1.06121172587742,1
"23",2015,"Region_9",5520403.731,1.14615559054059,1
"24",2016,"Region_1",1124280.2,0.88610059245276,0.88610059245276
"25",2016,"Region_1_2_Baja_TBD",3501,1.37788282617081,1
"26",2016,"Region_2",2098467.46,1.21765340193259,1
"27",2016,"Region_3",1647421.6,1.39722763460493,1
"28",2016,"Region_3_4_BCS_TBD",24.2,0.674681649,0.674681649
"29",2016,"Region_4",2844018.7,1.41896988028691,1
"30",2016,"Region_4_5_6_Sonora_TBD",18155.4,0.996483063748505,0.996483063748505
"31",2016,"Region_5",3861491.4,0.736198002294244,0.736198002294244
"32",2016,"Region_6",2003322.6,1.19956653697078,1
"33",2016,"Region_7",5721038.6,1.24817356087801,1
"34",2016,"Region_8",12941423.89,1.06823615641159,1
"35",2016,"Region_9",9799395.46,1.24501865820442,1
"36",2017,"Region_1",779880.5,0.869170059098366,0.869170059098366
"37",2017,"Region_1_2_Baja_TBD",4487.5,1.14889879259532,1
"38",2017,"Region_2",4350872.55,1.14861409777031,1
"39",2017,"Region_3",2353290.1,1.39604869783877,1
"40",2017,"Region_3_4_BCS_TBD",5555,1.19750591575248,1
"41",2017,"Region_4",2993615.642,1.37461874036207,1
"42",2017,"Region_4_5_6_Sonora_TBD",110234.2,1.0009663126603,1
"43",2017,"Region_5",2744006.7,0.747751505610842,0.747751505610842
"44",2017,"Region_6",1799432.45,1.24371831529493,1
"45",2017,"Region_7",4910315.25,1.12173932489837,1
"46",2017,"Region_8",14448845.21,1.05574077452646,1
"47",2017,"Region_9",13215862.02,1.22601645143445,1
"48",2018,"Region_1",473392.42,0.734397778231035,0.734397778231035
"49",2018,"Region_1_2_Baja_TBD",642.4,1.41262263278331,1
"50",2018,"Region_2",4894549.78,1.07408674526827,1
"51",2018,"Region_3",1892415.48,1.35173739322532,1
"52",2018,"Region_4",2525150.28,1.2672849696294,1
"53",2018,"Region_4_5_6_Sonora_TBD",120170,0.942564604484838,0.942564604484838
"54",2018,"Region_5",2774124.25,0.952263171708674,0.952263171708674
"55",2018,"Region_6",1659514.65,1.21261420136353,1
"56",2018,"Region_7",4145424.65,0.964922723967302,0.964922723967302
"57",2018,"Region_8",13524422.223,0.971791403878941,0.971791403878941
"58",2018,"Region_9",11730349.96,1.13400677593138,1
"59",2019,"Region_1",354033.35,1.04182460780258,1
"60",2019,"Region_1_2_Baja_TBD",16966.6,0.689721741517717,0.689721741517717
"61",2019,"Region_2",8049466.572,0.936243695738482,0.936243695738482
"62",2019,"Region_3",2030391.55,1.29420869121656,1
"63",2019,"Region_4",2625771.95,1.15424323925396,1
"64",2019,"Region_4_5_6_Sonora_TBD",22031.1,1.14178921546774,1
"65",2019,"Region_5",2657258.9,0.859626819744008,0.859626819744008
"66",2019,"Region_6",4507711.9,1.35810855150364,1
"67",2019,"Region_7",4971325.6,0.97220979371038,0.97220979371038
"68",2019,"Region_8",16051946.185,0.915378006987036,0.915378006987036
"69",2019,"Region_9",9077582.9,1.02953803749043,1
"70",2020,"Region_1",399966.9,0.934056660453197,0.934056660453197
"71",2020,"Region_1_2_Baja_TBD",4119.4,1.08008567420416,1
"72",2020,"Region_2",4709868.85,1.03695347643792,1
"73",2020,"Region_3",1902440.85,1.24752423420558,1
"74",2020,"Region_4",2977102.65,1.05144751795782,1
"75",2020,"Region_4_5_6_Sonora_TBD",58447.55,1.07481077468695,1
"76",2020,"Region_5",1297534.05,1.11555687309473,1
"77",2020,"Region_6",3443711.15,1.18048584631857,1
"78",2020,"Region_7",4045190.35,1.08697091350898,1
"79",2020,"Region_8",16768824.671,0.915784523576957,0.915784523576957
"80",2020,"Region_9",4803134.35,0.899462970776837,0.899462970776837
"81",2021,"Region_1",3851891.15,0.782873705402127,0.782873705402127
"82",2021,"Region_1_2_Baja_TBD",40965.6,0.817519023429385,0.817519023429385
"83",2021,"Region_2",4500779.1,1.01521171981708,1
"84",2021,"Region_3",2324077.5,1.2024198644839,1
"85",2021,"Region_4",2968612.27,1.00512348874507,1
"86",2021,"Region_4_5_6_Sonora_TBD",2196860,0.749006379354331,0.749006379354331
"87",2021,"Region_5",4979675.25,0.863403450030545,0.863403450030545
"88",2021,"Region_6",3519006.65,1.1658303414233,1
"89",2021,"Region_7",4952600.24,1.01995044402271,1
"90",2021,"Region_8",16818950.6,0.861494780457155,0.861494780457155
"91",2021,"Region_9",4282525.05,0.809533476173378,0.809533476173378
"92",2022,"Region_1",3205696.5,0.793233301501473,0.793233301501473
"93",2022,"Region_1_2_Baja_TBD",38139,0.809303773707727,0.809303773707727
"94",2022,"Region_2",4303180,0.960305319420854,0.960305319420854
"95",2022,"Region_3",2424115.4,1.17078573267934,1
"96",2022,"Region_4",3433056.58,0.954047624035997,0.954047624035997
"97",2022,"Region_4_5_6_Sonora_TBD",1059174.9,0.697218835445906,0.697218835445906
"98",2022,"Region_5",7531713.78,0.843038803700198,0.843038803700198
"99",2022,"Region_6",3028819.95,1.15401491763889,1
"100",2022,"Region_7",4572652.4,0.916143615963759,0.916143615963759
"101",2022,"Region_8",15489875.82,0.792375825836777,0.792375825836777
"102",2022,"Region_9",3988100.9,0.76134315365482,0.76134315365482
"103",2023,"Region_1",4025619,0.720552167156117,0.720552167156117
"104",2023,"Region_1_2_Baja_TBD",500,0.686531783,0.686531783
"105",2023,"Region_2",4257465,0.906036059296116,0.906036059296116
"106",2023,"Region_3",2168662,1.07270968615024,1
"107",2023,"Region_3_4_BCS_TBD",12890,1.54100522225687,1
"108",2023,"Region_4",3775502,0.944410877799115,0.944410877799115
"109",2023,"Region_4_5_6_Sonora_TBD",735102,0.691815126718693,0.691815126718693
"110",2023,"Region_5",11105345,0.795008868329386,0.795008868329386
"111",2023,"Region_6",3153044,1.07782732205665,1
"112",2023,"Region_7",4701195,0.816697641529481,0.816697641529481
"113",2023,"Region_8",16455354,0.811428701481949,0.811428701481949
"114",2023,"Region_9",3508129,0.711007288981139,0.711007288981139
"115",2024,"Region_1",4094479.7,0.62971863678394,0.62971863678394
"116",2024,"Region_1_2_Baja_TBD",15540.9,0.608019610937558,0.608019610937558
"117",2024,"Region_2",5627915.3,0.804841930734741,0.804841930734741
"118",2024,"Region_3",1176035.92,1.14403676693869,1
"119",2024,"Region_3_4_BCS_TBD",9629.6,1.05686639866106,1
"120",2024,"Region_4",4945592.951,0.884464926081008,0.884464926081008
"121",2024,"Region_4_5_6_Sonora_TBD",776560,0.58452867923805,0.58452867923805
"122",2024,"Region_5",9794158.92,0.665198079264767,0.665198079264767
"123",2024,"Region_6",3001217.201,0.980399266357359,0.980399266357359
"124",2024,"Region_7",3997343.25,0.71951370836572,0.71951370836572
"125",2024,"Region_8",23852957.8585,0.765888304686496,0.765888304686496
"126",2024,"Region_9",3719092.11,0.605834868988127,0.605834868988127
