cinfo.stock.i.,stock,yr,ct.raw,B,lcl.B,ucl.B,B.Bmsy,lcl.B.Bmsy,ucl.B.Bmsy,F.Fmsy,lcl.F.Fmsy,ucl.F.Fmsy
micropogonias,micropogonias,2000,1918.4196,10180.65452,8633.429229,11607.07986,0.278225066,0.235941256,0.317207558,1.330210663,1.166737487,1.568602097
micropogonias,micropogonias,2001,2221.8695,10411.29162,8741.862868,11905.42551,0.284528101,0.238904617,0.325360986,1.473118036,1.288241352,1.754438578
micropogonias,micropogonias,2002,1139.6512,10642.90335,8900.674339,12133.95622,0.290857771,0.243244744,0.331606456,0.723069324,0.634216639,0.864603808
micropogonias,micropogonias,2003,2157.31825,11334.32249,9357.180088,12773.81452,0.309753426,0.255720498,0.349093015,1.206844481,1.070844149,1.461846882
micropogonias,micropogonias,2004,2609.9844,12170.9914,9957.849771,14118.96949,0.332618583,0.272136079,0.385854486,1.266234732,1.091533773,1.547656612
micropogonias,micropogonias,2005,3235.7474,13296.51174,10567.88385,15472.066,0.363377703,0.288807579,0.422832989,1.315307782,1.130360054,1.654920286
micropogonias,micropogonias,2006,2563.8422,14329.86927,11250.61971,17194.85947,0.391618124,0.30746593,0.469914866,0.897294604,0.747788279,1.142880544
micropogonias,micropogonias,2007,2468.6466,15605.66536,11816.89275,19393.95858,0.426484099,0.322941492,0.530013605,0.728488273,0.58618998,0.962058676
micropogonias,micropogonias,2008,3367.7723,17554.26024,12822.9873,22046.8157,0.479736858,0.350436848,0.602513005,0.785427091,0.625377912,1.075224614
micropogonias,micropogonias,2009,3796.5384,20383.23105,14283.07497,25728.35855,0.557049234,0.390339292,0.703125151,0.731633429,0.579634849,1.044106626
micropogonias,micropogonias,2010,7549.002,23987.58117,16177.99817,29843.69883,0.655551795,0.442125268,0.815592461,1.236180402,0.993609334,1.832920082
micropogonias,micropogonias,2011,10632.1313,26607.82346,17941.03129,32556.19445,0.727159871,0.490306846,0.88972171,1.569602753,1.28281925,2.327832346
micropogonias,micropogonias,2012,10687.8594,26923.42452,18543.81991,32590.68876,0.73578487,0.506780336,0.890664398,1.559334199,1.288178256,2.263968093
micropogonias,micropogonias,2013,6218.2443,25427.61087,17725.3871,29060.83241,0.694906078,0.48441355,0.794197661,0.960596488,0.840501517,1.378005094
micropogonias,micropogonias,2014,8857.06656,24180.83991,17149.17538,28681.28071,0.660833325,0.468666375,0.783824969,1.438789625,1.213026083,2.028735541
micropogonias,micropogonias,2015,8098.2515,23219.80846,16601.43786,27731.70176,0.634569489,0.453697366,0.757874116,1.369971076,1.147079478,1.916127161
micropogonias,micropogonias,2016,6114.64539,22908.45762,16465.16841,28144.3151,0.626060644,0.449973286,0.769150343,1.048465626,0.853413213,1.458760079
micropogonias,micropogonias,2017,6101.27825,22701.27036,16267.10419,28252.17948,0.620398465,0.444560428,0.772098147,1.055721683,0.848296443,1.473293776
micropogonias,micropogonias,2018,5870.73385,22992.48431,16696.47852,29231.47856,0.628356993,0.456294713,0.798861216,1.002963814,0.788897137,1.381167276
micropogonias,micropogonias,2019,9896.5021,24503.41657,17532.86221,31591.11987,0.669648958,0.479152075,0.86334738,1.58647725,1.23053925,2.217214308
micropogonias,micropogonias,2020,4424.97395,25040.05184,17466.56117,32670.28404,0.684314555,0.477340148,0.892839641,0.694151499,0.53203056,0.995135181
micropogonias,micropogonias,2021,11872.7388,26108.68086,18832.46725,34311.59246,0.713518903,0.514668721,0.93769463,1.786260336,1.359217037,2.476409513
micropogonias,micropogonias,2022,10831.9208,25317.28309,17883.65126,33956.65221,0.691890953,0.488738719,0.927994539,1.680610796,1.253023974,2.379184132
micropogonias,micropogonias,2023,14643.95,24571.70481,15444.51262,32702.88419,0.671515193,0.422079988,0.893730564,2.341001646,1.758939703,3.724455591
micropogonias,micropogonias,2024,12947.47035,20309.35436,8118.790883,28991.12175,0.555030272,0.221876808,0.792292552,2.504191741,1.754279048,6.264297009
mycteroperca,mycteroperca,2000,458.40725,13202.00103,10533.18522,15975.0927,1.494818118,1.192637092,1.80880595,0.246050488,0.203338964,0.30839283
mycteroperca,mycteroperca,2001,531.874,13648.82046,11105.06293,15958.08099,1.545409979,1.257388879,1.806879772,0.276137987,0.236178637,0.339390946
mycteroperca,mycteroperca,2002,482.05685,14024.18336,11565.81461,15938.9035,1.587911056,1.30955824,1.804708369,0.24357527,0.214314884,0.295348349
mycteroperca,mycteroperca,2003,618.41235,14344.88559,11989.63491,15956.06892,1.624223088,1.357545986,1.806651952,0.305487596,0.274640617,0.365497752
mycteroperca,mycteroperca,2004,612.71775,14541.95471,12308.3787,15940.16738,1.646536561,1.393636272,1.804851474,0.298572765,0.272383063,0.352754146
mycteroperca,mycteroperca,2005,411.9115,14655.24835,12553.30173,15928.03822,1.65936442,1.421368082,1.803478131,0.199169691,0.183254287,0.23251901
mycteroperca,mycteroperca,2006,326.05525,14772.06638,12786.63036,15933.02145,1.672591331,1.447787096,1.804042365,0.15640926,0.145012544,0.18069561
mycteroperca,mycteroperca,2007,409.1965,14978.77672,13060.1932,16048.18313,1.695996447,1.478761695,1.817081733,0.193583385,0.180683525,0.222021394
mycteroperca,mycteroperca,2008,515.6648,15209.41172,13367.59116,16217.11374,1.722110472,1.513567331,1.836209178,0.240252317,0.225323474,0.27335489
mycteroperca,mycteroperca,2009,577.36625,15347.41531,13630.075,16299.81614,1.737736154,1.543287493,1.845573292,0.266580675,0.251004324,0.300168879
mycteroperca,mycteroperca,2010,373.76545,15381.99966,13766.63078,16254.88456,1.741652023,1.558749244,1.84048584,0.17218641,0.162940025,0.192390669
mycteroperca,mycteroperca,2011,360.6844,15414.45335,13890.46859,16253.59149,1.745326644,1.572770983,1.840339431,0.165810392,0.157249957,0.184002184
mycteroperca,mycteroperca,2012,423.3235,15508.26239,14033.13928,16298.41995,1.755948327,1.588925104,1.845415206,0.193429074,0.184051512,0.21376178
mycteroperca,mycteroperca,2013,444.7187,15638.51776,14215.86762,16389.45334,1.770696704,1.609614819,1.85572261,0.201512652,0.192279701,0.221678991
mycteroperca,mycteroperca,2014,462.35285,15711.85844,14333.50601,16420.94267,1.779000821,1.622934617,1.859288041,0.208525176,0.199520704,0.228577575
mycteroperca,mycteroperca,2015,725.96037,15739.84147,14404.94427,16399.89267,1.782169246,1.631023331,1.85690462,0.326832379,0.313678262,0.357119731
mycteroperca,mycteroperca,2016,679.33228,15659.66491,14358.37952,16270.99847,1.773091124,1.625750961,1.842310365,0.307405973,0.295856123,0.335265865
mycteroperca,mycteroperca,2017,684.53051,15520.08929,14229.93685,16091.6209,1.757287446,1.61120783,1.822000046,0.312543959,0.301443229,0.340880652
mycteroperca,mycteroperca,2018,661.15075,15347.72488,14038.71094,15882.99201,1.737771205,1.589555964,1.798377699,0.305259371,0.294971932,0.333722723
mycteroperca,mycteroperca,2019,2421.90748,15234.16833,13886.5895,15851.0677,1.724913579,1.572331766,1.794763017,1.126552184,1.082708492,1.23587477
mycteroperca,mycteroperca,2020,912.5258,14549.96332,13024.22007,15461.44439,1.647443349,1.47468858,1.750647282,0.444422225,0.418222703,0.496484782
mycteroperca,mycteroperca,2021,1153.57185,13929.45019,12174.43587,15123.16518,1.577184737,1.378470376,1.712345066,0.586844705,0.540523362,0.671441714
mycteroperca,mycteroperca,2022,1093.07025,13275.68441,11204.06356,14754.26188,1.50316104,1.268598387,1.670575388,0.583450034,0.524980415,0.691329399
mycteroperca,mycteroperca,2023,1176.975,13159.48602,11007.5565,14671.58866,1.490004288,1.246348554,1.661214578,0.633783351,0.568463534,0.757685245
mycteroperca,mycteroperca,2024,982.820774,12964.96487,10700.83382,14553.54925,1.467979312,1.211619379,1.647849373,0.537174637,0.478539645,0.650832487
paralabrax,paralabrax,2000,4242.9024,26553.74503,20889.15562,31662.99975,1.518416535,1.194499656,1.810577843,1.132269415,0.949562378,1.43931109
paralabrax,paralabrax,2001,3298.9518,24209.49706,19158.97818,29016.86575,1.384365957,1.095563328,1.659264586,0.965612142,0.805634369,1.2201582
paralabrax,paralabrax,2002,4241.6289,22416.01699,17689.65644,27581.33648,1.281809809,1.011543449,1.577177055,1.340870196,1.089757529,1.699126786
paralabrax,paralabrax,2003,5011.7458,20709.42296,15875.80477,26373.98616,1.184222046,0.907822398,1.508137426,1.714879277,1.346560208,2.236999056
paralabrax,paralabrax,2004,5049.4634,18913.59799,13599.4107,25272.75673,1.08153181,0.777651893,1.445166084,1.891836456,1.415810494,2.631101816
paralabrax,paralabrax,2005,594.0041,16565.47015,10208.88114,23935.04737,0.94725937,0.583772041,1.368672165,0.254096213,0.175860242,0.412309945
