"year","OHI_Region_No","Major_Functional_Group","Total_Biomass_kg","Total_Days","OLD_mean_CPUE.recent","NEW_mean_CPUE.recent","Total_Value_mxn","n_records"
2014,"Region_1","Cephalopods",3144,55,66.1626984126984,57.1636363636364,84050,12
2014,"Region_1","Crustaceans",10304,20,579.75,515.2,225228,8
2014,"Region_1","Demersal marine fishes",4554764.91,7093,863.098485213426,642.149289440293,55115087.45,1480
2014,"Region_1","Diadromous fishes",100,3,33.3333333333333,33.3333333333333,500,1
2014,"Region_1","Marine algae",34250,13,2360,2634.61538461538,71750,5
2014,"Region_1","Marine fishes NEI",18913,233,76.5194881017541,81.1716738197425,230054,21
2014,"Region_1","Molluscs excl. Cephalopods",1367196.82,845,1635.6679126393,1617.98440236686,29066192.51,537
2014,"Region_1","Other marine invertebrates",3300,10,330.416666666667,330,40555,4
2014,"Region_1","Pelagic marine fishes",939663,701,1418.36137020048,1340.4607703281,13952025,218
2014,"Region_1","Sharks",101270,656,209.906877519033,154.375,1579287,145
2014,"Region_1","Shrimps, prawns",696558.484,9485,71.4725830120581,73.4379002635741,83762684.8,2797
2014,"Region_1",NA,68393.6,485,163.022367402245,141.017731958763,673485,82
2014,"Region_1_2_Baja_TBD","Demersal marine fishes",980199.331,380,4874.44584465982,2579.47192368421,13606088,100
2014,"Region_1_2_Baja_TBD","Molluscs excl. Cephalopods",13145,5,2282.77777777778,2629,621250,3
2014,"Region_1_2_Baja_TBD","Other marine invertebrates",17840,68,347.492063492063,262.352941176471,559121,21
2014,"Region_1_2_Baja_TBD","Pelagic marine fishes",620,37,16.7567567567568,16.7567567567568,6820,1
2014,"Region_1_2_Baja_TBD","Shrimps, prawns",22396.8,211,114.448788638262,106.145971563981,3033630,57
2014,"Region_1_2_Baja_TBD",NA,841,74,11.3648648648649,11.3648648648649,10933,2
2014,"Region_2","Cephalopods",772470.56,1015,959.305266666667,761.054738916256,5125282.5,250
2014,"Region_2","Crustaceans",20010,230,96.1769523809524,87,3027087,50
2014,"Region_2","Demersal marine fishes",792144.13,4144,240.2566682525,191.154471525097,10456532.7,1081
