"OHI_Region_No","Major_Functional_Group","OLD_CPUE_2003.2013","NEW_CPUE_2003.2013","Percent_Diff"
"Region_1","Cephalopods",96.8327805013236,75.8548148148148,-0.216641157858955
"Region_1","Crustaceans",338.205326685345,292.914071856287,-0.133916444406551
"Region_1","Demersal marine fishes",1056.31991892773,472.562996073738,-0.552632694313448
"Region_1","Marine algae",2000,2000,0
"Region_1","Marine fishes NEI",80.6625533421471,67.7381703470031,-0.160227794182543
"Region_1","Molluscs excl. Cephalopods",1300.74941448033,1117.48952830189,-0.140887925174777
"Region_1","Other marine invertebrates",182.955128205128,153.046511627907,-0.163475147543762
"Region_1","Pelagic marine fishes",2238.44688693936,1799.17332980973,-0.196240330602732
"Region_1","Sharks",365.633441272008,144.084690026954,-0.605931313269115
"Region_1","Shrimps, prawns",248.229744351649,176.329828497313,-0.289650686472449
"Region_1",NA,317.068946637758,112.446365512497,-0.645356738006375
"Region_1_2_Baja_TBD","Cephalopods",437.852130325815,406.190661478599,-0.0723108708496071
"Region_1_2_Baja_TBD","Crustaceans",1168.17079303675,956.298585858586,-0.181370916342966
"Region_1_2_Baja_TBD","Demersal marine fishes",1053.47214645348,1378.60612125639,0.308630822274213
"Region_1_2_Baja_TBD","Marine algae",41406.4809130264,25558.7164179104,-0.382736328846779
"Region_1_2_Baja_TBD","Marine fishes NEI",173.736772486772,165,-0.0502874110167878
"Region_1_2_Baja_TBD","Molluscs excl. Cephalopods",1939.42286367415,1889.33847058824,-0.0258243800380027
"Region_1_2_Baja_TBD","Other marine invertebrates",1135.7982417584,996.262250760392,-0.122852797149947
"Region_1_2_Baja_TBD","Pelagic marine fishes",2172.75837976273,2169.60521235521,-0.00145122782030781
"Region_1_2_Baja_TBD","Sharks",690.578193648,630.195357590966,-0.0874380868270104
"Region_1_2_Baja_TBD","Shrimps, prawns",864.480925357994,483.665325443787,-0.440513594625012
"Region_1_2_Baja_TBD",NA,536.540905634681,505.755144348894,-0.0573782184405305
"Region_2","Cephalopods",1627.55564644315,1012.9167014251,-0.377645425740915
"Region_2","Crustaceans",666.160793254365,246.109237445753,-0.630555805838637
"Region_2","Demersal marine fishes",275.071411234375,151.031786135403,-0.45093608435114
"Region_2","Marine algae",53923.2558275058,26468.7074829932,-0.509141147417665
"Region_2","Marine fishes NEI",83.5481143445032,55.1844537815126,-0.339488937428744
"Region_2","Molluscs excl. Cephalopods",1443.79858402272,900.237905007364,-0.376479576189143
"Region_2","Other marine invertebrates",976.99937709258,955.387878787879,-0.0221202784888295
"Region_2","Pelagic marine fishes",960.389521768272,590.500529019981,-0.385144760916644
"Region_2","Sharks",296.262831720314,149.043708719852,-0.496920663809236
"Region_2","Shrimps, prawns",2105.02647748547,1693.83505976096,-0.195337883928042
"Region_2",NA,276.131825391761,142.496803785245,-0.483953710938323
"Region_3","Cephalopods",7476.79138847353,7429.28144638751,-0.00635432227776949
"Region_3","Crustaceans",867.636675263271,625.238471673254,-0.279377544196671
"Region_3","Demersal marine fishes",106.882638096024,101.930324056228,-0.0463341299205844
"Region_3","Marine algae",5192.1996124031,4838.03515625,-0.0682108706504801
"Region_3","Marine fishes NEI",73.5437404525618,69.1722569393983,-0.0594405925815424
"Region_3","Molluscs excl. Cephalopods",1114.88873943135,1127.55318450427,0.0113593802009129
"Region_3","Other marine invertebrates",278.382575757576,282.888,0.0161842896602397
"Region_3","Pelagic marine fishes",1895.59768470236,1397.63181907296,-0.262695966368827
"Region_3","Sharks",170.846746336256,161.910426053276,-0.0523060606924959
"Region_3",NA,255.50142879395,220.702768795473,-0.136197516243794
"Region_3_4_BCS_TBD","Cephalopods",20581.9322015664,20505.210218509,-0.00372763753694438
"Region_3_4_BCS_TBD","Crustaceans",918.709203655352,919.424577373212,0.000778672636578782
"Region_3_4_BCS_TBD","Demersal marine fishes",720.604155909742,704.083246212121,-0.0229264701877328
"Region_3_4_BCS_TBD","Diadromous fishes",440,440,0
"Region_3_4_BCS_TBD","Marine algae",13369.6331444759,13369.6331444759,0
"Region_3_4_BCS_TBD","Marine fishes NEI",294.878421848014,289.391555555556,-0.0186072153332614
"Region_3_4_BCS_TBD","Molluscs excl. Cephalopods",2829.19795602032,2821.90168089589,-0.00257891997585696
"Region_3_4_BCS_TBD","Other marine invertebrates",1005.84868421053,1005.84868421053,0
"Region_3_4_BCS_TBD","Pelagic marine fishes",521.039722120258,508.634544710121,-0.0238085061147681
"Region_3_4_BCS_TBD","Sharks",776.408239051797,763.036872455902,-0.017222082305856
"Region_3_4_BCS_TBD","Shrimps, prawns",430.884287531807,430.499972781709,-0.00089192101271257
"Region_3_4_BCS_TBD",NA,728.850085039811,713.521938340998,-0.021030589161523
"Region_4","Cephalopods",6105.88391330734,4968.86774856204,-0.186216472649809
"Region_4","Crustaceans",112.339241430253,111.168263473054,-0.0104235878958312
"Region_4","Demersal marine fishes",103.303886098943,82.6375437127116,-0.200053871801468
"Region_4","Marine fishes NEI",67.1030980469759,52.462900241924,-0.218174692840604
"Region_4","Molluscs excl. Cephalopods",511.285822640673,471.377523264137,-0.0780547740800216
"Region_4","Other marine invertebrates",855.071428571429,791,-0.0749310834516749
"Region_4","Pelagic marine fishes",96.4137968534256,46.1625406660087,-0.521203995978004
"Region_4","Sharks",175.298332385998,160.908971093472,-0.0820849867575534
"Region_4","Shrimps, prawns",573.621600900845,179.343149807939,-0.687349378882719
"Region_4",NA,95.780128888483,75.4489251858116,-0.212269537936654
"Region_4_5_6_Sonora_TBD","Cephalopods",27003.4048499893,22724.858614436,-0.158444694634684
"Region_4_5_6_Sonora_TBD","Crustaceans",3497.45484513202,3311.96360271437,-0.0530360649761714
"Region_4_5_6_Sonora_TBD","Demersal marine fishes",1876.78165892485,1432.84732034105,-0.236540215785205
