"year","OHI_Region_No","estimated_genus_name","status","Annual_Catch_kg","Catch_t2_vs_Catch_t1","control","notes","CNP_score"
2023,"region_1","alopias","maximally harvested",1760,"increased","no increase",NA,0.6
2022,"region_1","argopecten","maximally harvested",24525,"increased","no increase",NA,0.6
2019,"region_1","carcharhinus","maximally harvested",100,"decreased","no increase",NA,0.8
2020,"region_1","carcharhinus","maximally harvested",2453.25,"increased","no increase",NA,0.6
2021,"region_1","carcharhinus","maximally harvested",1790,"decreased","no increase",NA,0.8
2022,"region_1","carcharhinus","maximally harvested",2107.5,"similar","no increase",NA,0.7
2023,"region_1","carcharhinus","maximally harvested",35,"decreased","no increase",NA,0.8
2019,"region_1","chione","maximally harvested",160171,"similar","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.7
2020,"region_1","chione","maximally harvested",142635,"similar","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.7
2021,"region_1","chione","maximally harvested",188149,"increased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.6
2022,"region_1","chione","maximally harvested",226954,"increased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.6
2023,"region_1","chione","maximally harvested",225609,"similar","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.7
2019,"region_1","cynoscion","maximally harvested",28335.5,"similar","no increase",NA,0.7
2020,"region_1","cynoscion","maximally harvested",24990,"similar","no increase",NA,0.7
2021,"region_1","cynoscion","maximally harvested",64304.6,"increased","no increase",NA,0.6
2022,"region_1","cynoscion","maximally harvested",64586.7,"similar","no increase",NA,0.7
2023,"region_1","cynoscion","maximally harvested",180928,"increased","no increase",NA,0.6
2024,"region_1","cynoscion","maximally harvested",50375.5,"decreased","no increase",NA,0.8
2022,"region_1","dosinia","unclear",11356,"increased",NA,"capture records are recent in this area, no pattern available",NA
2024,"region_1","dosinia","unclear",1875,"decreased",NA,"capture records are recent in this area, no pattern available",NA
2019,"region_1","galeorhinus","maximally harvested",330,NA,"no increase",NA,NA
2022,"region_1","galeorhinus","maximally harvested",4352,"increased","no increase",NA,0.6
2023,"region_1","galeorhinus","maximally harvested",3603,"similar","no increase",NA,0.7
2024,"region_1","galeorhinus","maximally harvested",5676,"increased","no increase",NA,0.6
2022,"region_1","haliotis","deteriorating",88.06,"decreased","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.6
2023,"region_1","haliotis","deteriorating",112,"increased","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.4
