"Year","OHI_Region","weighted_CPUE_acrossAllGroups","OHI_Region_No","Annual_Catch_kg","n_stocks","weighted_StockStatus","weighted_StockStatus_capped","FIS_Score"
2014,"region_1",0.917196,"region_1",3696671.71,17,0.737115594736117,0.737115594736117,0.827155797368058
2014,"region_1_2_baja_tbd",0.9674408,"region_1_2_baja_tbd",1624.5,2,0.665466442980917,0.665466442980917,0.816453621490459
2014,"region_2",0.8954448,"region_2",824334.3,22,0.908126163385576,0.908126163385576,0.901785481692788
2014,"region_3",0.9572091,"region_3",1339346,23,0.981571368688005,0.981571368688005,0.969390234344002
2014,"region_4",0.9850934,"region_4",2482460.55,21,0.966929649011354,0.966929649011354,0.976011524505677
2014,"region_4_5_6_sonora_tbd",0.496357,"region_4_5_6_sonora_tbd",138279.2,12,0.825770946804415,0.825770946804415,0.661063973402207
2014,"region_5",0.9000226,"region_5",7453730.3,13,0.775764014975212,0.775764014975212,0.837893307487606
2014,"region_6",0.9896986,"region_6",780470.35,12,0.881689487967269,0.881689487967269,0.935694043983635
2014,"region_7",0.6111382,"region_7",2778728.4,17,0.857268198336407,0.857268198336407,0.734203199168204
2014,"region_8",0.6938229,"region_8",9071464.17,24,0.860284894334904,0.860284894334904,0.777053897167452
2014,"region_9",0.7494845,"region_9",4145546.15,21,0.876570974469746,0.876570974469746,0.813027737234873
2015,"region_1",0.9460278,"region_1",2448645.9,19,0.711263094616516,0.711263094616516,0.828645447308258
2015,"region_1_2_baja_tbd",0.9011916,"region_1_2_baja_tbd",355197.2,7,0.850720299955369,0.850720299955369,0.875955949977684
2015,"region_2",0.721876,"region_2",1227558,20,0.96923068553548,0.96923068553548,0.84555334276774
2015,"region_3",0.7597195,"region_3",1650057.95,23,0.975267700113358,0.975267700113358,0.867493600056679
2015,"region_3_4_bcs_tbd",0.281907,"region_3_4_bcs_tbd",3191,4,0.951643949103729,0.951643949103729,0.616775474551865
2015,"region_4",0.944743,"region_4",2761024.88,22,0.96404656952952,0.96404656952952,0.95439478476476
2015,"region_4_5_6_sonora_tbd",0.3667038,"region_4_5_6_sonora_tbd",10060,7,0.733401969526839,0.733401969526839,0.550052884763419
2015,"region_5",0.8634569,"region_5",5270958.5,15,0.70188544417454,0.70188544417454,0.78267117208727
2015,"region_6",0.8170854,"region_6",2166294.17,16,0.928592118051774,0.928592118051774,0.872838759025887
2015,"region_7",0.4401385,"region_7",3755923.9,21,0.849480683519092,0.849480683519092,0.644809591759546
2015,"region_8",0.5193562,"region_8",10405167.3055,24,0.865607853907684,0.865607853907684,0.692482026953842
2015,"region_9",0.8657808,"region_9",5520403.731,22,0.89739780214585,0.89739780214585,0.881589301072925
2016,"region_1",0.8804853,"region_1",1124280.2,15,0.804760297717824,0.804760297717824,0.842622798858912
2016,"region_1_2_baja_tbd",0.983478,"region_1_2_baja_tbd",3501,4,0.914324487597829,0.914324487597829,0.948901243798915
2016,"region_2",0.9332903,"region_2",2098467.46,23,0.981222487477567,0.981222487477567,0.957256393738783
2016,"region_3",0.8324796,"region_3",1647421.6,23,0.971580522685295,0.971580522685295,0.902030061342648
2016,"region_3_4_bcs_tbd",0.1014773,"region_3_4_bcs_tbd",24.2,2,0.565606999,0.565606999,0.3335421495
2016,"region_4",0.9504722,"region_4",2844018.7,21,0.972765600998364,0.972765600998364,0.961618900499182
2016,"region_4_5_6_sonora_tbd",0.4368455,"region_4_5_6_sonora_tbd",18155.4,5,0.778421869424634,0.778421869424634,0.607633684712317
2016,"region_5",0.7941211,"region_5",3861491.4,14,0.696072889994955,0.696072889994955,0.745096994997478
2016,"region_6",0.849835,"region_6",2003322.6,14,0.917063964193925,0.917063964193925,0.883449482096963
2016,"region_7",0.3884502,"region_7",5721038.6,18,0.90872687336103,0.90872687336103,0.648588536680515
2016,"region_8",0.4771437,"region_8",12941423.89,25,0.862363412524003,0.862363412524003,0.669753556262002
2016,"region_9",0.9719333,"region_9",9799395.46,23,0.94640238646702,0.94640238646702,0.95916784323351
2017,"region_1",0.7356205,"region_1",779880.5,17,0.723641678267427,0.723641678267427,0.729631089133714
2017,"region_1_2_baja_tbd",0.9696776,"region_1_2_baja_tbd",4487.5,5,0.88931900277961,0.88931900277961,0.929498301389805
2017,"region_2",0.9695083,"region_2",4350872.55,20,0.962317188835386,0.962317188835386,0.965912744417693
2017,"region_3",0.8421838,"region_3",2353290.1,22,0.987320947459864,0.987320947459864,0.914752373729932
2017,"region_3_4_bcs_tbd",0.7033544,"region_3_4_bcs_tbd",5555,2,0.994801707831683,0.994801707831683,0.849078053915842
2017,"region_4",0.9674864,"region_4",2993615.642,22,0.982933906938148,0.982933906938148,0.975210153469074
2017,"region_4_5_6_sonora_tbd",0.8259664,"region_4_5_6_sonora_tbd",110234.2,7,0.742364315577848,0.742364315577848,0.784165357788924
2017,"region_5",0.9070181,"region_5",2744006.7,15,0.696994773053074,0.696994773053074,0.802006436526537
2017,"region_6",0.827514,"region_6",1799432.45,14,0.93274455679711,0.93274455679711,0.880129278398555
2017,"region_7",0.511745,"region_7",4910315.25,18,0.864883274189769,0.864883274189769,0.688314137094884
2017,"region_8",0.5477385,"region_8",14448845.21,23,0.869328532486023,0.869328532486023,0.708533516243012
2017,"region_9",0.9652782,"region_9",13215862.02,20,0.953915203465955,0.953915203465955,0.959596701732978
2018,"region_1",0.7496142,"region_1",473392.42,16,0.67739716765017,0.67739716765017,0.713505683825085
2018,"region_1_2_baja_tbd",0.9950515,"region_1_2_baja_tbd",642.4,3,0.903079665753425,0.903079665753425,0.949065582876712
2018,"region_2",0.9809473,"region_2",4894549.78,22,0.912438038337952,0.912438038337952,0.946692669168976
2018,"region_3",0.9241307,"region_3",1892415.48,24,0.980544656820509,0.980544656820509,0.952337678410254
2018,"region_3_4_bcs_tbd",0.8599296,"region_3_4_bcs_tbd",NA,NA,NA,NA,0.8599296
2018,"region_4",0.95766,"region_4",2525150.28,21,0.975823981151653,0.975823981151653,0.966741990575827
2018,"region_4_5_6_sonora_tbd",0.9635553,"region_4_5_6_sonora_tbd",120170,7,0.751700076181243,0.751700076181243,0.857627688090622
2018,"region_5",0.945319,"region_5",2774124.25,15,0.789544209140744,0.789544209140744,0.867431604570372
2018,"region_6",0.8217714,"region_6",1659514.65,17,0.92408794180982,0.92408794180982,0.87292967090491
2018,"region_7",0.5338562,"region_7",4145424.65,18,0.81076192782059,0.81076192782059,0.672309063910295
2018,"region_8",0.6053591,"region_8",13524422.223,24,0.849609140806393,0.849609140806393,0.727484120403197
2018,"region_9",0.935343,"region_9",11730349.96,21,0.943129076088895,0.943129076088895,0.939236038044448
2019,"region_1",0.8570409,"region_1",354033.35,19,0.845737560301131,0.845737560301131,0.851389230150566
2019,"region_1_2_baja_tbd",0.9952947,"region_1_2_baja_tbd",16966.6,8,0.659800378958866,0.659800378958866,0.827547539479433
2019,"region_2",0.9733948,"region_2",8049466.572,27,0.836248601261118,0.836248601261118,0.904821700630559
2019,"region_3",0.7519702,"region_3",2030391.55,31,0.981611203207449,0.981611203207449,0.866790701603724
2019,"region_3_4_bcs_tbd",0.006,"region_3_4_bcs_tbd",0,1,NA,NA,0.006
2019,"region_4",0.9716562,"region_4",2625771.95,26,0.976765100681687,0.976765100681687,0.974210650340843
2019,"region_4_5_6_sonora_tbd",0.605988,"region_4_5_6_sonora_tbd",22031.1,10,0.882305380257908,0.882305380257908,0.744146690128954
2019,"region_5",0.9320052,"region_5",2657258.9,20,0.765124140520696,0.765124140520696,0.848564670260348
2019,"region_6",0.8891045,"region_6",4507711.9,26,0.933828965786112,0.933828965786112,0.911466732893056
2019,"region_7",0.762336,"region_7",4971325.6,34,0.825673805285826,0.825673805285826,0.794004902642913
2019,"region_8",0.5508105,"region_8",16051946.185,33,0.843998056746003,0.843998056746003,0.697404278373001
2019,"region_9",0.9393506,"region_9",9077582.9,30,0.935388308650515,0.935388308650515,0.937369454325258
2020,"region_1",0.9844083,"region_1",399966.9,22,0.801951797075536,0.801951797075536,0.893180048537768
2020,"region_1_2_baja_tbd",0.839828,"region_1_2_baja_tbd",4119.4,10,0.835799705749332,0.835799705749332,0.837813852874666
2020,"region_2",0.9622225,"region_2",4709868.85,32,0.904648738777861,0.904648738777861,0.933435619388931
2020,"region_3",0.7579616,"region_3",1902440.85,33,0.950366715191234,0.950366715191234,0.854164157595617
2020,"region_3_4_bcs_tbd",0.9967429,"region_3_4_bcs_tbd",0,1,NA,NA,0.9967429
2020,"region_4",0.9755409,"region_4",2977102.65,28,0.93281794100553,0.93281794100553,0.954179420502765
2020,"region_4_5_6_sonora_tbd",0.751555,"region_4_5_6_sonora_tbd",58447.55,6,0.999943533562916,0.999943533562916,0.875749266781458
2020,"region_5",0.9563944,"region_5",1297534.05,22,0.852193329627992,0.852193329627992,0.904293864813996
2020,"region_6",0.828068,"region_6",3443711.15,29,0.914591128278451,0.914591128278451,0.871329564139225
2020,"region_7",0.958456,"region_7",4045190.35,33,0.876801285370521,0.876801285370521,0.91762864268526
2020,"region_8",0.677564,"region_8",16768824.671,35,0.85241333689282,0.85241333689282,0.76498866844641
2020,"region_9",0.840692,"region_9",4803134.35,31,0.863543205783231,0.863543205783231,0.852117602891616
2021,"region_1",0.9995258,"region_1",3851891.15,20,0.777412233462821,0.777412233462821,0.88846901673141
2021,"region_1_2_baja_tbd",0.8168446,"region_1_2_baja_tbd",40965.6,10,0.806687844168273,0.806687844168273,0.811766222084136
2021,"region_2",0.9502687,"region_2",4500779.1,35,0.891613768093231,0.891613768093231,0.920941234046616
