"","Year","OHI_Region","weighted_CPUE_acrossAllGroups","weighted_BBmsy_acrossAllStocks_capped"
"1",2014,"Region_1",0.794886,0.775891793069566
"2",2014,"Region_1_2_Baja_TBD",0.9678639,0.817346989979994
"3",2014,"Region_2",0.7641027,1
"4",2014,"Region_3",0.9553497,1
"5",2014,"Region_4",0.9621018,1
"6",2014,"Region_4_5_6_Sonora_TBD",0.4731412,0.915370522167165
"7",2014,"Region_5",0.7501424,0.820832715771077
"8",2014,"Region_6",0.9853582,1
"9",2014,"Region_7",0.5380449,1
"10",2014,"Region_8",0.4332503,1
"11",2014,"Region_9",0.7669838,1
"12",2015,"Region_1",0.8125482,0.748850177068657
"13",2015,"Region_1_2_Baja_TBD",0.9129406,0.954206381736312
"14",2015,"Region_2",0.819167,1
"15",2015,"Region_3",0.767249,1
"16",2015,"Region_3_4_BCS_TBD",0.2342518,1
"17",2015,"Region_4",0.9218167,1
"18",2015,"Region_4_5_6_Sonora_TBD",0.3297749,0.825094116604374
"19",2015,"Region_5",0.7047068,0.734913960354812
"20",2015,"Region_6",0.8970526,1
"21",2015,"Region_7",0.5547688,1
"22",2015,"Region_8",0.3012419,1
"23",2015,"Region_9",0.8250504,1
"24",2016,"Region_1",0.6632759,0.88610059245276
"25",2016,"Region_1_2_Baja_TBD",0.9797509,1
"26",2016,"Region_2",0.803783,1
"27",2016,"Region_3",0.8820204,1
"28",2016,"Region_3_4_BCS_TBD",0.1174205,0.674681649
"29",2016,"Region_4",0.931062,1
"30",2016,"Region_4_5_6_Sonora_TBD",0.4495582,0.996483063748505
"31",2016,"Region_5",0.6772617,0.736198002294244
"32",2016,"Region_6",0.8803758,1
"33",2016,"Region_7",0.3025669,1
"34",2016,"Region_8",0.299452,1
"35",2016,"Region_9",0.9414786,1
"36",2017,"Region_1",0.5677746,0.869170059098366
"37",2017,"Region_1_2_Baja_TBD",0.9927992,1
"38",2017,"Region_2",0.9214353,1
