"Year","OHI_Region","Stock_genera","Annual_Catch_kg","Avg_Catch_Ref2018.2022","n_Years_Ref2018.2022","Carta_est.Status","CMSY_est.B","RAM_n_Assessments","Carta_StockStatus","CMSY_StockStatus","RAM_StockStatus","StockStatus_Pick","StockStatus_capped"
2023,"region_1","alopias",1760,NA,0,"maximally harvested",12436.03306,NA,NA,1.012260607,NA,1.012260607,1
2018,"region_2","alopias",3553,2067.25,4,"maximally harvested",15230.50438,NA,0.581832254432874,1.239723274,NA,1.239723274,1
2020,"region_2","alopias",2802.5,2067.25,4,"maximally harvested",13850.27686,NA,0.73764495985727,1.127376359,NA,1.127376359,1
2021,"region_2","alopias",1050,2067.25,4,"maximally harvested",13312.84749,NA,1,1.083631012,NA,1.083631012,1
2022,"region_2","alopias",863.5,2067.25,4,"maximally harvested",12899.67948,NA,1,1.050000215,NA,1.050000215,1
2023,"region_2","alopias",359,2067.25,4,"maximally harvested",12436.03306,NA,1,1.012260607,NA,1.012260607,1
2024,"region_2","alopias",14760,2067.25,4,"maximally harvested",11802.84722,NA,0.140057588075881,0.960720934,NA,0.960720934,0.960720934
2018,"region_3","alopias",71009,23979.1,5,"maximally harvested",15230.50438,NA,0.337690996915884,1.239723274,NA,1.239723274,1
2019,"region_3","alopias",28567.6,23979.1,5,"maximally harvested",14526.92676,NA,0.839380977050925,1.182453893,NA,1.182453893,1
2020,"region_3","alopias",4665.5,23979.1,5,"maximally harvested",13850.27686,NA,1,1.127376359,NA,1.127376359,1
2021,"region_3","alopias",11425.4,23979.1,5,"maximally harvested",13312.84749,NA,1,1.083631012,NA,1.083631012,1
2022,"region_3","alopias",4228,23979.1,5,"maximally harvested",12899.67948,NA,1,1.050000215,NA,1.050000215,1
2023,"region_3","alopias",2854,23979.1,5,"maximally harvested",12436.03306,NA,1,1.012260607,NA,1.012260607,1
2024,"region_3","alopias",4107.9,23979.1,5,"maximally harvested",11802.84722,NA,1,0.960720934,NA,0.960720934,0.960720934
2018,"region_4","alopias",3803,72685.04,5,"maximally harvested",15230.50438,NA,1,1.239723274,NA,1.239723274,1
2019,"region_4","alopias",33410,72685.04,5,"maximally harvested",14526.92676,NA,1,1.182453893,NA,1.182453893,1
2020,"region_4","alopias",63615.45,72685.04,5,"maximally harvested",13850.27686,NA,1,1.127376359,NA,1.127376359,1
2021,"region_4","alopias",258582.25,72685.04,5,"maximally harvested",13312.84749,NA,0.281090600766294,1.083631012,NA,1.083631012,1
2022,"region_4","alopias",4014.5,72685.04,5,"maximally harvested",12899.67948,NA,1,1.050000215,NA,1.050000215,1
