"","yr","OHI_Region_No","stock","total_catch_kg","B","B.Bmsy","lcl.B.Bmsy","ucl.B.Bmsy","F.Fmsy","lcl.F.Fmsy","ucl.F.Fmsy"
"1",2015,"Region_1","alopias",700,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"2",2023,"Region_1","alopias",1760,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"3",2014,"Region_2","alopias",7000,15509.91656,1.262466695,1.138517534,1.332020463,0.682167813,0.646547232,0.756434678
"4",2015,"Region_2","alopias",211.25,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"5",2016,"Region_2","alopias",1655.75,15912.06132,1.295200228,1.169244734,1.377394052,1.061781762,0.998421605,1.176160936
"6",2018,"Region_2","alopias",3553,15230.50438,1.239723274,1.103182558,1.347579278,1.544622814,1.420996065,1.735800514
"7",2020,"Region_2","alopias",2802.5,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"8",2021,"Region_2","alopias",1050,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"9",2022,"Region_2","alopias",863.5,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"10",2023,"Region_2","alopias",359,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"11",2024,"Region_2","alopias",14760,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"12",2014,"Region_3","alopias",7428,15509.91656,1.262466695,1.138517534,1.332020463,0.682167813,0.646547232,0.756434678
"13",2015,"Region_3","alopias",9334,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"14",2016,"Region_3","alopias",66934.9,15912.06132,1.295200228,1.169244734,1.377394052,1.061781762,0.998421605,1.176160936
"15",2017,"Region_3","alopias",94274,15767.0351,1.283395472,1.15581201,1.374792088,2.110260922,1.969970104,2.343200528
"16",2018,"Region_3","alopias",71009,15230.50438,1.239723274,1.103182558,1.347579278,1.544622814,1.420996065,1.735800514
"17",2019,"Region_3","alopias",28567.6,14526.92676,1.182453893,1.018936222,1.310628455,1.224522494,1.104768773,1.421032405
"18",2020,"Region_3","alopias",4665.5,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"19",2021,"Region_3","alopias",11425.4,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"20",2022,"Region_3","alopias",4228,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"21",2023,"Region_3","alopias",2854,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"22",2024,"Region_3","alopias",4107.9,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"23",2014,"Region_4","alopias",11529,15509.91656,1.262466695,1.138517534,1.332020463,0.682167813,0.646547232,0.756434678
"24",2015,"Region_4","alopias",8929,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"25",2016,"Region_4","alopias",7220.25,15912.06132,1.295200228,1.169244734,1.377394052,1.061781762,0.998421605,1.176160936
"26",2017,"Region_4","alopias",20670,15767.0351,1.283395472,1.15581201,1.374792088,2.110260922,1.969970104,2.343200528
"27",2018,"Region_4","alopias",3803,15230.50438,1.239723274,1.103182558,1.347579278,1.544622814,1.420996065,1.735800514
"28",2019,"Region_4","alopias",33410,14526.92676,1.182453893,1.018936222,1.310628455,1.224522494,1.104768773,1.421032405
"29",2020,"Region_4","alopias",63615.45,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"30",2021,"Region_4","alopias",258582.25,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"31",2022,"Region_4","alopias",4014.5,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"32",2023,"Region_4","alopias",76256,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"33",2024,"Region_4","alopias",900,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"34",2019,"Region_7","alopias",42125,14526.92676,1.182453893,1.018936222,1.310628455,1.224522494,1.104768773,1.421032405
"35",2020,"Region_7","alopias",56625,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"36",2021,"Region_7","alopias",40625,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"37",2022,"Region_7","alopias",133139,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"38",2023,"Region_7","alopias",278008,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"39",2024,"Region_7","alopias",251375,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"40",2014,"Region_8","alopias",401197.95,15509.91656,1.262466695,1.138517534,1.332020463,0.682167813,0.646547232,0.756434678
"41",2015,"Region_8","alopias",407091.268,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"42",2016,"Region_8","alopias",690179.1,15912.06132,1.295200228,1.169244734,1.377394052,1.061781762,0.998421605,1.176160936
"43",2017,"Region_8","alopias",665940.55,15767.0351,1.283395472,1.15581201,1.374792088,2.110260922,1.969970104,2.343200528
"44",2018,"Region_8","alopias",559732.7,15230.50438,1.239723274,1.103182558,1.347579278,1.544622814,1.420996065,1.735800514
"45",2019,"Region_8","alopias",615847.85,14526.92676,1.182453893,1.018936222,1.310628455,1.224522494,1.104768773,1.421032405
"46",2020,"Region_8","alopias",888356.55,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"47",2021,"Region_8","alopias",632650.5,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"48",2022,"Region_8","alopias",801424.55,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"49",2023,"Region_8","alopias",1329739,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"50",2024,"Region_8","alopias",608579.7,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
