state,landing_site_catch,landing_site_primary,lat,long,GulfCal
BAJA CALIFORNIA,ENSENADA,ENSENADA,31.8508,-116.6007,no
BAJA CALIFORNIA,EL SAUZAL,SAUZAL EL,31.884,-116.6839,no
BAJA CALIFORNIA,LAGUNA LAS FLORES Y GOLFO DE MEXICO,LAGUNA LAS FLORES Y GOLFO DE MEXICO,24.5843,−110.7416,yes
BAJA CALIFORNIA,SAN FELIPE,SAN FELIPE,31.0173,-114.8335,yes
BAJA CALIFORNIA,BAHIA DE LOS ANGELES,ANGELES BAHÍA DE LOS,29.03,-113.551,yes
BAJA CALIFORNIA,ISLA CEDROS,CEDROS ISLA,28.189,-115.216,no
BAJA CALIFORNIA,LA PUERTA,LA PUERTA,NA,NA,NA
BAJA CALIFORNIA,NO CONSIDERADO,NO CONSIDERADO,NA,NA,NA
BAJA CALIFORNIA,SAN CARLOS,SAN CARLOS,30.728,-114.697,yes
BAJA CALIFORNIA,SITIO EMB DESEM GENERICO,SITIO EMB DESEM GENERICO,NA,NA,NA
BAJA CALIFORNIA,PLAYA SAN RAMON/CAMALU,PLAYA SAN RAMON/CAMALU,30.7704,-116.0592,no
BAJA CALIFORNIA,LA ESCOLLERA,LA ESCOLLERA,NA,NA,NA
BAJA CALIFORNIA,PUNTA ESCARPADA (PUNTA BLUFF),ESCARPADA PUNTA,29.5946,-114.0272,yes
BAJA CALIFORNIA,PUNTA EL PESCADOR,PESCADOR PUNTA EL,28.9368,-113.3828,yes
BAJA CALIFORNIA,EJIDO JOSE M. MORELOS Y PAVON,JOSE M. MORELOS Y PAVÓN EJIDO,28.3442,-114.0668,no
BAJA CALIFORNIA,VALLE TRANQUILO,VALLE TRANQUILO,31.2532,-114.8907,yes
BAJA CALIFORNIA,PIEDRA SAN ANTONIO,SAN ANTONIO PIEDRA,28.4328,-112.8691,yes
BAJA CALIFORNIA,CAMPO NUEVO,NUEVO CAMPO,29.6843,-115.6001,no
BAJA CALIFORNIA,PUERTECITOS,PUERTECITOS,30.3467,-114.6422,yes
BAJA CALIFORNIA,PUNTA BAJA,BAJA PUNTA,29.9503,-115.8004,no
BAJA CALIFORNIA,SAN ANTONIO DEL MAR,SAN ANTONIO DEL MAR,31.0974,-116.3047,no
BAJA CALIFORNIA,EL ROSARIO,ROSARIO EL,30.063,-115.763,no
BAJA CALIFORNIA,PUNTA SAN JOSE,SAN JOSÉ PUNTA,31.4505,-116.6002,no
BAJA CALIFORNIA,LA SALINA,SALINA LA,32.05,-116.885,no
BAJA CALIFORNIA,LA CALAVERA,CALAVERA LA,31.3505,-116.467,no
BAJA CALIFORNIA,PUNTA SAN JOSE (VARADERO),PUNTA SAN JOSE (VARADERO),31.467,-116.6,no
BAJA CALIFORNIA,BAJAMAR,BAJAMAR,32.027,-116.87,no
BAJA CALIFORNIA,PLAYA,PLAYA,31.8618,-116.6713,no
