state,fishing_site_name,fishing_site_clean
BAJA CALIFORNIA,ENSENADA,Ensenada
BAJA CALIFORNIA,JATAY,Jatay
BAJA CALIFORNIA,PUNTA COLONET,Punta Colonet
BAJA CALIFORNIA,RIVERA Y PLAYAS DE TIJUANA,Rivera Y Playas De Tijuana
BAJA CALIFORNIA,PUNTA CLARA LA BOCONA,Punta Clara La Bocona
BAJA CALIFORNIA,SAN FELIPE,San Felipe
BAJA CALIFORNIA,PUERTECITOS,Puertecitos
BAJA CALIFORNIA,LOS MORROS,Los Morros
BAJA CALIFORNIA,GOLFO DE CALIFORNIA,Golfo De California
BAJA CALIFORNIA SUR,MALARRIMO (CAMPO PESQUERO),Malarrimo (Campo Pesquero)
BAJA CALIFORNIA,EL MUERTO,El Muerto
BAJA CALIFORNIA,RIIF,Riif
SONORA,PEóASCO,Peã³Asco
BAJA CALIFORNIA,BAJAMAR,Bajamar
BAJA CALIFORNIA,SAN ISIDRO (EJIDO ERENDIRA),San Isidro (Ejido Erendira)
SINALOA,CERRITOS,Cerritos
SINALOA,MARMOL,Marmol
SINALOA,LOS CERRITOS,Los Cerritos
BAJA CALIFORNIA,SAN LUIS GONZAGA,San Luis Gonzaga
SINALOA,FRENTE A LAS TRES ISLAS,Frente A Las Tres Islas
BAJA CALIFORNIA SUR,AGUAS LITORALES (PUNTA ABREOJOS),Aguas Litorales (Punta Abreojos)
BAJA CALIFORNIA,EL AFERRADO,El Aferrado
BAJA CALIFORNIA,LA RINCONADA (BAHIA DEL ROSARIO),La Rinconada (Bahia Del Rosario)
JALISCO,PRESA SANTA ROSA,Presa Santa Rosa
JALISCO,PRESA LA YESCA,Presa La Yesca
BAJA CALIFORNIA,LA MISION,La Mision
BAJA CALIFORNIA,CAMPO LOPEZ,Campo Lopez
BAJA CALIFORNIA,ISLA DE CORONADO,Isla De Coronado
BAJA CALIFORNIA,PUNTA ROSARITO,Punta Rosarito
BAJA CALIFORNIA,SAN MIGUEL (ENSENADA),San Miguel (Ensenada)
BAJA CALIFORNIA SUR,ISLA NATIVIDAD,Isla Natividad
