state,landing_site,OHI_rgn,long,lat,GulfCal
BAJA CALIFORNIA,ENSENADA,Baja_California_North,-116.6007,31.8508,no
BAJA CALIFORNIA,EL SAUZAL,Baja_California_North,-116.6839,31.884,no
BAJA CALIFORNIA,LAGUNA LAS FLORES Y GOLFO DE MEXICO,Baja_California_South,−110.7416,24.5843,yes
BAJA CALIFORNIA,SAN FELIPE,Baja_California_North,-114.8335,31.0173,yes
BAJA CALIFORNIA,BAHIA DE LOS ANGELES,Baja_California_South,-113.551,29.03,yes
BAJA CALIFORNIA,ISLA CEDROS,Baja_California_South,-115.216,28.189,no
BAJA CALIFORNIA,SAN CARLOS,Baja_California_South,-114.697,30.728,yes
BAJA CALIFORNIA,PLAYA SAN RAMON/CAMALU,Baja_California_South,-116.0592,30.7704,no
BAJA CALIFORNIA,PUNTA ESCARPADA (PUNTA BLUFF),Baja_California_South,-114.0272,29.5946,yes
BAJA CALIFORNIA,PUNTA EL PESCADOR,Baja_California_South,-113.3828,28.9368,yes
BAJA CALIFORNIA,EJIDO JOSE M. MORELOS Y PAVON,Baja_California_South,-114.0668,28.3442,no
BAJA CALIFORNIA,VALLE TRANQUILO,Baja_California_North,-114.8907,31.2532,yes
BAJA CALIFORNIA,PIEDRA SAN ANTONIO,Baja_California_South,-112.8691,28.4328,yes
BAJA CALIFORNIA,CAMPO NUEVO,Baja_California_South,-115.6001,29.6843,no
BAJA CALIFORNIA,PUERTECITOS,Baja_California_South,-114.6422,30.3467,yes
BAJA CALIFORNIA,PUNTA BAJA,Baja_California_South,-115.8004,29.9503,no
BAJA CALIFORNIA,SAN ANTONIO DEL MAR,Baja_California_North,-116.3047,31.0974,no
BAJA CALIFORNIA,EL ROSARIO,Baja_California_South,-115.763,30.063,no
BAJA CALIFORNIA,PUNTA SAN JOSE,Baja_California_North,-116.6002,31.4505,no
BAJA CALIFORNIA,LA SALINA,Baja_California_North,-116.885,32.05,no
BAJA CALIFORNIA,LA CALAVERA,Baja_California_North,-116.467,31.3505,no
BAJA CALIFORNIA,PUNTA SAN JOSE (VARADERO),Baja_California_North,-116.6,31.467,no
BAJA CALIFORNIA,BAJAMAR,Baja_California_North,-116.87,32.027,no
BAJA CALIFORNIA,PLAYA,Baja_California_North,-116.6713,31.8618,no
BAJA CALIFORNIA,EL CHINERO 4TO. ESTERO (EN ZONA ESTEROS),Baja_California_North,-115.0566,31.4813,yes
BAJA CALIFORNIA,EL CHUTE,Baja_California_South,-115.9838,30.4338,no
BAJA CALIFORNIA,PUERTO SAN ISIDRO,Baja_California_North,-116.4121,31.2906,no
BAJA CALIFORNIA,PTO. STO. TOMAS,Baja_California_North,-116.419,31.583,no
BAJA CALIFORNIA,SANTA ROSALILLITA,Baja_California_South,-114.2554,28.6602,no
BAJA CALIFORNIA,ARROYO ANCHO,Baja_California_South,-115.704,29.903,no
BAJA CALIFORNIA,JATAY,Baja_California_North,-116.8617,32,no
BAJA CALIFORNIA,AGUA BLANCA,Baja_California_South,-115.716,29.935,no
BAJA CALIFORNIA,PLAYA SAN QUINTIN,Baja_California_South,-115.9539,30.4667,no
BAJA CALIFORNIA,SAN RAFAEL,Baja_California_South,-113.1228,28.5766,yes
BAJA CALIFORNIA,POPOTLA,Baja_California_North,-117.0333,32.2835,no
BAJA CALIFORNIA,CAMALU,Baja_California_South,-116.0548,30.8498,no
BAJA CALIFORNIA,ARBOLITOS O PUERTO KENNEDY,Baja_California_North,-116.68595,31.71114,no
BAJA CALIFORNIA,PUNTA AZUFRE,Baja_California_South,-115.9675,30.3838,no
BAJA CALIFORNIA,CAMPO NORTE (EN I. GUADALUPE),Baja_California_South,-118.28,29.0308,no
BAJA CALIFORNIA,MUELLE FISCAL,Baja_California_North,-116.633,31.8525,no
BAJA CALIFORNIA,PUERTO NUEVO,Baja_California_North,-116.9314,32.2431,no
