landing_site,clave,subregion,long,lat,State,hand_added,notes
ABAROA ISLOTE,129,2.0129,-113.2088,26.7386,Baja California Sur,,
ABREOJOS PUNTA,101,2.0101,-113.5742,26.7077,Baja California Sur,,
ADOLFO LOPEZ MATEOS PUERTO,204,2.0204,-112.1185,25.1889,Baja California Sur,,
AGUA CHALE,NA,2,-112.02,25.1,Baja California Sur,yes,
AGUA VERDE PUERTO,172,3.0172,-111.0814,25.5277,Baja California Sur,,
AGUAS LITORALES (BAHIA ASUNSION),NA,2,-114.29,27.13,Baja California Sur,yes,
AGUAS LITORALES (BAHIA TORTUGAS),NA,2,-114.9,27.69,Baja California Sur,yes,
AGUAS LITORALES (CD. CONSTITUCION),NA,2,-112,25.2,Baja California Sur,yes,
AGUAS LITORALES (LA PAZ),NA,3,-110.31,-24.14,Baja California Sur,yes,
AGUAS LITORALES (LOS CABOS),NA,3,-109.9,23.3,Baja California Sur,yes,
AGUAS LITORALES (PUNTA ABREOJOS),NA,2,-113.56,26.72,Baja California Sur,yes,
AGUAS LITORALES DEL SUR,312,2.0312,-112.017,24.522,Baja California Sur,,
ÁGUILAS LAS,15,2.0015,-114.054,27.762,Baja California Sur,,
AGUILILLA EL PUNTA,177,3.0177,-111.2102,25.7048,Baja California Sur,,
ALAMBRE ISLOTE EL,27,2.0027,-114.25,27.7455,Baja California Sur,,
ALAMO BOCA DE,43,3.0043,-109.8026,23.8952,Baja California Sur,,
ALCATRAZ PUERTO,309,2.0309,-111.8552,24.5173,Baja California Sur,,
ALGUATE PUNTA,271,2.0271,-111.7791,24.5487,Baja California Sur,,
ALMEJA PUERTO,204,3.0204,-111.43,26.379,Baja California Sur,,
ALMEJAS BAHÍA LAS,300,2.03,-111.678,24.441,Baja California Sur,,
AMARILLA PUNTA SANTA ROSA,219,3.0219,-111.663,26.783,Baja California Sur,,
ANA BAHÍA SANTA,294,3.0294,-112.5839,27.6628,Baja California Sur,,
ANIMAS BOCA DE LAS,180,2.018,-112.0938,25.6803,Baja California Sur,,
ANIMAS LAS,374,2.0374,-110.509,25.128,Baja California Sur,,
ARENA PUNTA BAHÍA CONCEPCIÓN,238,3.0238,-111.8589,26.7936,Baja California Sur,,
ARGUDIN PURTO,267,2.0267,-111.844,24.64,Baja California Sur,,
ARROYO ANCHO,NA,2,-112.29,26.24,Baja California Sur,yes,
ARROYO EL FRIJOL,NA,2,-112.01,24.9,Baja California Sur,yes,
ARROYO LA PITAYA,NA,3,-110.95,25.05,Baja California Sur,yes,
ARROYO PRIMER,30,2.003,-114.3941,27.8311,Baja California Sur,,
ARROYO SANTO DOMINGO ESTERO,190,2.019,-112.0845,25.3992,Baja California Sur,,
ASTORGA PUERTO,203,2.0203,-112.1188,25.1895,Baja California Sur,,
ASUNCIÓN BAHÍA,87,2.0087,-114.2905,27.1436,Baja California Sur,,
ASUNCION ISLA,371,2.0371,-114.295,27.121,Baja California Sur,,
ASUNCIÓN ISLA LA,88,2.0088,-114.29,27.1035,Baja California Sur,,
AZABACHES LOS,99,3.0099,-110.3045,24.3447,Baja California Sur,,
BAHIA CONCEPCION B.C.SUR.,NA,3,-111.89,26.81,Baja California Sur,yes,
BAHIA DE LOS ANGELES,NA,3,-113.56,28.95,Baja California Sur,yes,
BAHIA DE LOS ANGELES B.C.N.,NA,3,-113.56,28.95,Baja California Sur,yes,
BAHIA DE SANTANA,NA,2,-113.33,26.83,Baja California Sur,yes,
BAHIA SAN FRANCISQUITO,NA,3,-112.9,28.4,Baja California Sur,yes,
BAHIA SAN RAFAEL,NA,1,-113.0066,28.5235,Baja California Sur,yes,probably in Baja California
BAJO DEL 23,NA,3,NA,NA,Baja California Sur,yes,unclear location (shoal)
BAJO DEL TETIS,NA,2,-112.5,24.8,Baja California Sur,yes,
BAJO EL TIBURON,239,3.0239,-111.8988,26.8487,Baja California Sur,yes,
BALLENAS BAHÍA,110,2.011,-113.391,26.76,Baja California Sur,,
BALLENAS PUNTA,219,2.0219,-112.163,24.7605,Baja California Sur,,
BALLENAS ROCAS LAS,99,2.0099,-113.6676,26.7432,Baja California Sur,,
BALSAS ESTERO LAS,254,2.0254,-112.046,24.7872,Baja California Sur,,
BANDERITAS,228,2.0228,-112.1143,24.87,Baja California Sur,,
BARRANCAS LAS,159,2.0159,-112.2501,26.0368,Baja California Sur,,
BARRANCAS LAS LOS CABOS,29,3.0029,-109.447,23.477,Baja California Sur,,
BARRILES LOS,37,3.0037,-109.6975,23.6773,Baja California Sur,,
BARRIO DE LA PLAYA,NA,3,-109.67,23.06,Baja California Sur,yes,
BARRIO LA PLAYA,NA,3,-109.67,23.06,Baja California Sur,yes,
BENTONITA PUNTA,324,2.0324,-110.8711,23.9564,Baja California Sur,,
BLANCA AGUA,340,2.034,-110.3169,23.5507,Baja California Sur,,
BLANCA PUNTA,159,3.0159,-110.863,25.089,Baja California Sur,,
BOCA DE LOS CARDONES,NA,2,-110.21,23.33,Baja California Sur,yes,
BOCA EL MOJON,NA,NA,NA,NA,Baja California Sur,yes,maybe in Oaxaca?
BOCA PUNTA DE SAN BRUNO,166,3.0166,-110.9319,25.2912,Baja California Sur,,
BOCA SAN DIEGO,NA,2,-113.57,27.72,Baja California Sur,yes,
BOCANA DE SAN VENANCIO,NA,2,-112.417,27.083,Baja California Sur,yes,
BOCANA ESTERO DE LA,97,2.0097,-113.7008,26.7838,Baja California Sur,,
