stockid,year,ram_bmsy,assessid,stocklong,assessyear,scientificname,commonname,areaname,managementauthority,assessorfull,region,FisheryType,taxGroup,primary_FAOarea,primary_country
BIGEYEEPAC,2001,1.17,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2002,1.09,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2003,1.11,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2004,1.19,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2005,1.29,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2006,1.39,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2007,1.39,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2008,1.3,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2009,1.17,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2010,1.04,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2011,0.955,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2012,0.945,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2013,0.70608,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2014,0.76236,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2015,0.838063,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
