"","Year","OHI_Region","weighted_CPUE_acrossAllGroups"
"1",2014,"Region_1",0.794886
"2",2014,"Region_1_2_Baja_TBD",0.9678639
"3",2014,"Region_2",0.7641027
"4",2014,"Region_3",0.9553497
"5",2014,"Region_4",0.9621018
"6",2014,"Region_4_5_6_Sonora_TBD",0.4731412
"7",2014,"Region_5",0.7501424
"8",2014,"Region_6",0.9853582
"9",2014,"Region_7",0.5380449
"10",2014,"Region_8",0.4332503
"11",2014,"Region_9",0.7669838
"12",2015,"Region_1",0.8125482
"13",2015,"Region_1_2_Baja_TBD",0.9129406
"14",2015,"Region_2",0.819167
"15",2015,"Region_3",0.767249
"16",2015,"Region_3_4_BCS_TBD",0.2342518
"17",2015,"Region_4",0.9218167
"18",2015,"Region_4_5_6_Sonora_TBD",0.3297749
"19",2015,"Region_5",0.7047068
"20",2015,"Region_6",0.8970526
"21",2015,"Region_7",0.5547688
"22",2015,"Region_8",0.3012419
"23",2015,"Region_9",0.8250504
"24",2016,"Region_1",0.6632759
"25",2016,"Region_1_2_Baja_TBD",0.9797509
"26",2016,"Region_2",0.803783
"27",2016,"Region_3",0.8820204
"28",2016,"Region_3_4_BCS_TBD",0.1174205
"29",2016,"Region_4",0.931062
"30",2016,"Region_4_5_6_Sonora_TBD",0.4495582
"31",2016,"Region_5",0.6772617
"32",2016,"Region_6",0.8803758
"33",2016,"Region_7",0.3025669
"34",2016,"Region_8",0.299452
"35",2016,"Region_9",0.9414786
"36",2017,"Region_1",0.5677746
"37",2017,"Region_1_2_Baja_TBD",0.9927992
"38",2017,"Region_2",0.9214353
"39",2017,"Region_3",0.844617
"40",2017,"Region_3_4_BCS_TBD",0.603
"41",2017,"Region_4",0.9419735
"42",2017,"Region_4_5_6_Sonora_TBD",0.7885539
"43",2017,"Region_5",0.7807166
"44",2017,"Region_6",0.8705716
"45",2017,"Region_7",0.3831743
"46",2017,"Region_8",0.3605172
"47",2017,"Region_9",0.9532548
"48",2018,"Region_1",0.5994858
"49",2018,"Region_1_2_Baja_TBD",0.9927168
"50",2018,"Region_2",0.916558
"51",2018,"Region_3",0.9289313
"52",2018,"Region_3_4_BCS_TBD",0.8591022
"53",2018,"Region_4",0.917601
"54",2018,"Region_4_5_6_Sonora_TBD",0.7958192
"55",2018,"Region_5",0.9226013
"56",2018,"Region_6",0.8608345
"57",2018,"Region_7",0.5095336
"58",2018,"Region_8",0.3985481
"59",2018,"Region_9",0.9335578
"60",2019,"Region_1",0.7693875
"61",2019,"Region_1_2_Baja_TBD",0.9950518
"62",2019,"Region_2",0.9622524
"63",2019,"Region_3",0.7339559
"64",2019,"Region_3_4_BCS_TBD",0.007237
"65",2019,"Region_4",0.9267195
"66",2019,"Region_4_5_6_Sonora_TBD",0.3943199
"67",2019,"Region_5",0.9045172
"68",2019,"Region_6",0.9015113
"69",2019,"Region_7",0.7655524
"70",2019,"Region_8",0.3482742
"71",2019,"Region_9",0.9334259
"72",2020,"Region_1",0.9568381
"73",2020,"Region_1_2_Baja_TBD",0.9760098
"74",2020,"Region_2",0.9403318
"75",2020,"Region_3",0.736966
"76",2020,"Region_3_4_BCS_TBD",0.3025274
"77",2020,"Region_4",0.9303495
"78",2020,"Region_4_5_6_Sonora_TBD",0.6439642
"79",2020,"Region_5",0.8750677
"80",2020,"Region_6",0.839129
"81",2020,"Region_7",0.8807593
"82",2020,"Region_8",0.444066
"83",2020,"Region_9",0.9522259
"84",2021,"Region_1",0.9991582
"85",2021,"Region_1_2_Baja_TBD",0.9651546
"86",2021,"Region_2",0.9347637
"87",2021,"Region_3",0.7197915
"88",2021,"Region_3_4_BCS_TBD",0.241493
"89",2021,"Region_4",0.9180933
"90",2021,"Region_4_5_6_Sonora_TBD",0.7732394
"91",2021,"Region_5",0.7761822
"92",2021,"Region_6",0.8284916
"93",2021,"Region_7",0.9096536
"94",2021,"Region_8",0.515513
"95",2021,"Region_9",0.9560982
"96",2022,"Region_1",0.9990436
"97",2022,"Region_1_2_Baja_TBD",0.9894816
"98",2022,"Region_2",0.9592977
"99",2022,"Region_3",0.7568308
"100",2022,"Region_3_4_BCS_TBD",0.42
"101",2022,"Region_4",0.9684783
"102",2022,"Region_4_5_6_Sonora_TBD",0.7116764
"103",2022,"Region_5",0.8010338
"104",2022,"Region_6",0.852307
"105",2022,"Region_7",0.8792627
"106",2022,"Region_8",0.5316548
"107",2022,"Region_9",0.9410832
"108",2023,"Region_1",0.9996104
"109",2023,"Region_1_2_Baja_TBD",1
"110",2023,"Region_2",0.9514999
"111",2023,"Region_3",0.7749597
"112",2023,"Region_3_4_BCS_TBD",0.546964
"113",2023,"Region_4",0.9577916
"114",2023,"Region_4_5_6_Sonora_TBD",0.761332
"115",2023,"Region_5",0.9484659
"116",2023,"Region_6",0.8598274
"117",2023,"Region_7",0.863438
"118",2023,"Region_8",0.5674977
"119",2023,"Region_9",0.9328803
"120",2024,"Region_1",0.9998037
"121",2024,"Region_1_2_Baja_TBD",0.9756188
"122",2024,"Region_2",0.9728043
"123",2024,"Region_3",0.7696888
"124",2024,"Region_3_4_BCS_TBD",0.5614519
"125",2024,"Region_4",0.9610377
"126",2024,"Region_4_5_6_Sonora_TBD",0.6303066
"127",2024,"Region_5",0.7785529
"128",2024,"Region_6",0.8968565
"129",2024,"Region_7",0.7992354
"130",2024,"Region_8",0.4666097
"131",2024,"Region_9",0.962503
