"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes"
"aetobatus narinari","region_1",2010,"","",NA
"aetobatus narinari","region_2",2010,"","",NA
"aetobatus narinari","region_3",2010,"","",NA
"aetobatus narinari","region_4",2010,"","",NA
"aetobatus narinari","region_5",2010,"","",NA
"aetobatus narinari","region_6",2010,"","",NA
"aetobatus narinari","region_7",2010,"","",NA
"aetobatus narinari","region_8",2010,"","",NA
"aetobatus narinari","region_9",2010,"","",NA
"alopias pelagicus","region_1",2023,"maximally harvested","no increase",NA
"alopias pelagicus","region_2",2023,"maximally harvested","no increase",NA
"alopias pelagicus","region_3",2023,"maximally harvested","no increase",NA
"alopias pelagicus","region_4",2023,"maximally harvested","no increase",NA
"alopias pelagicus","region_5",2023,"maximally harvested","no increase",NA
"alopias pelagicus","region_6",2023,"maximally harvested","no increase",NA
"alopias pelagicus","region_7",2023,"maximally harvested","no increase",NA
"alopias pelagicus","region_8",2023,"maximally harvested","no increase",NA
"alopias pelagicus","region_9",2023,"maximally harvested","no increase",NA
"alopias superciliosus","region_1",2023,"maximally harvested","no increase",NA
"alopias superciliosus","region_2",2023,"maximally harvested","no increase",NA
"alopias superciliosus","region_3",2023,"maximally harvested","no increase",NA
"alopias superciliosus","region_4",2023,"maximally harvested","no increase",NA
"alopias superciliosus","region_5",2023,"maximally harvested","no increase",NA
"alopias superciliosus","region_6",2023,"maximally harvested","no increase",NA
"alopias superciliosus","region_7",2023,"maximally harvested","no increase",NA
"alopias superciliosus","region_8",2023,"maximally harvested","no increase",NA
"alopias superciliosus","region_9",2023,"maximally harvested","no increase",NA
"alopias vulpinus","region_1",2023,"maximally harvested","no increase",NA
"alopias vulpinus","region_2",2023,"maximally harvested","no increase",NA
"alopias vulpinus","region_3",2023,"maximally harvested","no increase",NA
"alopias vulpinus","region_4",2023,"maximally harvested","no increase",NA
"alopias vulpinus","region_5",2023,"maximally harvested","no increase",NA
"alopias vulpinus","region_6",2023,"maximally harvested","no increase",NA
"alopias vulpinus","region_7",2023,"maximally harvested","no increase",NA
"alopias vulpinus","region_8",2023,"maximally harvested","no increase",NA
"alopias vulpinus","region_9",2023,"maximally harvested","no increase",NA
"anadara grandis","region_1",2010,"","","might be in 2023 as: Almeja pata de mula, Larkinia grandis"
"anadara grandis","region_2",2010,"","",NA
"anadara grandis","region_3",2010,"","",NA
"anadara grandis","region_4",2010,"","",NA
"anadara grandis","region_5",2010,"","",NA
"anadara grandis","region_6",2010,"","",NA
"anadara grandis","region_7",2010,"","",NA
"anadara grandis","region_8",2010,"","",NA
"anadara grandis","region_9",2010,"","",NA
"anadara mulicostata","region_1",2010,"","","might be in 2023 as: Almeja pata de mula de banco, ala de ángel, Larkinia multicostata"
"anadara mulicostata","region_2",2010,"","",NA
"anadara mulicostata","region_3",2010,"","",NA
"anadara mulicostata","region_4",2010,"","",NA
"anadara mulicostata","region_5",2010,"","",NA
"anadara mulicostata","region_6",2010,"","",NA
"anadara mulicostata","region_7",2010,"","",NA
"anadara mulicostata","region_8",2010,"","",NA
"anadara mulicostata","region_9",2010,"","",NA
"anadara tuberculosa","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"anadara tuberculosa","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"anadara tuberculosa","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"anadara tuberculosa","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"anadara tuberculosa","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"anadara tuberculosa","region_9",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"apostichopus parvimensis (sinonimo de parastichopus parvimensis)","region_1",2023,"deteriorating","decrease","Deteriorated in Baja California, with a tendency to recover in Baja California Sur."
"apostichopus parvimensis (sinonimo de parastichopus parvimensis)","region_2",2023,"deteriorating","decrease","Deteriorated in Baja California, with a tendency to recover in Baja California Sur."
"apostichopus parvimensis (sinonimo de parastichopus parvimensis)","region_3",2023,"deteriorating","decrease","Deteriorated in Baja California, with a tendency to recover in Baja California Sur."
"apostichopus parvimensis (sinonimo de parastichopus parvimensis)","region_4",2023,"deteriorating","decrease","Deteriorated in Baja California, with a tendency to recover in Baja California Sur."
"argopecten ventricosus","region_1",2023,"maximally harvested","no increase",NA
"argopecten ventricosus","region_2",2023,"maximally harvested","no increase",NA
"argopecten ventricosus","region_3",2023,"deteriorating","decrease","depending on area deteriorating or maximally harvested"
"argopecten ventricosus","region_4",2023,"deteriorating","decrease","depending on area deteriorating or maximally harvested"
"astrea turbanica","region_1",2006,"","","possibly in 2023 as Megastraea turbanica"
"astrea turbanica","region_2",2006,"","",NA
"astrea turbanica","region_3",2006,"","",NA
"astrea turbanica","region_4",2006,"","",NA
"astrea turbanica","region_5",2006,"","",NA
"astrea turbanica","region_6",2006,"","",NA
"astrea turbanica","region_7",2006,"","",NA
"astrea turbanica","region_8",2006,"","",NA
"astrea turbanica","region_9",2006,"","",NA
"atractoscion nobilis","region_1",2010,"","",NA
"atractoscion nobilis","region_2",2010,"","",NA
"atractoscion nobilis","region_3",2010,"","",NA
"atractoscion nobilis","region_4",2010,"","",NA
