"year","OHI_region_est","estimated_species_name","annual_Catch_kg","mean_Catch_2018.22_kg","n.years_Catch_2018.22","Year_of_Recommendation","status","control","notes","Stock_Status"
2019,"region_1","carcharhinus longimanus",100,1605.8125,4,2023,"maximally harvested","no increase",NA,1
2020,"region_1","carcharhinus longimanus",2453.25,1605.8125,4,2023,"maximally harvested","no increase",NA,0.654565372465097
2021,"region_1","carcharhinus longimanus",1790,1605.8125,4,2023,"maximally harvested","no increase",NA,0.897101955307263
2022,"region_1","carcharhinus longimanus",2080,1605.8125,4,2023,"maximally harvested","no increase",NA,0.772025240384615
2024,"region_1","carcharhinus longimanus",50,1605.8125,4,2023,"maximally harvested","no increase",NA,1
2018,"region_1","merluccius productus",363059.1,1274813.56,5,2022,"maximally harvested","no increase",NA,1
2019,"region_1","merluccius productus",185483.1,1274813.56,5,2022,"maximally harvested","no increase",NA,1
2020,"region_1","merluccius productus",691727.2,1274813.56,5,2022,"maximally harvested","no increase",NA,1
2021,"region_1","merluccius productus",1709119.4,1274813.56,5,2022,"maximally harvested","no increase",NA,0.745889116933551
2022,"region_1","merluccius productus",3424679,1274813.56,5,2022,"maximally harvested","no increase",NA,0.372243226299458
2023,"region_1","merluccius productus",4571684,1274813.56,5,2022,"maximally harvested","no increase",NA,0.278849885512647
2024,"region_1","merluccius productus",6000282.2,1274813.56,5,2022,"maximally harvested","no increase",NA,0.212458934014804
2018,"region_1","panopea generosa",607862.81,976694.762,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2019,"region_1","panopea generosa",771393,976694.762,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2020,"region_1","panopea generosa",960523,976694.762,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2021,"region_1","panopea generosa",1238398,976694.762,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.788675984618838
2022,"region_1","panopea generosa",1305297,976694.762,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.748254812506272
2023,"region_1","panopea generosa",1422499,976694.762,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.68660488478375
2024,"region_1","panopea generosa",937541,976694.762,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2018,"region_1","panulirus interruptus",23056,34025,5,2017,"maximally harvested","no increase",NA,1
2019,"region_1","panulirus interruptus",42925,34025,5,2017,"maximally harvested","no increase",NA,0.792661619103087
2020,"region_1","panulirus interruptus",39741,34025,5,2017,"maximally harvested","no increase",NA,0.856168692282529
2021,"region_1","panulirus interruptus",32255,34025,5,2017,"maximally harvested","no increase",NA,1
2022,"region_1","panulirus interruptus",32148,34025,5,2017,"maximally harvested","no increase",NA,1
2023,"region_1","panulirus interruptus",46792,34025,5,2017,"maximally harvested","no increase",NA,0.727154214395623
2024,"region_1","panulirus interruptus",43120,34025,5,2017,"maximally harvested","no increase",NA,0.789076994434137
2018,"region_1","rhizoprionodon longurio",1298.75,2875.15,5,2023,"maximally harvested","no increase",NA,1
2019,"region_1","rhizoprionodon longurio",1848,2875.15,5,2023,"maximally harvested","no increase",NA,1
2020,"region_1","rhizoprionodon longurio",1985.5,2875.15,5,2023,"maximally harvested","no increase",NA,1
2021,"region_1","rhizoprionodon longurio",332,2875.15,5,2023,"maximally harvested","no increase",NA,1
2022,"region_1","rhizoprionodon longurio",8911.5,2875.15,5,2023,"maximally harvested","no increase",NA,0.322633675587724
2018,"region_1","scomberomorus sierra",11000,405880.2,5,2023,"maximally harvested","no increase",NA,1
2019,"region_1","scomberomorus sierra",104305,405880.2,5,2023,"maximally harvested","no increase",NA,1
2020,"region_1","scomberomorus sierra",59181,405880.2,5,2023,"maximally harvested","no increase",NA,1
2021,"region_1","scomberomorus sierra",818398,405880.2,5,2023,"maximally harvested","no increase",NA,0.495944760373315
2022,"region_1","scomberomorus sierra",1036517,405880.2,5,2023,"maximally harvested","no increase",NA,0.391580842378851
2023,"region_1","scomberomorus sierra",723256,405880.2,5,2023,"maximally harvested","no increase",NA,0.561184698087537
2024,"region_1","scomberomorus sierra",1441634,405880.2,5,2023,"maximally harvested","no increase",NA,0.281541778287693
2018,"region_2","carcharhinus falciformis",163909.9,72802.1,4,2023,"maximally harvested","no increase",NA,0.444159260666988
2020,"region_2","carcharhinus falciformis",77134.2,72802.1,4,2023,"maximally harvested","no increase",NA,1
2021,"region_2","carcharhinus falciformis",13147.2,72802.1,4,2023,"maximally harvested","no increase",NA,1
2022,"region_2","carcharhinus falciformis",37017.1,72802.1,4,2023,"maximally harvested","no increase",NA,1
2018,"region_2","dosidicus gigas",9577.1,9084.275,4,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2019,"region_2","dosidicus gigas",25700,9084.275,4,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.35347373540856
2021,"region_2","dosidicus gigas",138,9084.275,4,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2022,"region_2","dosidicus gigas",922,9084.275,4,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2023,"region_2","dosidicus gigas",1209,9084.275,4,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2024,"region_2","dosidicus gigas",485,9084.275,4,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2018,"region_2","galeorhinus galeus",440,2162.3875,4,2023,"maximally harvested","no increase",NA,1
2020,"region_2","galeorhinus galeus",2010,2162.3875,4,2023,"maximally harvested","no increase",NA,1
2021,"region_2","galeorhinus galeus",1050,2162.3875,4,2023,"maximally harvested","no increase",NA,1
2022,"region_2","galeorhinus galeus",5149.55,2162.3875,4,2023,"maximally harvested","no increase",NA,0.419917759804255
2023,"region_2","galeorhinus galeus",250,2162.3875,4,2023,"maximally harvested","no increase",NA,1
2024,"region_2","galeorhinus galeus",3749.9,2162.3875,4,2023,"maximally harvested","no increase",NA,0.576652044054508
2018,"region_2","gelidium robustum",72900,233980,5,2012,"maximally harvested","no increase","All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.",1
2019,"region_2","gelidium robustum",825000,233980,5,2012,"maximally harvested","no increase","All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.",0.283612121212121
2020,"region_2","gelidium robustum",120600,233980,5,2012,"maximally harvested","no increase","All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.",1
2021,"region_2","gelidium robustum",150000,233980,5,2012,"maximally harvested","no increase","All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.",1
2022,"region_2","gelidium robustum",1400,233980,5,2012,"maximally harvested","no increase","All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.",1
2018,"region_2","hoplopagrus guentherii",43,1030.68,5,2023,"maximally harvested","no increase",NA,1
2019,"region_2","hoplopagrus guentherii",415,1030.68,5,2023,"maximally harvested","no increase",NA,1
2020,"region_2","hoplopagrus guentherii",3044,1030.68,5,2023,"maximally harvested","no increase",NA,0.338593955321945
2021,"region_2","hoplopagrus guentherii",452.5,1030.68,5,2023,"maximally harvested","no increase",NA,1
2022,"region_2","hoplopagrus guentherii",1198.9,1030.68,5,2023,"maximally harvested","no increase",NA,0.859688047376762
2023,"region_2","hoplopagrus guentherii",2907,1030.68,5,2023,"maximally harvested","no increase",NA,0.354551083591331
2024,"region_2","hoplopagrus guentherii",13651.9,1030.68,5,2023,"maximally harvested","no increase",NA,0.0754971835422176
2018,"region_2","isurus oxyrinchus",765,6726.68,5,2023,"maximally harvested","no increase",NA,1
2019,"region_2","isurus oxyrinchus",12278,6726.68,5,2023,"maximally harvested","no increase",NA,0.547864473041212
2020,"region_2","isurus oxyrinchus",4455,6726.68,5,2023,"maximally harvested","no increase",NA,1
2021,"region_2","isurus oxyrinchus",8762.2,6726.68,5,2023,"maximally harvested","no increase",NA,0.767693045125653
2022,"region_2","isurus oxyrinchus",7373.2,6726.68,5,2023,"maximally harvested","no increase",NA,1
2018,"region_2","lutjanus argentiventris",165,185.9,5,2023,"maximally harvested","no increase",NA,1
2019,"region_2","lutjanus argentiventris",56.1,185.9,5,2023,"maximally harvested","no increase",NA,1
2020,"region_2","lutjanus argentiventris",345.4,185.9,5,2023,"maximally harvested","no increase",NA,0.538216560509554
2021,"region_2","lutjanus argentiventris",346.5,185.9,5,2023,"maximally harvested","no increase",NA,0.536507936507936
2022,"region_2","lutjanus argentiventris",16.5,185.9,5,2023,"maximally harvested","no increase",NA,1
2023,"region_2","lutjanus argentiventris",198,185.9,5,2023,"maximally harvested","no increase",NA,1
2024,"region_2","lutjanus argentiventris",2364.6,185.9,5,2023,"maximally harvested","no increase",NA,0.0786179480673264
2018,"region_2","lutjanus colorado",510,1592.9,5,2023,"maximally harvested","no increase",NA,1
2019,"region_2","lutjanus colorado",218.5,1592.9,5,2023,"maximally harvested","no increase",NA,1
2020,"region_2","lutjanus colorado",385,1592.9,5,2023,"maximally harvested","no increase",NA,1
2021,"region_2","lutjanus colorado",1351,1592.9,5,2023,"maximally harvested","no increase",NA,1
2022,"region_2","lutjanus colorado",5500,1592.9,5,2023,"maximally harvested","no increase",NA,0.289618181818182
2023,"region_2","lutjanus colorado",1002,1592.9,5,2023,"maximally harvested","no increase",NA,1
2024,"region_2","lutjanus colorado",250,1592.9,5,2023,"maximally harvested","no increase",NA,1
2018,"region_2","lutjanus guttatus",141.45,1165.4375,4,2023,"maximally harvested","no increase",NA,1
2020,"region_2","lutjanus guttatus",2020,1165.4375,4,2023,"maximally harvested","no increase",NA,0.576949257425743
2021,"region_2","lutjanus guttatus",732,1165.4375,4,2023,"maximally harvested","no increase",NA,1
2022,"region_2","lutjanus guttatus",1768.3,1165.4375,4,2023,"maximally harvested","no increase",NA,0.659072272804388
2023,"region_2","lutjanus guttatus",2271,1165.4375,4,2023,"maximally harvested","no increase",NA,0.513182518714223
2024,"region_2","lutjanus guttatus",8807.9,1165.4375,4,2023,"maximally harvested","no increase",NA,0.132317294701348
2018,"region_2","lutjanus novemfasciatus",48,399.95,5,2023,"maximally harvested","no increase",NA,1
2019,"region_2","lutjanus novemfasciatus",105,399.95,5,2023,"maximally harvested","no increase",NA,1
2020,"region_2","lutjanus novemfasciatus",593.75,399.95,5,2023,"maximally harvested","no increase",NA,0.6736
2021,"region_2","lutjanus novemfasciatus",1160,399.95,5,2023,"maximally harvested","no increase",NA,0.344784482758621
2022,"region_2","lutjanus novemfasciatus",93,399.95,5,2023,"maximally harvested","no increase",NA,1
2023,"region_2","lutjanus novemfasciatus",342,399.95,5,2023,"maximally harvested","no increase",NA,1
2024,"region_2","lutjanus novemfasciatus",720,399.95,5,2023,"maximally harvested","no increase",NA,0.555486111111111
2018,"region_2","merluccius productus",80,4954.2,5,2022,"maximally harvested","no increase",NA,1
2019,"region_2","merluccius productus",930,4954.2,5,2022,"maximally harvested","no increase",NA,1
2020,"region_2","merluccius productus",3887,4954.2,5,2022,"maximally harvested","no increase",NA,1
2021,"region_2","merluccius productus",18756.1,4954.2,5,2022,"maximally harvested","no increase",NA,0.264138067082176
2022,"region_2","merluccius productus",1117.9,4954.2,5,2022,"maximally harvested","no increase",NA,1
2023,"region_2","merluccius productus",9356,4954.2,5,2022,"maximally harvested","no increase",NA,0.529521162890124
2024,"region_2","merluccius productus",220.4,4954.2,5,2022,"maximally harvested","no increase",NA,1
2018,"region_2","mugil cephalus",50060.5,33752.7,5,2023,"deteriorating","decrease",NA,0.337119085906054
2019,"region_2","mugil cephalus",36503,33752.7,5,2023,"deteriorating","decrease",NA,0.5
2020,"region_2","mugil cephalus",33564,33752.7,5,2023,"deteriorating","decrease",NA,0.5
2021,"region_2","mugil cephalus",23173,33752.7,5,2023,"deteriorating","decrease",NA,0.656723758395625
2022,"region_2","mugil cephalus",25463,33752.7,5,2023,"deteriorating","decrease",NA,0.622800546326664
2019,"region_2","mustelus lunulatus",4212.5,18020.1875,4,2023,"maximally harvested","no increase",NA,1
2020,"region_2","mustelus lunulatus",808.75,18020.1875,4,2023,"maximally harvested","no increase",NA,1
2021,"region_2","mustelus lunulatus",1981.25,18020.1875,4,2023,"maximally harvested","no increase",NA,1
2022,"region_2","mustelus lunulatus",65078.25,18020.1875,4,2023,"maximally harvested","no increase",NA,0.276900308474798
2018,"region_2","panopea generosa",309851.28,338923.856,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2019,"region_2","panopea generosa",309718,338923.856,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2020,"region_2","panopea generosa",372669,338923.856,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2021,"region_2","panopea generosa",397944,338923.856,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.851687312787729
2022,"region_2","panopea generosa",304437,338923.856,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2023,"region_2","panopea generosa",457782,338923.856,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.74036081803129
2024,"region_2","panopea generosa",339651,338923.856,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2018,"region_2","panulirus interruptus",8360,8575,5,2017,"maximally harvested","no increase",NA,1
2019,"region_2","panulirus interruptus",12650,8575,5,2017,"maximally harvested","no increase",NA,0.677865612648221
2020,"region_2","panulirus interruptus",7462,8575,5,2017,"maximally harvested","no increase",NA,1
2021,"region_2","panulirus interruptus",6335,8575,5,2017,"maximally harvested","no increase",NA,1
2022,"region_2","panulirus interruptus",8068,8575,5,2017,"maximally harvested","no increase",NA,1
2023,"region_2","panulirus interruptus",7094,8575,5,2017,"maximally harvested","no increase",NA,1
2024,"region_2","panulirus interruptus",5442,8575,5,2017,"maximally harvested","no increase",NA,1
2018,"region_2","paralabrax nebulifer",18801.1,50335.58,5,2023,"maximally harvested","no increase",NA,1
2019,"region_2","paralabrax nebulifer",39762.8,50335.58,5,2023,"maximally harvested","no increase",NA,1
2020,"region_2","paralabrax nebulifer",44945.1,50335.58,5,2023,"maximally harvested","no increase",NA,1
2021,"region_2","paralabrax nebulifer",75813.8,50335.58,5,2023,"maximally harvested","no increase",NA,0.663936908583925
2022,"region_2","paralabrax nebulifer",72355.1,50335.58,5,2023,"maximally harvested","no increase",NA,0.695674251020315
2023,"region_2","paralabrax nebulifer",25897,50335.58,5,2023,"maximally harvested","no increase",NA,1
2024,"region_2","paralabrax nebulifer",72570.6,50335.58,5,2023,"maximally harvested","no increase",NA,0.693608430962401
2018,"region_2","rhizoprionodon longurio",44782.21,76542.962,5,2023,"maximally harvested","no increase",NA,1
2019,"region_2","rhizoprionodon longurio",15778.35,76542.962,5,2023,"maximally harvested","no increase",NA,1
2020,"region_2","rhizoprionodon longurio",94920.25,76542.962,5,2023,"maximally harvested","no increase",NA,0.806392334617745
2021,"region_2","rhizoprionodon longurio",53479.45,76542.962,5,2023,"maximally harvested","no increase",NA,1
2022,"region_2","rhizoprionodon longurio",173754.55,76542.962,5,2023,"maximally harvested","no increase",NA,0.440523497082522
2018,"region_2","scomberomorus sierra",2943897,2317395.82,5,2023,"maximally harvested","no increase",NA,0.78718644708018
2019,"region_2","scomberomorus sierra",3060744,2317395.82,5,2023,"maximally harvested","no increase",NA,0.75713480774609
2020,"region_2","scomberomorus sierra",2280518.8,2317395.82,5,2023,"maximally harvested","no increase",NA,1
2021,"region_2","scomberomorus sierra",1760539.3,2317395.82,5,2023,"maximally harvested","no increase",NA,1
2022,"region_2","scomberomorus sierra",1541280,2317395.82,5,2023,"maximally harvested","no increase",NA,1
2023,"region_2","scomberomorus sierra",1153887,2317395.82,5,2023,"maximally harvested","no increase",NA,1
2024,"region_2","scomberomorus sierra",2564847,2317395.82,5,2023,"maximally harvested","no increase",NA,0.903522050243153
2018,"region_3","alopias pelagicus",71009,53082.6,5,2023,"maximally harvested","no increase",NA,0.747547493979636
2019,"region_3","alopias pelagicus",95070.1,53082.6,5,2023,"maximally harvested","no increase",NA,0.558352205372667
2020,"region_3","alopias pelagicus",31390.5,53082.6,5,2023,"maximally harvested","no increase",NA,1
2021,"region_3","alopias pelagicus",60675.4,53082.6,5,2023,"maximally harvested","no increase",NA,0.874861970419643
2022,"region_3","alopias pelagicus",7268,53082.6,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","carcharhinus falciformis",9415,44475.625,4,2023,"maximally harvested","no increase",NA,1
2020,"region_3","carcharhinus falciformis",7937.5,44475.625,4,2023,"maximally harvested","no increase",NA,1
2021,"region_3","carcharhinus falciformis",7812.5,44475.625,4,2023,"maximally harvested","no increase",NA,1
2022,"region_3","carcharhinus falciformis",152737.5,44475.625,4,2023,"maximally harvested","no increase",NA,0.291189950077748
2018,"region_3","centropomus armatus",77,169.32,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","centropomus armatus",180.4,169.32,5,2023,"maximally harvested","no increase",NA,1
2020,"region_3","centropomus armatus",294.8,169.32,5,2023,"maximally harvested","no increase",NA,0.574355495251018
2021,"region_3","centropomus armatus",222.9,169.32,5,2023,"maximally harvested","no increase",NA,0.759623149394347
2022,"region_3","centropomus armatus",71.5,169.32,5,2023,"maximally harvested","no increase",NA,1
2023,"region_3","centropomus armatus",5,169.32,5,2023,"maximally harvested","no increase",NA,1
2024,"region_3","centropomus armatus",29.7,169.32,5,2023,"maximally harvested","no increase",NA,1
2018,"region_3","crassostrea gigas",1057150,1213218.4,5,2017,"maximally harvested","no increase",NA,1
2019,"region_3","crassostrea gigas",944925,1213218.4,5,2017,"maximally harvested","no increase",NA,1
2020,"region_3","crassostrea gigas",1261587,1213218.4,5,2017,"maximally harvested","no increase",NA,1
2021,"region_3","crassostrea gigas",1440366,1213218.4,5,2017,"maximally harvested","no increase",NA,0.842298693526506
2022,"region_3","crassostrea gigas",1362064,1213218.4,5,2017,"maximally harvested","no increase",NA,0.890720553512904
2023,"region_3","crassostrea gigas",1187540,1213218.4,5,2017,"maximally harvested","no increase",NA,1
2024,"region_3","crassostrea gigas",1663461,1213218.4,5,2017,"maximally harvested","no increase",NA,0.72933384070922
2018,"region_3","dosidicus gigas",726,10708.02,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2019,"region_3","dosidicus gigas",15415,10708.02,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.694649367499189
2020,"region_3","dosidicus gigas",17696,10708.02,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.605109629294756
2021,"region_3","dosidicus gigas",15622.1,10708.02,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.685440497756384
2022,"region_3","dosidicus gigas",4081,10708.02,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2023,"region_3","dosidicus gigas",10413,10708.02,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2024,"region_3","dosidicus gigas",3226,10708.02,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2018,"region_3","hoplopagrus guentherii",12399.2,13187.28,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","hoplopagrus guentherii",10054.8,13187.28,5,2023,"maximally harvested","no increase",NA,1
2020,"region_3","hoplopagrus guentherii",5956.9,13187.28,5,2023,"maximally harvested","no increase",NA,1
2021,"region_3","hoplopagrus guentherii",17891.9,13187.28,5,2023,"maximally harvested","no increase",NA,0.737053079885311
2022,"region_3","hoplopagrus guentherii",19633.6,13187.28,5,2023,"maximally harvested","no increase",NA,0.671668975633608
2023,"region_3","hoplopagrus guentherii",20657,13187.28,5,2023,"maximally harvested","no increase",NA,0.638392796630682
2024,"region_3","hoplopagrus guentherii",26461.5,13187.28,5,2023,"maximally harvested","no increase",NA,0.498357235984355
2018,"region_3","isurus oxyrinchus",7627,28664.99,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","isurus oxyrinchus",54464.45,28664.99,5,2023,"maximally harvested","no increase",NA,0.526306425567503
2020,"region_3","isurus oxyrinchus",32320.4,28664.99,5,2023,"maximally harvested","no increase",NA,0.886900842811351
2021,"region_3","isurus oxyrinchus",28353.65,28664.99,5,2023,"maximally harvested","no increase",NA,1
2022,"region_3","isurus oxyrinchus",20559.45,28664.99,5,2023,"maximally harvested","no increase",NA,1
2018,"region_3","lutjanus argentiventris",69320.55,89265.95,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","lutjanus argentiventris",72541.6,89265.95,5,2023,"maximally harvested","no increase",NA,1
2020,"region_3","lutjanus argentiventris",97682.7,89265.95,5,2023,"maximally harvested","no increase",NA,1
2021,"region_3","lutjanus argentiventris",99999.8,89265.95,5,2023,"maximally harvested","no increase",NA,0.892661285322571
2022,"region_3","lutjanus argentiventris",106785.1,89265.95,5,2023,"maximally harvested","no increase",NA,0.83594012647832
2023,"region_3","lutjanus argentiventris",115200,89265.95,5,2023,"maximally harvested","no increase",NA,0.774878038194444
2024,"region_3","lutjanus argentiventris",100273.77,89265.95,5,2023,"maximally harvested","no increase",NA,0.890222338304424
2018,"region_3","lutjanus colorado",2169.2,1807.88,5,2023,"maximally harvested","no increase",NA,0.833431679881984
2019,"region_3","lutjanus colorado",588.5,1807.88,5,2023,"maximally harvested","no increase",NA,1
2020,"region_3","lutjanus colorado",324.4,1807.88,5,2023,"maximally harvested","no increase",NA,1
2021,"region_3","lutjanus colorado",5520.6,1807.88,5,2023,"maximally harvested","no increase",NA,0.327478897221317
2022,"region_3","lutjanus colorado",436.7,1807.88,5,2023,"maximally harvested","no increase",NA,1
2023,"region_3","lutjanus colorado",2465,1807.88,5,2023,"maximally harvested","no increase",NA,0.733419878296146
2024,"region_3","lutjanus colorado",1829.2,1807.88,5,2023,"maximally harvested","no increase",NA,1
2018,"region_3","lutjanus guttatus",19217.4,16123.58,5,2023,"maximally harvested","no increase",NA,0.839009439362245
2019,"region_3","lutjanus guttatus",4457.8,16123.58,5,2023,"maximally harvested","no increase",NA,1
2020,"region_3","lutjanus guttatus",5849.6,16123.58,5,2023,"maximally harvested","no increase",NA,1
2021,"region_3","lutjanus guttatus",22843.1,16123.58,5,2023,"maximally harvested","no increase",NA,0.705840275619334
2022,"region_3","lutjanus guttatus",28250,16123.58,5,2023,"maximally harvested","no increase",NA,0.570746194690265
2023,"region_3","lutjanus guttatus",34754,16123.58,5,2023,"maximally harvested","no increase",NA,0.463934511135409
2024,"region_3","lutjanus guttatus",45899.8,16123.58,5,2023,"maximally harvested","no increase",NA,0.351277783345461
2018,"region_3","lutjanus novemfasciatus",62202.7,81805.56,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","lutjanus novemfasciatus",64308.1,81805.56,5,2023,"maximally harvested","no increase",NA,1
2020,"region_3","lutjanus novemfasciatus",84008.5,81805.56,5,2023,"maximally harvested","no increase",NA,1
2021,"region_3","lutjanus novemfasciatus",97454.6,81805.56,5,2023,"maximally harvested","no increase",NA,0.839422254054708
2022,"region_3","lutjanus novemfasciatus",101053.9,81805.56,5,2023,"maximally harvested","no increase",NA,0.809524026286962
