Region,Stock,ScientificName,Major_Functional_Group,Comment,Yes_Ran_Dec102025,Good_Run_Dec102025,,,
goc,alopias,PENDING,PENDING,NA,1,1,,NA,Model did not run
goc,ariopsis,PENDING,PENDING,NA,1,2,,0,I don't trust this run
goc,brotula,PENDING,PENDING,NA,1,1,,1,This run looks like it could be accurate
goc,callinectes,PENDING,PENDING,NA,1,NA,,2,This run looks good 
goc,caranx,PENDING,PENDING,NA,1,2,,,
goc,carcharhinus,PENDING,PENDING,NA,1,1,,,
goc,caulolatilus,PENDING,PENDING,NA,1,1,,,
goc,centropomus,PENDING,PENDING,NA,1,1,,,
goc,cynoscion,PENDING,PENDING,NA,1,2,,,
goc,dosidicus,PENDING,PENDING,NA,1,NA,,,
goc,epinephelus,PENDING,PENDING,NA,1,1,,,
goc,euthynnus,PENDING,PENDING,NA,1,NA,,,
goc,galeocerdo,PENDING,PENDING,NA,1,2,,,
goc,gerres,PENDING,PENDING,NA,1,NA,,,
goc,ginglymostoma,PENDING,PENDING,NA,1,2,,,
goc,hexaplex,PENDING,PENDING,NA,1,0,,,
goc,hyporthodus niphobles,PENDING,PENDING,NA,1,1,,,
goc,isurus,PENDING,PENDING,NA,1,1,,,
goc,katsuwonus,PENDING,PENDING,NA,1,NA,,,
goc,lamna,PENDING,PENDING,NA,1,2,,,
goc,larimus,PENDING,PENDING,NA,1,1,,,
goc,lobatus,PENDING,PENDING,NA,1,0,,,
goc,lutjanus,PENDING,PENDING,NA,1,2,,,
goc,megastraea,PENDING,PENDING,NA,1,0,,,
goc,menticirrhus,PENDING,PENDING,NA,1,NA,,,
goc,micropogonias,PENDING,PENDING,NA,1,2,,,
goc,mugil,PENDING,PENDING,NA,1,2,,,
goc,mustelus,PENDING,PENDING,NA,1,2,,,
goc,mycteroperca,PENDING,PENDING,NA,1,1,,,
goc,nasolamia,PENDING,PENDING,NA,1,1,,,
goc,panulirus,PENDING,PENDING,NA,1,NA,,,
goc,paralabrax,PENDING,PENDING,NA,1,1,,,
goc,prionace,PENDING,PENDING,NA,1,2,,,
goc,scomberomorus,PENDING,PENDING,NA,1,2,,,
goc,seriola,PENDING,PENDING,NA,1,1,,,
goc,sphyrna,PENDING,PENDING,NA,1,1,,,
goc,squatina,PENDING,PENDING,NA,1,2,,,
goc,turbo,PENDING,PENDING,NA,1,0,,,
goc,ablennes,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,acanthurus,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,aetobatus,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,anisotremus,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,anoplopoma,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,argopecten,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,balistes,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,calamus,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,cetengraulis,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,chanos,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,chione,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,coryphaena,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,diapterus,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,diplectrum,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,dosinia,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,etrumeus,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,eucinostomus argenteus,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,eugerres,PENDING,PENDING,Incomplete model priors,0,NA,,,
goc,farfantepenaeus,PENDING,PENDING,Incomplete model priors,0,NA,,,
