"year","OHI_Region_No","estimated_genus_name","Annual_Catch_kg","Avg_Catch_Ref2018.22","n_years_Ref2018.22","status","control","notes","Stock_Status"
2023,"region_1","alopias",1760,NA,0,"maximally harvested","no increase",NA,NA
2022,"region_1","argopecten",24525,24525,1,"maximally harvested","no increase",NA,1
2018,"region_1","callinectes",408,408,1,"unclear",NA,NA,NA
2019,"region_1","carcharhinus",100,1612.6875,4,"maximally harvested","no increase",NA,1
2020,"region_1","carcharhinus",2453.25,1612.6875,4,"maximally harvested","no increase",NA,0.657367777438092
2021,"region_1","carcharhinus",1790,1612.6875,4,"maximally harvested","no increase",NA,0.900942737430168
2022,"region_1","carcharhinus",2107.5,1612.6875,4,"maximally harvested","no increase",NA,0.765213523131673
2023,"region_1","carcharhinus",35,1612.6875,4,"maximally harvested","no increase",NA,1
2018,"region_1","chione",147740,173129.8,5,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",1
2019,"region_1","chione",160171,173129.8,5,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",1
2020,"region_1","chione",142635,173129.8,5,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",1
2021,"region_1","chione",188149,173129.8,5,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",1
2022,"region_1","chione",226954,173129.8,5,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.762840928117592
2023,"region_1","chione",225609,173129.8,5,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.767388712329739
2018,"region_1","cynoscion",24626.01,41368.562,5,"maximally harvested","no increase",NA,1
2019,"region_1","cynoscion",28335.5,41368.562,5,"maximally harvested","no increase",NA,1
2020,"region_1","cynoscion",24990,41368.562,5,"maximally harvested","no increase",NA,1
2021,"region_1","cynoscion",64304.6,41368.562,5,"maximally harvested","no increase",NA,0.643321970745483
2022,"region_1","cynoscion",64586.7,41368.562,5,"maximally harvested","no increase",NA,0.640512086853795
2023,"region_1","cynoscion",180928,41368.562,5,"maximally harvested","no increase",NA,0.228646544481783
2024,"region_1","cynoscion",50375.5,41368.562,5,"maximally harvested","no increase",NA,0.821203997975206
2018,"region_1","dosinia",600,5978,2,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2022,"region_1","dosinia",11356,5978,2,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2024,"region_1","dosinia",1875,5978,2,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2019,"region_1","galeorhinus",330,2341,2,"maximally harvested","no increase",NA,1
2022,"region_1","galeorhinus",4352,2341,2,"maximally harvested","no increase",NA,0.537913602941177
2023,"region_1","galeorhinus",3603,2341,2,"maximally harvested","no increase",NA,0.649736330835415
2024,"region_1","galeorhinus",5676,2341,2,"maximally harvested","no increase",NA,0.412438336856942
2022,"region_1","haliotis",88.06,88.06,1,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.5
2023,"region_1","haliotis",112,88.06,1,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.393125
2024,"region_1","haliotis",1190.26,88.06,1,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.0369919177322602
2018,"region_1","hoplopagrus",294.8,294.8,1,"maximally harvested","no increase",NA,1
2024,"region_1","hoplopagrus",1035,294.8,1,"maximally harvested","no increase",NA,0.284830917874396
2020,"region_1","isurus",8176.5,5242.66666666667,3,"maximally harvested","no increase",NA,0.641187142012679
2021,"region_1","isurus",440,5242.66666666667,3,"maximally harvested","no increase",NA,1
2022,"region_1","isurus",7111.5,5242.66666666667,3,"maximally harvested","no increase",NA,0.737209683845415
2023,"region_1","isurus",3039,5242.66666666667,3,"maximally harvested","no increase",NA,1
2024,"region_1","isurus",2090,5242.66666666667,3,"maximally harvested","no increase",NA,1
2018,"region_1","lutjanus",3901.568,3538.9736,5,"maximally harvested","no increase",NA,0.907064441783406
2019,"region_1","lutjanus",536,3538.9736,5,"maximally harvested","no increase",NA,1
2020,"region_1","lutjanus",12399,3538.9736,5,"maximally harvested","no increase",NA,0.285424114847972
2021,"region_1","lutjanus",183.8,3538.9736,5,"maximally harvested","no increase",NA,1
2022,"region_1","lutjanus",674.5,3538.9736,5,"maximally harvested","no increase",NA,1
2023,"region_1","lutjanus",2835,3538.9736,5,"maximally harvested","no increase",NA,1
2024,"region_1","lutjanus",1083.8,3538.9736,5,"maximally harvested","no increase",NA,1
2018,"region_1","megapitaria",1804,1804,1,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2020,"region_1","megastraea",23280,13093.3333333333,3,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration",0.281214203894616
