group,common_name,scientific_name,status,control,range,OHI_region,carta_year,notes
abalone,Abulón azul,Haliotis fulgens,deteriorating,decrease,yes,region_1,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón azul,Haliotis fulgens,deteriorating,decrease,yes,region_2,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón azul,Haliotis fulgens,deteriorating,decrease,yes,region_3,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón azul,Haliotis fulgens,deteriorating,decrease,yes,region_4,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón azul,Haliotis fulgens,NA,NA,no,region_5,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón azul,Haliotis fulgens,NA,NA,no,region_6,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón azul,Haliotis fulgens,NA,NA,no,region_7,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón azul,Haliotis fulgens,NA,NA,no,region_8,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón azul,Haliotis fulgens,NA,NA,no,region_9,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón amarillo,Haliotis corrugata,deteriorating,decrease,yes,region_1,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón amarillo,Haliotis corrugata,deteriorating,decrease,yes,region_2,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón amarillo,Haliotis corrugata,deteriorating,decrease,yes,region_3,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón amarillo,Haliotis corrugata,deteriorating,decrease,yes,region_4,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón amarillo,Haliotis corrugata,NA,NA,no,region_5,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón amarillo,Haliotis corrugata,NA,NA,no,region_6,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón amarillo,Haliotis corrugata,NA,NA,no,region_7,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón amarillo,Haliotis corrugata,NA,NA,no,region_8,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón amarillo,Haliotis corrugata,NA,NA,no,region_9,2023,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
abalone,Abulón negro,Haliotis cracherodii,unclear,NA,yes,region_1,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,unclear,NA,yes,region_2,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_3,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_4,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_5,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_6,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_7,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_8,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_9,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,unclear,NA,yes,region_1,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,unclear,NA,yes,region_2,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_3,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_4,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_5,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_6,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_7,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_8,2023,"historically small fishery, so no clear regulations"
abalone,Abulón negro,Haliotis cracherodii,NA,NA,no,region_9,2023,"historically small fishery, so no clear regulations"
abalone,Abulón rojo,Haliotis rufescens,unclear,NA,yes,region_1,2023,"historically small fishery, so no clear regulations"
abalone,Abulón rojo,Haliotis rufescens,unclear,NA,yes,region_2,2023,"historically small fishery, so no clear regulations"
abalone,Abulón rojo,Haliotis rufescens,NA,NA,no,region_3,2023,"historically small fishery, so no clear regulations"
abalone,Abulón rojo,Haliotis rufescens,NA,NA,no,region_4,2023,"historically small fishery, so no clear regulations"
abalone,Abulón rojo,Haliotis rufescens,NA,NA,no,region_5,2023,"historically small fishery, so no clear regulations"
