landing_site,landing_site_sites,clave,subregion,long,lat,dist,match_type
YAVAROS,YAVAROS,430,5.043,-109.521,26.702,0,exact_raw
GUAYMAS,GUAYMAS,286,5.0286,-110.894,27.9197,0,exact_raw
PEÑASCO,PEÑASCO,34,5.0034,-113.54,31.31,0,exact_raw
PAREDONCITO,PAREDONCITO,402,5.0402,-109.908,27.0542,0,exact_raw
CAMAHUIROA,CAMAHUIROA,446,5.0446,-109.29,26.5394,0,exact_raw
AQUIROPO,AQUIROPO,416,5.0416,-109.858,26.8315,0,exact_raw
TASTIOTA,TASTIOTA,179,5.0179,-111.46,28.366,0,exact_raw
MIRAMAR,MIRAMAR,94,5.0094,-112.372,29.4833,0,exact_raw
PUERTO PEÑASCO,PEÑASCO PUERTO,35,5.0035,-113.54,31.31,0,exact_basic
PAREDON COLORADO,COLORADO PAREDON,406,5.0406,-109.934,27.0441,0,exact_basic
SAN NICOLAS,NICOLAS SAN,170,5.017,-111.76,28.4617,0,exact_basic
SANTA BARBARA,BARBARA SANTA,428,5.0428,-109.542,26.678,0,exact_basic
LAS PLAYITAS,PLAYITAS LAS,282,5.0282,-110.883,27.8943,0,exact_basic
EL RASTRO,RASTRO EL,230,5.023,-111.15,28.001,0,exact_basic
BAHIA AGIABAMPO,AGIABAMPO BAHIA,464,5.0464,-109.146,26.3642,0,exact_basic
EL CHOYUDO,CHOYUDO EL,206,5.0206,-111.271,28.1906,0,exact_basic
PUERTO LIBERTAD,LIBERTAD PUERTO,85,5.0085,-112.68,29.9036,0,exact_basic
BAHIA LOBOS,LOBOS BAHÍA,368,5.0368,-110.486,27.303,0,exact_basic
LOS BAÑOS,BAÑOS LOS,461,5.0461,-109.164,26.3755,0,exact_basic
BAHIA YAVAROS,YAVAROS BAHÍA,434,5.0434,-109.487,26.7,0,exact_basic
BAHIA KINO,KINO BAHÍA,150,5.015,-111.958,28.7912,0,exact_basic
BAHIA SAN JORGE,JORGE SAN BAHÍA,53,5.0053,-113.075,31.1515,0,exact_basic
BAHIA BACHOCO,BACHOCO BAHÍA,440,5.044,-109.428,26.637,0,exact_basic
LOS MELAGOS,MELAGOS LOS,380,5.038,-110.328,27.173,0,exact_basic
BAHIA TOBARI,TOBARI BAHÍA,400,5.04,-109.9985,27.0652,0,exact_basic
PLAYA DEL SOL,SOL DEL PLAYA,337,5.0337,-110.413,27.5658,0,exact_basic
ISLA SAN ESTEBAN,ESTEBAN ISLA SAN,131,5.0131,-112.581,28.6963,0,exact_basic
SANTO DOMINGO,DOMINGO SANTO,21,5.0021,-113.638,31.4678,0,exact_basic
EL SAHUIMARO,SAHUIMARO EL,163,5.0163,-111.762,28.58,0,exact_basic
BALNEARIO VENECIA,VENECIA BALNEARIO,336,5.0336,-110.491,27.5643,0,exact_basic
EL SIARIC,SIARIC EL,452,5.0452,-109.174,26.422,0,exact_basic
EL DESEMBOQUE,DESEMBOQUE EL,68,5.0068,-113.01,30.56,0,exact_basic
LAS BOCAS,BOCAS LAS,443,5.0443,-109.34,26.5848,0,exact_basic
PUNTA CALAVERA,CALAVERA PUNTA.,316,5.0316,-110.527,27.859,0,exact_basic
EL RIITO,RIITO EL,448,5.0448,-109.312,26.4823,0,exact_basic
SAN JOSE,JOSE SAN,389,5.0389,-110.136,27.12,0,exact_basic
PARAJE VIEJO,VIEJO PARAJE,262,5.0262,-110.924,27.8795,0,exact_basic
ESTERO SAN JOSE,JOSE ESTERO SAN,392,5.0392,-110.126,27.125,0,exact_basic
EL TORNILLAL,TORNILLAL EL,14,5.0014,-114.297,31.5619,0,exact_basic
EL BORRASCOSO,BORRASCOSO EL,18,5.0018,-114.05,31.484,0,exact_basic
LA CHOYA,CHOYA LA,25,5.0025,-113.64,31.3423,0,exact_basic
LA MANGA,MANGA LA,236,5.0236,-111.123,27.9765,0,exact_basic
LA BANDERA,BANDERA LA,257,5.0257,-110.953,27.894,0,exact_basic
CABO HARO,HARO CABO,268,5.0268,-110.89,27.839,0,exact_basic
LAS SALINAS,SALINAS LAS,449,5.0449,-109.326,26.4218,0,exact_basic
LA ATANASIA,ATANASIA LA,385,5.0385,-110.207,27.1524,0,exact_basic
EL COLORADO,COLORADO EL,87,5.0087,-112.638,29.8142,0,exact_basic
BAHIA GUAYMAS,GUAYMAS BAHÍA,307,5.0307,-110.858,27.909,0,exact_basic
