landing_site,clave,subregion,long,lat,State,hand_added,
ABULONERA LA,325,1.0324,-114.0812,28.2467,Baja California,no,
ACME ROCA,346,1.0345,-114.906,29.298,Baja California,no,
ADELAIDA ISLA,297,1.0296,-114.2757,28.6659,Baja California,no,
ADRIANA PLAYA,152,4.0152,-114.6976,30.625,Baja California,no,
AGUA AZUL DE ACAPULCO PLAYA,155,4.0155,-114.7,30.6495,Baja California,no,
AGUA BLANCA CAMPO,240,1.0239,-115.714,29.935,Baja California,no,
AGUA BLANCA PLAYA,241,1.024,-115.716,29.935,Baja California,no,
AGUA BLANCA,241,1.024,-115.716,29.935,Baja California,yes,
AGUAJITO VARADERO,315,1.0314,-114.073,28.346,Baja California,no,
ALACRÁN PUNTA EL,42,4.0042,-113.3686,28.9016,Baja California,no,
ALCATRAZ ENSENADA,69,4.0069,-113.6197,29.1616,Baja California,no,
ALCATRAZ ISLA,68,4.0068,-113.6096,29.1645,Baja California,no,
ALFONSINA,102,4.0102,-114.3943,29.8056,Baja California,no,
ALFONSO LA BARCA,30,1.003,-117.039,32.295,Baja California,no,
ALISIOS LOS,56,1.0056,-116.883,32.087,Baja California,no,
ALMARA PUNTA,224,1.0223,-115.9843,30.362,Baja California,no,
ALMEJAS BAHÍA,145,1.0144,-116.4602,31.3368,Baja California,no,
ALMEJERO CAMPO,177,1.0176,-116.0291,30.5576,Baja California,no,
ALTAMIRA VARADERO,316,1.0315,-114.079,28.326,Baja California,no,
AMIGOS CAMPO LOS,210,4.021,-114.8865,31.1598,Baja California,no,
ANCHO ARROYO,242,1.0241,-115.704,29.903,Baja California,no,
ANGEL DE LA GUARDA ISLA,84,4.0084,-113.3649,29.2898,Baja California,no,
ANGELES BAHÍA DE LOS,62,4.0062,-113.551,29.03,Baja California,no,
ANIMAS BAHÍA DE LAS,49,4.0049,-113.507,28.9183,Baja California,no,
ANIMAS BAHÍA LAS,38,4.0038,-113.3181,28.8266,Baja California,no,
ISLA LAS ANIMAS,26,4.0026,-112.9329,28.7,Baja California,yes,
ANIMAS ISLA,26,4.0026,-112.9329,28.7,Baja California,no,
ANIMAS LAS,37,4.0037,-113.3504,28.8001,Baja California,no,
ANIMAS PUNTA LAS,36,4.0036,-113.2561,28.8338,Baja California,no,
ARBOLITOS PUERTO DE,112,1.0111,-116.6637,31.7043,Baja California,no,
ARENA PUNTA,80,4.008,-113.96675,29.3849,Baja California,no,
ARROYITO CAMPO,280,1.0279,-118.403,29.049,Baja California,no,
ASAMBLEA PUNTA LA,90,4.009,-113.8348,29.4498,Baja California,no,
AZUFRE PUNTA,218,1.0217,-115.9675,30.3838,Baja California,no,
AZUL COSTA,64,1.0064,-116.8535,31.9917,Baja California,no,
BAH. LOS ANGELES LITORAL,97,4.0097,-114.3004,29.7409,Baja California,no,
BAHÍA FALSA LITORAL,199,1.0198,-116.0001,30.4504,Baja California,no,
BAJA BANCK,345,1.0344,-116.268,29.947,Baja California,no,
BAJA DEL MAR,18,1.0018,-117.0724,32.3756,Baja California,no,
BAJA MALIBÚ,11,1.0011,-117.087,32.41,Baja California,no,
BAJA PUNTA,238,1.0236,-115.8004,29.9503,Baja California,no,
BAJA TRADE WINDS,13,1.0013,-117.087,32.4,Baja California,no,
BAJAMAR,61,1.0061,-116.87,32.027,Baja California,no,
BAJO QUINCE BRAZAS,344,1.0343,-116.084,30.395,Baja California,no,
BAJO SACRAMENTO,245,1.0244,-115.781,29.768,Baja California,no,
BALLENA PUNTA,24,4.0024,-112.9017,28.4706,Baja California,no,
BALLENAS CANAL DE,85,4.0085,-113.5535,29.2569,Baja California,no,
BALLENAS MIRADOR,71,1.0071,-116.7565,31.9287,Baja California,no,
