estimated_taxa_group,st_b.low,st_b.hi,Status
almeja,0.1,0.3,depleted
bandera,0.3,0.5,sustainable
barrilete,0.6,0.9,new
berrugata,0.1,0.3,depleted
cabrilla,0.6,0.9,new
calamar,0.3,0.5,sustainable
caracol,0.6,0.9,new
cazon,0.1,0.3,depleted
corvina,0.1,0.3,depleted
dorado,0.3,0.5,sustainable
guachinango,0.6,0.9,new
jaiba,0.3,0.5,sustainable
jurel,0.3,0.5,sustainable
langosta,0.3,0.5,sustainable
lenguado,0.1,0.3,depleted
lisa,0.1,0.3,depleted
mero,0.1,0.3,depleted
mojarra,0.1,0.3,depleted
ostion,0.1,0.3,depleted
snapper,0.1,0.3,depleted
pierna,0.5,0.8,healthy
pulpo,0.1,0.3,depleted
raya y similares,0.3,0.5,sustainable
robalo,0.1,0.3,depleted
sierra,0.3,0.5,sustainable
tiburon,0.3,0.5,sustainable
camaron,0.1,0.3,depleted
