"year","eu_rnpa","total_catch_kg"
2018,"0203000302",5101
2018,"0203000351",4136
2018,"0203000922",5496518.48
2018,"0203001391",111300
2018,"0203003058",26715.2
2018,"0203004478",118237.9
2018,"0203005472",1143.5
2018,"0203006564",24992
2018,"0203007414",18431.3
2018,"0203007596",8720.15
2018,"0203007760",1414.6
2018,"0203008305",1561
2018,"0203008933",376544.5
2018,"0203008974",32211.46
2018,"0203009089",7706758.7
2018,"0203009261",53387.2
2018,"0203009279",76236
2018,"0203010103",678256.5
2018,"0203010384",117580.17
2018,"0203010673",3179
2018,"0203010756",82973.25
2018,"0203011630",14229372
2018,"0203011820",1430
2018,"0203011861",61991.15
2018,"0203011887",99755.8
2018,"0203011994",3315806
2018,"0203012158",343369.5
2018,"0203012208",4208.91
2018,"0203012406",13457
2018,"0203012414",3532809
2018,"0203012455",21519.2
2018,"0203012505",13155
2018,"0203012554",185915
2018,"0203014030",159
2018,"0203014162",22
2018,"0203014535",149240
2018,"0203014741",245265.55
2018,"0203015185",41907.1
2018,"0203015193",169377.55
2018,"0203015367",32914
2018,"0203015573",11530
2018,"0203015698",13092
2018,"0203015722",134923
2018,"0203015748",279
2018,"0203015805",38071.5
2018,"0203015847",30824
2018,"0203015870",11282.5
2018,"0203016415",18935
2018,"0203016456",4587800
2018,"0203016878",19103.5
2018,"0203017116",5045.6
2018,"0203017363",430
2018,"0203017678",36998
2018,"0203017819",282
2018,"0203126552",1525
2018,"0203126560",7153776.36
2018,"0203126586",16362.5
2018,"0203126602",1174
2018,"0203126628",383223.842
2018,"0203126685",230
2018,"0203126693",60177.25
2018,"0203126743",27281
2018,"0203126784",17767699.64
2018,"0203126883",6310.7
2018,"0203126974",47995.4
2018,"0203127022",1807.3
2018,"0203127048",23178.1
2018,"0203127220",116808.3
2018,"0203127477",145072.6
2018,"0203127485",128419
2018,"0206001133",19000
2018,"0207000092",363029.9
2018,"0207000787",367084.65
2018,"0207001256",744248.05
2018,"0207001264",85003.46
2018,"0207001603",861869.95
2018,"0207001611",15000
2018,"0207001660",70670
2018,"0207001702",106307.63
2018,"0207001744",281973
2018,"0207001751",254311.25
