"region","year","Major_Functional_Group","CPUE_current","n_eu","CPUE_baseline","n_eu_baseline","n_years_baseline","CPUE_score","CPUE_score_capped"
"GOC",2023,"Anchovy & Sardine (small pelagics)",22901.8965806452,31,24251.6415776858,117,5,0.944344180054081,0.944344180054081
"GOC",2023,"Cephalopods",11.7069185185185,135,8.95432806707081,678,5,1.30740335074055,1
"GOC",2023,"Crustaceans",80.0820106007067,283,67.2239445364795,1384,5,1.19127211520963,1
"GOC",2023,"Demersal marine fishes",96.9089134328358,670,65.3752041459399,3361,5,1.48234968745186,1
"GOC",2023,"Diadromous fishes",21.8901428571429,28,13.4996552099752,119,5,1.62153347746006,1
"GOC",2023,"Echinoderms",2.103,2,6.06481666666667,21,5,0.34675409259417,0.34675409259417
"GOC",2023,"Jellies",55.4632941176471,34,506.707943858378,379,5,0.109458110514937,0.109458110514937
"GOC",2023,"Marine algae",62.366,2,165.081666666667,11,5,0.377788771214247,0.377788771214247
"GOC",2023,"Marine fishes NEI",5.72730769230769,26,7.29817723949319,134,5,0.784758646489848,0.784758646489848
"GOC",2023,"Marine species NEI",0.320269230769231,26,2.40301866070214,254,5,0.133277879197014,0.133277879197014
"GOC",2023,"Molluscs excl. Cephalopods",73.2962881355932,236,63.0925199270416,1081,5,1.16172706717612,1
"GOC",2023,"Other marine invertebrates",0.052,1,0.1,4,2,0.52,0.52
"GOC",2023,"Pelagic marine fish (excl. anchovy & sardine)",310.758498194946,554,292.009939420969,2552,5,1.06420520757326,1
"GOC",2023,"Sharks",52.8400102040816,294,38.5340258583337,1559,5,1.37125589727744,1
"GOC",2023,"Shrimps, prawns",84.7954735449735,378,79.5394202553826,1721,5,1.06608111138747,1
"GOC",2024,"Anchovy & Sardine (small pelagics)",24853.8719175636,22,24251.6415776858,117,5,1.02483255980626,1
"GOC",2024,"Cephalopods",13.0375235036496,137,8.95432806707081,678,5,1.45600243882002,1
"GOC",2024,"Crustaceans",67.0605825454545,275,67.2239445364795,1384,5,0.997569883883616,0.997569883883616
"GOC",2024,"Demersal marine fishes",101.647715815485,691,65.3752041459399,3361,5,1.5548359220198,1
"GOC",2024,"Diadromous fishes",22.2455736666667,30,13.4996552099752,119,5,1.64786235801259,1
"GOC",2024,"Echinoderms",1.729,1,6.06481666666667,21,5,0.285086935851317,0.285086935851317
"GOC",2024,"Jellies",515.498475858586,99,506.707943858378,379,5,1.01734832087548,1
"GOC",2024,"Marine algae",71.142,2,165.081666666667,11,5,0.430950337711638,0.430950337711638
"GOC",2024,"Marine fishes NEI",4.66585869565217,23,7.29817723949319,134,5,0.639318358891512,0.639318358891512
"GOC",2024,"Marine species NEI",0.676201515151515,33,2.40301866070214,254,5,0.281396697499608,0.281396697499608
"GOC",2024,"Molluscs excl. Cephalopods",60.1186139090909,220,63.0925199270416,1081,5,0.952864364565092,0.952864364565092
"GOC",2024,"Pelagic marine fish (excl. anchovy & sardine)",326.266326317838,555,292.009939420969,2552,5,1.11731240027239,1
"GOC",2024,"Sharks",100.3347649375,240,38.5340258583337,1559,5,2.60379658503293,1
"GOC",2024,"Shrimps, prawns",57.5606553116531,369,79.5394202553826,1721,5,0.723674564471796,0.723674564471796
"GOC",2025,"Anchovy & Sardine (small pelagics)",11621.8279109091,22,24251.6415776858,117,5,0.479218195340742,0.479218195340742
"GOC",2025,"Cephalopods",45.0805965986395,147,8.95432806707081,678,5,5.03450356754535,1
"GOC",2025,"Crustaceans",21.0960390128755,233,67.2239445364795,1384,5,0.313817333367393,0.313817333367393
"GOC",2025,"Demersal marine fishes",71.9533875,673,65.3752041459399,3361,5,1.10062199330767,1
"GOC",2025,"Diadromous fishes",17.0006227272727,22,13.4996552099752,119,5,1.25933755068874,1
"GOC",2025,"Echinoderms",0.012,1,6.06481666666667,21,5,0.00197862535003806,0.00197862535003806
"GOC",2025,"Jellies",451.721592857143,35,506.707943858378,379,5,0.891483147900669,0.891483147900669
"GOC",2025,"Marine algae",21.0985,2,165.081666666667,11,5,0.127806439237145,0.127806439237145
"GOC",2025,"Marine fishes NEI",2.28945625,16,7.29817723949319,134,5,0.313702473216311,0.313702473216311
"GOC",2025,"Marine species NEI",0.776511764705882,17,2.40301866070214,254,5,0.323140130954702,0.323140130954702
"GOC",2025,"Molluscs excl. Cephalopods",20.0539598445596,193,63.0925199270416,1081,5,0.317850037813507,0.317850037813507
"GOC",2025,"Pelagic marine fish (excl. anchovy & sardine)",207.197493541529,484,292.009939420969,2552,5,0.709556304666835,0.709556304666835
"GOC",2025,"Sharks",55.4367156127451,204,38.5340258583337,1559,5,1.43864323485307,1
"GOC",2025,"Shrimps, prawns",32.5187592670807,322,79.5394202553826,1721,5,0.408838273684553,0.408838273684553
