year,eu_rnpa,Major_Functional_Group,total_catch_kg
2018,0203000302,Crustaceans,3755
2018,0203000302,Echinoderms,1346
2018,0203000351,Crustaceans,4136
2018,0203000922,Anchovy & Sardine (small pelagics),4573586.52
2018,0203000922,Pelagic marine fish (excl. anchovy & sardine),922931.96
2018,0203001391,Marine algae,111300
2018,0203003058,Cephalopods,668.6
2018,0203003058,Demersal marine fishes,16884
2018,0203003058,Marine fishes NEI,5027
2018,0203003058,Pelagic marine fish (excl. anchovy & sardine),3668
2018,0203003058,Sharks,467.6
2018,0203004478,Pelagic marine fish (excl. anchovy & sardine),78029.9
2018,0203004478,Sharks,40208
2018,0203005472,Demersal marine fishes,1143.5
2018,0203006564,Demersal marine fishes,7031
2018,0203006564,Marine fishes NEI,820
2018,0203006564,Molluscs excl. Cephalopods,2038
2018,0203006564,Pelagic marine fish (excl. anchovy & sardine),500
2018,0203006564,Sharks,14603
2018,0203007414,Cephalopods,547.1
2018,0203007414,Demersal marine fishes,13232.25
2018,0203007414,Marine fishes NEI,3470
2018,0203007414,Pelagic marine fish (excl. anchovy & sardine),178
2018,0203007414,Sharks,1003.95
2018,0203007596,Cephalopods,1760
2018,0203007596,Demersal marine fishes,6360.15
2018,0203007596,Marine fishes NEI,210
2018,0203007596,Marine species NEI,290
2018,0203007596,Pelagic marine fish (excl. anchovy & sardine),100
2018,0203007760,Cephalopods,1414.6
2018,0203008305,Crustaceans,1106
2018,0203008305,Marine fishes NEI,5
2018,0203008305,"Shrimps, prawns",450
2018,0203008933,Demersal marine fishes,145775.5
2018,0203008933,Marine fishes NEI,400
2018,0203008933,Marine species NEI,20
2018,0203008933,Pelagic marine fish (excl. anchovy & sardine),229900
2018,0203008933,Sharks,449
2018,0203008974,Cephalopods,550
2018,0203008974,Crustaceans,2020
2018,0203008974,Demersal marine fishes,8379.868
2018,0203008974,Molluscs excl. Cephalopods,19577
2018,0203008974,Sharks,655.592
2018,0203008974,unknown,1029
2018,0203009089,Anchovy & Sardine (small pelagics),6381394.9
2018,0203009089,Pelagic marine fish (excl. anchovy & sardine),1325363.8
2018,0203009261,Crustaceans,5595
2018,0203009261,Demersal marine fishes,25046.4
2018,0203009261,Marine fishes NEI,3831
2018,0203009261,Pelagic marine fish (excl. anchovy & sardine),8744.5
2018,0203009261,Sharks,4389.3
2018,0203009261,"Shrimps, prawns",5781
2018,0203009279,Demersal marine fishes,4695
2018,0203009279,Echinoderms,49600
2018,0203009279,Marine fishes NEI,5202
2018,0203009279,Molluscs excl. Cephalopods,9239
2018,0203009279,Pelagic marine fish (excl. anchovy & sardine),7500
2018,0203010103,Demersal marine fishes,31436.5
2018,0203010103,Pelagic marine fish (excl. anchovy & sardine),642550
2018,0203010103,Sharks,4270
2018,0203010384,Cephalopods,869
2018,0203010384,Crustaceans,23056
2018,0203010384,Demersal marine fishes,45548.67
2018,0203010384,Echinoderms,2055
2018,0203010384,Marine fishes NEI,19753.5
2018,0203010384,Pelagic marine fish (excl. anchovy & sardine),1125
2018,0203010384,Sharks,15543
2018,0203010384,"Shrimps, prawns",9630
2018,0203010673,Demersal marine fishes,3119
2018,0203010673,Marine fishes NEI,60
2018,0203010756,Cephalopods,31180.8
2018,0203010756,Demersal marine fishes,35631.55
2018,0203010756,Marine fishes NEI,4996
2018,0203010756,Pelagic marine fish (excl. anchovy & sardine),602
2018,0203010756,Sharks,10562.9
2018,0203011630,Anchovy & Sardine (small pelagics),11829332
2018,0203011630,Pelagic marine fish (excl. anchovy & sardine),2400040
2018,0203011820,Pelagic marine fish (excl. anchovy & sardine),1430
2018,0203011861,Marine species NEI,159.5
2018,0203011861,Pelagic marine fish (excl. anchovy & sardine),29858.25
2018,0203011861,Sharks,31973.4
2018,0203011887,Demersal marine fishes,14500
