"region","year","Major_Functional_Group","total_catch_mt","n_eu","catch.mt_per_eu","CPUE_baseline_2018.2024","n_eu_baseline","n_years_baseline","CPUE_score","CPUE_score_capped"
"GOC",2018,"Anchovy & Sardine (small pelagics)",465340.9276,19,24491.6277684211,24251.6415776858,117,5,1.00989566788568,1
"GOC",2018,"Cephalopods",1115.676803,125,8.925414424,8.95432806707081,678,5,0.996770986850801,0.996770986850801
"GOC",2018,"Crustaceans",16519.03039,279,59.2079942293907,67.2239445364795,1384,5,0.880757513377708,0.880757513377708
"GOC",2018,"Demersal marine fishes",35705.777608,669,53.3718648849028,65.3752041459399,3361,5,0.816393089431255,0.816393089431255
"GOC",2018,"Diadromous fishes",188.254,16,11.765875,13.4996552099752,119,5,0.871568556158821,0.871568556158821
"GOC",2018,"Echinoderms",58.1285,5,11.6257,6.06481666666667,21,5,1.91690872766146,1
"GOC",2018,"Jellies",49902.712,73,683.598794520548,506.707943858378,379,5,1.34909823855378,1
"GOC",2018,"Marine algae",191.412,2,95.706,165.081666666667,11,5,0.579749416955244,0.579749416955244
"GOC",2018,"Marine fishes NEI",171.3632,29,5.90907586206897,7.29817723949319,134,5,0.809664614623598,0.809664614623598
"GOC",2018,"Marine species NEI",403.4207,57,7.07755614035088,2.40301866070214,254,5,2.94527722821881,1
"GOC",2018,"Molluscs excl. Cephalopods",9798.84329,200,48.99421645,63.0925199270416,1081,5,0.776545563668332,0.776545563668332
"GOC",2018,"Pelagic marine fish (excl. anchovy & sardine)",169367.33231,496,341.46639578629,292.009939420969,2552,5,1.16936566085178,1
"GOC",2018,"Sharks",10815.174202,295,36.6616074644068,38.5340258583337,1559,5,0.951408700435021,0.951408700435021
"GOC",2018,"Shrimps, prawns",25189.88596,319,78.9651597492163,79.5394202553826,1721,5,0.992780177372145,0.992780177372145
"GOC",2019,"Anchovy & Sardine (small pelagics)",485410.76158,21,23114.7981704762,24251.6415776858,117,5,0.953123032782423,0.953123032782423
"GOC",2019,"Cephalopods",1078.3874,137,7.87144087591241,8.95432806707081,678,5,0.87906549960564,0.87906549960564
"GOC",2019,"Crustaceans",18987.6413,276,68.7958018115942,67.2239445364795,1384,5,1.02338240170155,1
"GOC",2019,"Demersal marine fishes",41458.842059,667,62.1571844962519,65.3752041459399,3361,5,0.950776143773038,0.950776143773038
"GOC",2019,"Diadromous fishes",414.1746,26,15.9297923076923,13.4996552099752,119,5,1.18001475296357,1
"GOC",2019,"Echinoderms",37.96,3,12.6533333333333,6.06481666666667,21,5,2.08635050798458,1
