"estimated_genus_name","Year_of_Recommendation","OHI_region","status","control","n_species","n_species_original","carta_provenance"
"alopias",2023,"region_1","maximally harvested","no increase",3,3,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"anadara",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"apostichopus",2023,"region_1","decreasing","decrease",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"argopecten",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"atrina",2023,"region_1","maximally harvested","no increase",3,3,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"carcharhinus",2023,"region_1","maximally harvested","no increase",9,9,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"centropomus",2023,"region_1","maximally harvested","no increase",5,5,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"cetengraulis",2022,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"chione",2023,"region_1","maximally harvested","no increase",2,2,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"chionista",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"chionopsis",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"chondracanthus",2012,"region_1","development potential","increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"crassostrea",2017,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"cynoscion",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"dosidicus",2022,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"engraulis",2022,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"etrumeus",2022,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"farfantepenaeus",2017,"region_1","maximally harvested","no increase",2,2,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"galeocerdo",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"galeorhinus",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"gelidium",2012,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"gracilariopsis",2012,"region_1","development potential","increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"gynglymostoma",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"haliotis",2023,"region_1","decreasing","decrease",2,2,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"hoplopagrus",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
"isurus",2023,"region_1","maximally harvested","no increase",1,1,"genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties, I chose the most conservative status and control estimate)"
