"year","OHI_region_est","taxon_key","taxon_level","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status","control","carta_source","Year_of_Recommendation","notes","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2019,"region_1","carcharhinus longimanus","species","carcharhinus",100,1,1605.8125,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_1","carcharhinus longimanus","species","carcharhinus",2453.25,4,1605.8125,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.654565372465097
2021,"region_1","carcharhinus longimanus","species","carcharhinus",1790,3,1605.8125,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.897101955307263
2022,"region_1","carcharhinus longimanus","species","carcharhinus",2080,2,1605.8125,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.772025240384615
2024,"region_1","carcharhinus longimanus","species","carcharhinus",50,1,1605.8125,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_1","chione fluctifraga","species","chione",147740,63,166104.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_1","chione fluctifraga","species","chione",147278,88,166104.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2020,"region_1","chione fluctifraga","species","chione",142635,75,166104.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2021,"region_1","chione fluctifraga","species","chione",185189,148,166104.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.896946362904924
2022,"region_1","chione fluctifraga","species","chione",207681,153,166104.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.799806433905846
