"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","Year_of_Recommendation","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2019,"region_1","carcharhinus",100,1,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2020,"region_1","carcharhinus",2453.25,4,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.657367777438092
2021,"region_1","carcharhinus",1790,3,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.900942737430168
2022,"region_1","carcharhinus",2107.5,3,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.765213523131673
2023,"region_1","carcharhinus",35,2,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2024,"region_1","carcharhinus",50,1,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2018,"region_1","chione",147740,63,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2019,"region_1","chione",147278,88,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2020,"region_1","chione",142635,75,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2021,"region_1","chione",185189,148,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.896946362904924
