"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes","status_adjusted","control_adjusted"
"alopias pelagicus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias pelagicus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias pelagicus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias pelagicus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias pelagicus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias pelagicus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias pelagicus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias pelagicus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias pelagicus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias superciliosus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias superciliosus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias superciliosus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias superciliosus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias superciliosus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias superciliosus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias superciliosus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias superciliosus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias superciliosus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias vulpinus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias vulpinus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias vulpinus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias vulpinus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias vulpinus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias vulpinus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias vulpinus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias vulpinus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"alopias vulpinus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"anadara tuberculosa","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"anadara tuberculosa","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"anadara tuberculosa","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"anadara tuberculosa","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"anadara tuberculosa","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"anadara tuberculosa","region_9",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"apostichopus parvimensis (sinonimo de parastichopus parvimensis)","region_1",2023,"deteriorating","decrease","Deteriorated in Baja California, with a tendency to recover in Baja California Sur.","decreasing","decrease"
"apostichopus parvimensis (sinonimo de parastichopus parvimensis)","region_2",2023,"deteriorating","decrease","Deteriorated in Baja California, with a tendency to recover in Baja California Sur.","decreasing","decrease"
"apostichopus parvimensis (sinonimo de parastichopus parvimensis)","region_3",2023,"deteriorating","decrease","Deteriorated in Baja California, with a tendency to recover in Baja California Sur.","decreasing","decrease"
