"year","Major_Functional_Group","estimated_genus_name","estimated_family_name","OHI_region_est","total_weight_mt","total_value_peso","Stock_Status_RAM","Stock_Status_Carta","Stock_Status_CMSY","Carta_provenance","RAM_provenance","Stock_Status_RAM_capped","Stock_Status_Carta_capped","Stock_Status_CMSY_capped","StockStatus_final","StockStatus_source","StockStatus_est.level"
2000,"Demersal marine fishes","balistes","Balistidae","region_1",9.8552,73000,NA,NA,0.324782395794942,NA,NA,NA,NA,0.324782395794942,0.324782395794942,"CMSY","genus level"
2000,"Demersal marine fishes","brotula","Ophidiidae","region_1",86.192,657215,NA,NA,1.50175517481529,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"caulolatilus",NA,"region_1",0.316,2185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","cynoscion","Sciaenidae","region_1",46.7837,420571,NA,NA,0.91859355234039,NA,NA,NA,NA,0.91859355234039,0.91859355234039,"CMSY","genus level"
2000,NA,"dosidicus",NA,"region_1",0.01,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","hypanus","Dasyatidae","region_1",56.7448,343480,NA,NA,1.50207408977457,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","hyporthodus","Serranidae","region_1",13.0818,478747,NA,NA,0.241225531793201,NA,NA,NA,NA,0.241225531793201,0.241225531793201,"CMSY","genus level"
2000,"Demersal marine fishes","lutjanus","Lutjanidae","region_1",0.46,4150,NA,NA,0.276158335888432,NA,NA,NA,NA,0.276158335888432,0.276158335888432,"CMSY","genus level"
2000,"Demersal marine fishes","merluccius","Merlucciidae","region_1",99.2751,828942,NA,NA,1.30048223377563,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","micropogonias","Sciaenidae","region_1",76.454,515656,NA,NA,0.599417163670138,NA,NA,NA,NA,0.599417163670138,0.599417163670138,"CMSY","genus level"
2000,"Demersal marine fishes","mobula","Myliobatidae","region_1",179.742,827094,NA,NA,1.65746946072802,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","mycteroperca","Serranidae","region_1",6.003,59926,NA,NA,0.246310066408436,NA,NA,NA,NA,0.246310066408436,0.246310066408436,"CMSY","genus level"
2000,NA,"nei",NA,"region_1",178.5617,2703617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","paralabrax","Serranidae","region_1",4.4654,50758,NA,NA,0.279573678369408,NA,NA,NA,NA,0.279573678369408,0.279573678369408,"CMSY","genus level"
2000,NA,"penaeus",NA,"region_1",224.768,16422341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","pseudobatos","Rhinobatidae","region_1",129.04385,1231754,NA,NA,1.67669372944218,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"rimapenaeus",NA,"region_1",3.728,251000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","scorpaena","Scorpaenidae","region_1",0.356,1780,NA,NA,1.7763135740273,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"sicyonia",NA,"region_1",1.6784,130280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","sphoeroides","Tetraodontidae","region_1",0.03125,375,NA,NA,1.50001448857351,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Sharks","squatina","Squatinidae","region_1",366.76535,4246185,NA,NA,1.52686066659806,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"especies",NA,"region_2",1.706,42650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,"abudefduf",NA,"region_3",0.155,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","aetobatus","Myliobatidae","region_3",6.1987,19045,NA,NA,1.50135785985428,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","anisotremus","Haemulidae","region_3",7.1841,40663,NA,NA,0.238088206688484,NA,NA,NA,NA,0.238088206688484,0.238088206688484,"CMSY","genus level"
2000,"Molluscs excl. Cephalopods","argopecten","Pectinidae","region_3",2409.99,9690698,NA,NA,0.280242058906694,NA,NA,NA,NA,0.280242058906694,0.280242058906694,"CMSY","genus level"
2000,NA,"atrina",NA,"region_3",0.244,39040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","balistes","Balistidae","region_3",23.87505,106107,NA,NA,0.324782395794942,NA,NA,NA,NA,0.324782395794942,0.324782395794942,"CMSY","genus level"
2000,"Demersal marine fishes","brotula","Ophidiidae","region_3",0.9501,10614,NA,NA,1.50175517481529,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","calamus","Sparidae","region_3",2.015,12219,NA,NA,1.49482358851186,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"caulolatilus",NA,"region_3",68.2596,491448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","centropomus","Centropomidae","region_3",0.0308,280,NA,NA,0.296651941278902,NA,NA,NA,NA,0.296651941278902,0.296651941278902,"CMSY","genus level"
2000,"Pelagic marine fish (excl. anchovy & sardine)","coryphaena","Coryphaenidae","region_3",5.7261,58519,NA,NA,0.555700327007115,NA,NA,NA,NA,0.555700327007115,0.555700327007115,"CMSY","genus level"
2000,"Demersal marine fishes","cynoscion","Sciaenidae","region_3",72.5208,689339,NA,NA,0.91859355234039,NA,NA,NA,NA,0.91859355234039,0.91859355234039,"CMSY","genus level"
2000,"Demersal marine fishes","diplectrum","Serranidae","region_3",0.5786,9650,NA,NA,0.237110921910998,NA,NA,NA,NA,0.237110921910998,0.237110921910998,"CMSY","genus level"
2000,NA,"dosidicus",NA,"region_3",3951.184,1841305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","epinephelus","Serranidae","region_3",26.3625,306276,NA,NA,0.283171190069589,NA,NA,NA,NA,0.283171190069589,0.283171190069589,"CMSY","genus level"
2000,"Demersal marine fishes","eucinostomus","Gerreidae","region_3",1.544,12303,NA,NA,0.24017202492377,NA,NA,NA,NA,0.24017202492377,0.24017202492377,"CMSY","genus level"
2000,"Sharks","galeocerdo","Carcharhinidae","region_3",0.108,486,NA,NA,0.316817966707402,NA,NA,NA,NA,0.316817966707402,0.316817966707402,"CMSY","genus level"
2000,NA,"gelidium",NA,"region_3",61.089,67608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","haemulon","Haemulidae","region_3",1.2847,4976,NA,NA,0.28037471512183,NA,NA,NA,NA,0.28037471512183,0.28037471512183,"CMSY","genus level"
2000,"Demersal marine fishes","haemulopsis","Haemulidae","region_3",1.2199,2684,NA,NA,0.241747843379106,NA,NA,NA,NA,0.241747843379106,0.241747843379106,"CMSY","genus level"
