"OHI_region_est","year","shrimp_score","shrimp_production_mt","finfish_score","finfish_production_mt","bivalve_score","bivalve_production_mt","total_production_mt","shrimp_catch_contribution","finfish_catch_contribution","bivalve_catch_contribution","shrimp_score_contribution","finfish_score_contribution","bivalve_score_contribution","total_score"
"Region_2",2018,NA,40,NA,NA,NA,NA,40,1,NA,NA,NA,NA,NA,0
"Region_4",2018,97.8247000278824,2484,4.01277855695808,5.15,29.7733496474975,20.44,2509.59,0.989803115249901,0.00205212803685064,0.00814475671324798,25.1750701373561,0.00471850337411906,0.168777695834465,25.3485663365647
"Region_6",2018,55.8743736094875,30904.42,NA,NA,38.3182185507767,102.42,31006.84,0.99669685785459,NA,0.0033031421454105,14.4793512789041,NA,0.0880930837519561,14.5674443626561
"Region_7",2018,62.4747481549319,27833.25,NA,NA,93.8095733250147,108.26,27941.51,0.996125477828507,NA,0.00387452217149324,16.1804989730923,NA,0.252973221135279,16.4334721942275
"Region_8",2018,63.4401519661131,64238.46,0.447067238912732,0.5,28.1138342759673,626.32,64865.28,0.990336586845844,7.70828400031573e-06,0.0096557048701555,16.3350469274466,1.97462747325685e-06,0.188935385029893,16.5239842871039
"Region_9",2018,63.5069741123857,6707.19,NA,NA,100,2611.28,9318.47,0.719773739680441,NA,0.280226260319559,11.8847695856918,NA,19.5037477182413,31.3885173039331
"Region_2",2019,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0
"Region_4",2019,72.6446852517844,1844.62,94.6626149290946,121.49,14.0709666142283,9.66,1975.77,0.933620816188119,0.0614899507533772,0.00488923305850377,17.63387348749,3.33531813079081,0.0478821796542299,21.017073797935
"Region_5",2019,NA,9.38,NA,NA,NA,NA,9.38,1,NA,NA,NA,NA,NA,0
"Region_6",2019,67.4435420486915,37303.39,NA,NA,40.6378138936279,108.62,37412.01,0.997096654256213,NA,0.00290334574378655,17.484409833264,NA,0.0821179943073787,17.5665278275714
"Region_7",2019,86.1313051051375,38372.53,NA,NA,100,140.65,38513.18,0.996348003462711,NA,0.00365199653728931,22.3123560080567,NA,0.254178958995336,22.5665349670521
"Region_8",2019,73.1876627988973,74108.63,89.467095851216,100.06,31.2213843253434,695.55,74904.24,0.989378304886346,0.00133583893248233,0.00928585618117212,18.8266742972273,0.0684813098835265,0.201782430097079,19.0969380372079
"Region_9",2019,65.1049714884772,6875.96,NA,NA,100,1930.1,8806.06,0.780821388907184,NA,0.219178611092816,13.2171921082228,NA,15.25483133206,28.4720234402828
NA,2019,0.900789958586467,15.8,NA,NA,NA,NA,15.8,1,NA,NA,0.234205389232481,NA,NA,0.234205389232481
"Region_4",2020,94.5288267809687,2400.31,67.5393486052673,86.68,50.4282468099982,34.62,2521.61,0.951895812595921,0.0343748636783642,0.0137293237257149,23.3952145394264,1.3303088314057,0.481872624860803,25.2073959956929
"Region_6",2020,74.0724227915748,40969.86,NA,NA,32.5790907186256,87.08,41056.94,0.997879043104527,NA,0.00212095689547248,19.2179827776796,NA,0.0480927975870932,19.2660755752667
"Region_7",2020,74.2613891432778,33084.34,NA,NA,52.8404561367024,60.98,33145.32,0.998160222921366,NA,0.00183977707863433,19.2724388328432,NA,0.0676614033773218,19.3401002362205
"Region_8",2020,69.167185043598,70037.56,72.5143061516452,81.1,22.8961307119131,510.08,70628.74,0.99162975298724,0.00114825777721647,0.00722198923554349,17.8329420410975,0.0477109114669014,0.115087504237775,17.9957404568022
