"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n_years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","C_ref","Stock_Status_year.genus.region","Stock_Status_year.genus_mean","Stock_Status_final"
2022,"region_1","argopecten",24525,2,24525,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",24525,NA,0.201140826323479,0.201140826323479
2018,"region_1","callinectes",408,1,408,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",0,0,"genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 14 original and 4 gapfilled species-level recommendations pooled across 6 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",408,NA,1,1
2019,"region_1","carcharhinus",100,1,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1612.6875,1,0.917912691922096,1
2020,"region_1","carcharhinus",2453.25,4,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1612.6875,0.657367777438092,0.840254795907287,0.657367777438092
2021,"region_1","carcharhinus",1790,3,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1612.6875,0.900942737430168,0.908990132979099,0.900942737430168
2022,"region_1","carcharhinus",2107.5,3,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1612.6875,0.765213523131673,0.711998793987215,0.765213523131673
2023,"region_1","carcharhinus",35,2,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1612.6875,1,0.710591631015562,1
2024,"region_1","carcharhinus",50,1,1612.6875,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1612.6875,1,0.691928286240394,1
2018,"region_1","chione",147740,63,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",166104.6,1,0.873668762284093,1
2019,"region_1","chione",147278,88,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",166104.6,1,0.896598596505203,1
