ID,Region,Subregion,Class,Stock,Group,Name,EnglishName,ScientificName,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,FMSY,MSY,MSYBtrigger,B40,M,Fofl,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.high,q.start,q.end,btype,force.cmsy,Comment,Keep,Pick
24,E,Bahía Magdelena area (LP),,Atractoscion-E,Atractoscion,Atractoscion,Atractoscion,Atractoscion,dataMares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,None,TRUE,Assumed resilience to be High,1,0
1,E,Bahía Magdelena area (LP),,Callinectes-E,Callinectes,Callinectes,Callinectes,Callinectes,dataMares,2001,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,NA,NA,0.3,0.5,2010,0.3,0.5,0.3,0.5,NA,NA,None,TRUE,Assumed resilience to be High,1,1
14,E,Bahía Magdelena area (LP),,Caulolatilus-E,Caulolatilus,Caulolatilus,Caulolatilus,Caulolatilus,dataMares,2001,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.5,0.8,2012,0.6,0.9,0.5,0.9,NA,NA,None,TRUE,Assumed resilience to be High,1,1
20,E,Bahía Magdelena area (LP),,Chione-E,Chione,Chione,Chione,Chione,dataMares,2001,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.1,0.3,2003,0.1,0.3,0.1,0.3,NA,NA,None,TRUE,Assumed resilience to be High,1,1
31,H,La Paz area (LG),,Clupeidae-H,Clupeidae,Clupeidae,Clupeidae,Clupeidae,dataMares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,TRUE,Assumed resilience to be High,1,0
7,D,Upper Gulf & Mexicali (UG),,Cynoscion-D,Cynoscion,Cynoscion,Cynoscion,Cynoscion,dataMares,2001,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.1,0.3,2013,0.1,0.3,0.1,0.3,NA,NA,None,TRUE,Assumed resilience to be High,1,1
8,E,Bahía Magdelena area (LP),,Cynoscion-E,Cynoscion,Cynoscion,Cynoscion,Cynoscion,dataMares,2001,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.1,0.3,2009,0.2,0.4,0.1,0.4,NA,NA,None,TRUE,None,1,1
4,E,Bahía Magdelena area (LP),,Farfantepenaeus-E,Farfantepenaeus,Farfantepenaeus,Farfantepenaeus,Farfantepenaeus,dataMares,2001,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,NA,NA,0.1,0.3,2009,0.2,0.4,0.1,0.3,NA,NA,None,TRUE,None,1,1
21,E,Bahía Magdelena area (LP),,Hexaplex-E,Hexaplex,Hexaplex,Hexaplex,Hexaplex,dataMares,2001,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.6,0.9,2007,0.7,1,0.6,1,NA,NA,None,TRUE,None,1,1
15,E,Bahía Magdelena area (LP),,Hyporthodus-E,Hyporthodus,Hyporthodus,Hyporthodus,Hyporthodus,dataMares,2001,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.6,0.9,2011,0.7,1,0.6,1,NA,NA,None,TRUE,None,1,1
