Metadata:,"This file was built by Erica Ferrer with input from Melanie Frazier using details from the Monterey Bay Aquarium Seafood Watch Program; accessed April and May 2026. Details were finalized on May 6, 2026. Contact E. Ferrer with any additional questions at emferrer@ucsd.edu. Additional notes and information about these estimates can be found in the unabridged version of this file on Mazu or available at: https://docs.google.com/spreadsheets/d/1v6sctFVw_Q7lu9UGumr0GDwPQRhtjH9K29MwAKGKnAU/edit?gid=801787279#gid=801787279",,,,,,,,,,
Abridged,Major_Functional_Group,Family,Genus,Common_Name,Species,Country_or_Region,Farming_Method,SeafoodWatch_Score,Est_Sustainability_Score,Sustainability_Est_Confidence,Sustainability_Est_Reasoning
keep,"Shrimps, prawns",Penaeidae,Litopenaeus,Whiteleg shrimp,Litopenaeus vannamei,Mexico,Ponds,2.64,2.64,High,Score given by Seafood Watch (species & country match)
ignore,"Shrimps, prawns",Penaeidae,Litopenaeus,Blue shrimp,Litopenaeus stylirostris,NA,Ponds,NA,2.64,Medium-High,Interpolated based on: Mexico score for Whiteleg shrimp (ponds)
keep,"Shrimps, prawns",Penaeidae,Farfantepenaeus,Brown shrimp,Farfantepenaeus californiensis,NA,Ponds,NA,2.64,Medium-High,Interpolated based on: Mexico score for Whiteleg shrimp (ponds)
keep,"Shrimps, prawns",Penaeidae,Penaeus,Shrimp,Penaeus (Litpenaeus) spp.,NA,NA,NA,2.64,Medium-High,Interpolated based on: Mexico score for Whiteleg shrimp (ponds)
keep,Molluscs excl. Cephalopods,Pectinidae,Argopecten,Scallop,Argopecten spp.,Worldwide,Bottom culture,6.71,6.71,Medium-High,Interpolated based on: Worldwide score for Argopecten spp. (bottom culture)
ignore,Molluscs excl. Cephalopods,Pectinidae,Argopecten,Scallop,Argopecten spp.,Worldwide,Off-bottom culture,6.71,6.71,Medium-High,Interpolated based on: Worldwide score for Argopecten spp. (off-bottom culture)
ignore,Molluscs excl. Cephalopods,Pectinidae,Argopecten,Scallop,Argopecten purpuratus,Worldwide,All production methods,NA,6.71,Medium-High,Interpolated based on: Worldwide score for Argopecten spp. (bottom and off-bottom culture)
keep,Molluscs excl. Cephalopods,Ostreidae,Crassostrea,Crassostrea oyster,"Crassostrea spp., Ostrea spp., Saccostrea spp.",Worldwide,Off-bottom culture,6.69,6.69,Medium-High,Interpolated based on: Worldwide score for Crassostrea spp. (bottom culture)
ignore,Molluscs excl. Cephalopods,Ostreidae,Crassostrea,Crassostrea oyster,"Crassostrea spp., Ostrea spp., Saccostrea spp.",Worldwide,Bottom culture,6.69,6.69,Medium-High,Interpolated based on: Worldwide score for Crassostrea spp. (off-bottom culture)
keep,Molluscs excl. Cephalopods,Ostreidae,Magallana,Kumamoto oyster,Magallana sikamea,Worldwide,All production methods,NA,6.69,Medium-High,Interpolated based on: Worldwide score for Crassostrea spp. (off-bottom culture)
