year,state,Count_n_rnpa,Count_n_eu_name,Count_n_unique_vessels
2019,BAJA CALIFORNIA,320,320,114
2019,BAJA CALIFORNIA SUR,620,620,61
2019,JALISCO,231,230,37
2019,NAYARIT,400,400,198
2019,SINALOA,1562,1561,1048
2019,SONORA,758,758,490
2020,BAJA CALIFORNIA,316,316,104
2020,BAJA CALIFORNIA SUR,561,561,74
2020,JALISCO,195,195,28
2020,NAYARIT,392,392,211
2020,SINALOA,1468,1468,978
2020,SONORA,684,684,436
2021,BAJA CALIFORNIA,377,377,121
2021,BAJA CALIFORNIA SUR,547,547,78
2021,JALISCO,194,194,41
2021,NAYARIT,382,382,218
2021,SINALOA,1466,1465,1198
2021,SONORA,677,677,409
2022,BAJA CALIFORNIA,377,377,114
2022,BAJA CALIFORNIA SUR,540,540,99
2022,JALISCO,179,179,41
2022,NAYARIT,369,369,215
2022,SINALOA,1533,1533,1284
2022,SONORA,672,672,398
2023,BAJA CALIFORNIA,389,389,125
2023,BAJA CALIFORNIA SUR,533,533,100
2023,JALISCO,182,182,43
2023,NAYARIT,362,362,206
2023,SINALOA,1556,1556,1252
2023,SONORA,652,652,360
2024,BAJA CALIFORNIA,391,391,132
2024,BAJA CALIFORNIA SUR,544,544,107
2024,JALISCO,155,155,34
2024,NAYARIT,364,364,205
2024,SINALOA,1495,1495,1111
2024,SONORA,625,625,325
