"Year","Major_Functional_Group","estimated_taxa_group","Stock","Total_Landed_Biomass","n_Records"
2000,"Cephalopods","CALAMAR","Dosidicus",27436745,2234
2000,"Crustaceans","LANGOSTA","Panulirus",1972301,1648
2000,"Demersal marine fishes","BANDERA","Gerres",33861.9,136
2000,"Demersal marine fishes","BAQUETA","Hyporthodus",326310.7,717
2000,"Demersal marine fishes","BERRUGATA","Menticirrhus",360064.3,669
2000,"Demersal marine fishes","BERRUGATA","Micropogonias",1918419.6,1859
2000,"Demersal marine fishes","CABRILLA","Mycteroperca",458407.25,1382
2000,"Demersal marine fishes","CABRILLA","Paralabrax",4242902.4,2018
2000,"Demersal marine fishes","CARPA","Balistes",1108183.9,1163
2000,"Demersal marine fishes","CORVINA","Cynoscion",1977866.85,3493
2000,"Demersal marine fishes","GUACHINANGO","Lutjanus",2182817.1,4700
2000,"Demersal marine fishes","LENGUADO","Brotula",842936.5,375
2000,"Demersal marine fishes","LISA","Mugil",1913907.8,1859
2000,"Demersal marine fishes","MERO","Hyporthodus niphobles",42591.4,175
2000,"Demersal marine fishes","MOJARRA","Anisotremus",201735.1,567
2000,"Demersal marine fishes","MOJARRA","Calamus",3421,26
2000,"Demersal marine fishes","MOJARRA","Diapterus",27275,100
2000,"Demersal marine fishes","MOJARRA","Eucinostomus argenteus",56945,391
2000,"Demersal marine fishes","MOJARRA","Eugerres",11800,99
2000,"Demersal marine fishes","MOJARRA","Haemulon",232461.9,1002
2000,"Demersal marine fishes","OTRAS","Acanthurus",230,2
2000,"Demersal marine fishes","OTRAS","Anoplopoma",38981,139
2000,"Demersal marine fishes","OTRAS","Diplectrum",42273.65,139
2000,"Demersal marine fishes","OTRAS","Merluccius",214923.4,154
2000,"Demersal marine fishes","OTRAS","Microlepidotus",469928.5,12
2000,"Demersal marine fishes","OTRAS","Nematistius",698.4,11
2000,"Demersal marine fishes","OTRAS","Orthopristis",29854,122
2000,"Demersal marine fishes","OTRAS","Parapsettus",2142,4
2000,"Demersal marine fishes","OTRAS","Pseudupeneus",43705.4,48
2000,"Demersal marine fishes","OTRAS","Scorpaena",84929,249
2000,"Demersal marine fishes","OTRAS","Sphoeroides",363590.95,998
2000,"Demersal marine fishes","OTRAS","Stereolepis",383.6,3
2000,"Demersal marine fishes","OTRAS","Synodus",42018,81
