estimated_taxa_group,ScientificName,Resilience,Resilience_Source,Added
abulon,NA,Low,MAREA_priors,Dec_2025
algas,NA,High,my_best_guess,Dec_2025
almeja,NA,Medium,MAREA_priors,Dec_2025
atun,NA,Medium,my_best_guess,Dec_2025
bandera,NA,High,best_guess_Serranidae,pre_Dec2025
barrilete,NA,Medium,best_guess_Katsuwonus.pelamis,pre_Dec2025
baqueta,NA,Medium,my_best_guess,Dec_2025
berrugata,NA,Medium,Ferrer et al_2022,pre_Dec2025
bonito,NA,Medium,my_best_guess,Dec_2025
cabrilla,NA,Low,Ferrer et al_2022,pre_Dec2025
calamar,NA,High,Ferrer et al_2022,pre_Dec2025
camaron,NA,High,Sealifebase_Penaeus californiensis,Dec_2025
caracol,NA,Medium,Ferrer et al_2022,pre_Dec2025
carpa,NA,NA,exclude_freshwater_fish,Dec_2025
cazon,NA,Very Low,best_guess_Squalus.suckleyi,pre_Dec2025
cintilla,NA,High,Fishbase_Trichiurus brevis,Dec_2025
corvina,NA,Medium,Ferrer et al_2022,pre_Dec2025
erizo,NA,High,my_best_guess,Dec_2025
guachinango,NA,Medium,Ferrer et al_2022,pre_Dec2025
jaiba,NA,Medium,Ferrer et al_2022,pre_Dec2025
jurel,NA,Medium,Ferrer et al_2022,pre_Dec2025
langosta,NA,Medium,Ferrer et al_2022,pre_Dec2025
lenguado,NA,Low,Ferrer et al_2022,pre_Dec2025
lisa,NA,Medium,Ferrer et al_2022,pre_Dec2025
mero,NA,Very Low,best_guess_Mycteroperca.jordani,pre_Dec2025
macarela,NA,Medium,my_best_guess,Dec_2025
mojarra,NA,NA,exclude_freshwater_fish,pre_Dec2025
ostion,NA,High,Ferrer et al_2022,pre_Dec2025
otras,NA,NA,Too broad of a category to classify,Dec_2025
pierna,NA,Low,Ferrer et al_2022,pre_Dec2025
pampano,NA,Medium,FishBase_Trachinotus paitensis,Dec_2025
pargo,NA,Low,MAREA_priors,Dec_2025
pulpo,NA,High,Ferrer et al_2022,pre_Dec2025
raya y similares,NA,Low,my_best_guess,Dec_2025
robalo,NA,High,best_guess_Centropomus.robalito,pre_Dec2025
ronco,NA,Medium,MAREA_priors,Dec_2025
sardina,NA,High,my_best_guess,Dec_2025
sierra,NA,Medium,Ferrer et al_2022,pre_Dec2025
tiburon,NA,Low,best_guess_Mycteroperca.jordani,pre_Dec2025
