Stock,Class,EnglishName
ABULON,Benthic_Mollusc,Abalone
ALGAS,Seaweed,Seaweed
ALMEJA,Benthic_Mollusc,Clam
ANCHOVETA,Small_Pelagic_Fish,Anchovy
ATUN,Large_Pelagic_Fish,Tuna
BAGRE,Freshwater_Fish,Catfish
BANDERA,Large_Reef_Fish,Bandera_Seabass
BAQUETA,Large_Reef_Fish,Baqueta_Grouper
BARRILETE,Large_Pelagic_Fish,Skipjack
BERRUGATA,TBD,Croaker
BESUGO,TBD,Seabream
BONITO,Large_Pelagic_Fish,Bonito
CABRILLA,TBD,Cabrilla_Seabass
CALAMAR,Pelagic_Mollusc,Squid
CAMARON,Benthic_Crustacean,Shrimp
CARACOL,Benthic_Mollusc,Snail
CARPA,Freshwater_Fish,Carp
CAZON,Shark_Small,Dogfish
CHARAL,Freshwater_Fish,Silversides_freshwater
CINTILLA,TBD,Ribbonfish_unsure
CORVINA,TBD,Corvina
ERIZO,Benthic_Echinoderm,Urchin
ESMEDREGAL,TBD,Cobia
ESPECIE GENERICA,Other,Generic_Species
FAUNA,Other,Gerneric_Fauna
GUACHINANGO,TBD,Snapper
JAIBA,Benthic_Crustacean,Crab
JUREL,TBD,Jack_Mackerel
LANGOSTA,Benthic_Crustacean,Lobster
LANGOSTINO,Benthic_Crustacean,Prawn
LEBRANCHA,TBD,Mullet
LENGUADO,Benthic_Fish,Sole
LISA,TBD,Grey_Mullet
LOBINA,TBD,Lobina_Seabass
MACARELA,Small_Pelagic_Fish,Mackerel
MERO,Large_Reef_Fish,Grouper
MOJARRA,TBD,Mojarra_brackish
ORNATO,Other,Ornamental
OSTION,Benthic_Mollusc,Oyster
OTRAS,Other,Other
PAMPANO,TBD,Pampano
PARGO,TBD,Snapper
PECES DE ORNATO,Other,Ornamental_Fish
PEPINO DE MAR,Benthic_Echinoderm,Sea_Cucumer
PETO,Large_Pelagic_Fish,Wahoo
PIERNA,TBD,Ocean_Whitefish
PULPO,Benthic_Mollusc,Octopus
RAYA Y SIMILARES,Rays,Rays_and_Similar
ROBALO,Rays,Rays
RONCO,TBD,Grunt
RUBIA Y VILLAJAIBA,TBD,Red_Snapper
RUBIO,TBD,Red_Snapper_unsure
SARDINA,Small_Pelagic_Fish,Sardine
SARGAZO,Seaweed,Sargassum
SIERRA,TBD,Sierra_Snapper
TIBURON,Shark,Shark
TRUCHA,Freshwater_Fish,Trout_freshwater
