Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Hem,anchovy & sardine (small pelagics),,leatherjacks,sardina,oligoplites,carangidae,,,,,,,,
Hem,anchovy & sardine (small pelagics),,thread herrings,sardina,opisthonema,clupeidae,,,,,,,,
Hem,anchovy & sardine (small pelagics),,sardines,sardina,sardinops,clupeidae,,,,,,,,
Hem,anchovy & sardine (small pelagics),,round herrings,sardina,etrumeus,dussumieriidae,,,,,,,,
Hem,anchovy & sardine (small pelagics),,anchovies,sardina,cetengraulis,engraulidae,,,,,,,,
Hem,cephalopods,,jumbo squid,calamar,dosidicus,ommastrephidae,,,,,,,,
Hem,crustaceans,,spiny lobsters,langosta,panulirus,palinuridae,,,,,,,,
Hem,crustaceans,,swimming crabs,jaiba,callinectes,portunidae,,,,,,,,
Hem,demersal marine fishes,,surgeonfishes,otras,acanthurus,acanthuridae,,,,,,,,
Hem,demersal marine fishes,,sablefish,otras,anoplopoma,anoplopomatidae,,,,,,,,
Hem,demersal marine fishes,,sea catfishes,bagre,ariopsis,ariidae,,,,,,,,
Hem,demersal marine fishes,,triggerfishes,carpa,balistes,balistidae,,,,,,,,
Hem,demersal marine fishes,,snooks,robalo,centropomus,centropomidae,,,,,,,,
Hem,demersal marine fishes,,whiptail stingrays,raya y similares,hypanus,dasyatidae,,,,,,,,
Hem,demersal marine fishes,,flounders,otras,parapsettus,ephippidae,,,,,,,,
Hem,demersal marine fishes,,mojarras / silver-biddies,bandera,gerres,gerreidae,,,,,,,,
Hem,demersal marine fishes,,mojarras,mojarra,diapterus,gerreidae,,,,,,,,
Hem,demersal marine fishes,,mojarras,mojarra,eucinostomus,gerreidae,,,,,,,,
Hem,demersal marine fishes,,mojarras,mojarra,eugerres,gerreidae,,,,,,,,
Hem,demersal marine fishes,,porkfishes/grunts,mojarra,anisotremus,haemulidae,,,,,,,,
Hem,demersal marine fishes,,sargo,otras,microlepidotus,haemulidae,,,,,,,,
Hem,demersal marine fishes,,grunts,otras,orthopristis,haemulidae,,,,,,,,
Hem,demersal marine fishes,,salemas,otras,xenichthys,haemulidae,,,,,,,,
Hem,demersal marine fishes,,grunts,ronco,haemulopsis,haemulidae,,,,,,,,
Hem,demersal marine fishes,,grunts,rubio,haemulon,haemulidae,,,,,,,,
Hem,demersal marine fishes,,snappers,guachinango,lutjanus,lutjanidae,,,,,,,,
Hem,demersal marine fishes,,Mexican hogfish,pargo,hoplopagrus,lutjanidae,,,,,,,,
Hem,demersal marine fishes,,tilefishes,pierna,caulolatilus,malacanthidae,,,,,,,,
Hem,demersal marine fishes,,hakes,otras,merluccius,merlucciidae,,,,,,,,
Hem,demersal marine fishes,,mullets,lisa,mugil,mugilidae,,,,,,,,
Hem,demersal marine fishes,,eagle rays,raya y similares,aetobatus,myliobatidae,,,,,,,,
Hem,demersal marine fishes,,devil rays,raya y similares,mobula,myliobatidae,,,,,,,,
Hem,demersal marine fishes,,roosterfish,otras,nematistius,nematistiidae,,,,,,,,
Hem,demersal marine fishes,,cusk-eels,lenguado,brotula,ophidiidae,,,,,,,,
Hem,demersal marine fishes,,giant sea bass,otras,stereolepis,polyprionidae,,NOT FOUND IN THE GULF,,,,,,
Hem,demersal marine fishes,,guitarfishes,raya y similares,pseudobatos,rhinobatidae,,,,,,,,
Hem,demersal marine fishes,,parrotfishes,otras,nicholsina,scaridae,,,,,,,,
Hem,demersal marine fishes,,king croakers,berrugata,menticirrhus,sciaenidae,,,,,,,,
Hem,demersal marine fishes,,croakers,berrugata,micropogonias,sciaenidae,,,,,,,,
Hem,demersal marine fishes,,corvina / croaker?,corvina,cynoscion,sciaenidae,,,,,,,,
Hem,demersal marine fishes,,croakers,corvina,larimus,sciaenidae,,,,,,,,
Hem,demersal marine fishes,,scorpionfishes,otras,scorpaena,scorpaenidae,,,,,,,,
Hem,demersal marine fishes,,groupers,baqueta,hyporthodus,serranidae,,,,,,,,
Hem,demersal marine fishes,,groupers,cabrilla,mycteroperca,serranidae,,,,,,,,
Hem,demersal marine fishes,,sand basses,cabrilla,paralabrax,serranidae,,,,,,,,
Hem,demersal marine fishes,,groupers,mero,epinephelus,serranidae,,,,,,,,
Hem,demersal marine fishes,,sand perches,otras,diplectrum,serranidae,,,,,,,,
Hem,demersal marine fishes,,basslets,otras,paranthias,serranidae,,,,,,,,
Hem,demersal marine fishes,,porgies,mojarra,calamus,sparidae,,,,,,,,
Hem,demersal marine fishes,,lizardfishes,otras,synodus,synodontidae,,,,,,,,
Hem,demersal marine fishes,,puffers,otras,sphoeroides,tetraodontidae,,,,,,,,
Hem,diadromous fishes,depleted | agotadas,milkfish,otras,chanos,chanidae,depleted | agotadas,,,,,,,
Hem,echinoderms,,sea urchins,erizo,mesocentrotus,strongylocentrotidae,,NOT FOUND IN THE GULF.,,,,,,
Hem,jellies,healthy | saludable,cannonball jellyfish,otras,stomolophus,stomolophidae,healthy | saludable,,,,,,,
Hem,molluscs excl. cephalopods,depleted | agotadas,abalones,abulon,haliotis,haliotidae,,NOT FOUND IN THE GULF,,,,,,
Hem,molluscs excl. cephalopods,,geoducks,almeja,panopea,hiatellidae,depleted | agotadas,,sustainable | sostenible,,High,,Low,
Hem,molluscs excl. cephalopods,,murex snails,caracol,hexaplex,muricidae,depleted | agotadas,,depleted | agotadas,,High,,Moderate IUU,
Hem,molluscs excl. cephalopods,,scallops,almeja,argopecten,pectinidae,depleted | agotadas,,depleted | agotadas,,High,,Moderate IUU,
Hem,molluscs excl. cephalopods,,conchs,caracol,lobatus,strombidae,depleted | agotadas,,sustainable | sostenible,,High,,Low,
Hem,molluscs excl. cephalopods,,turban snails,caracol,turbo,turbinidae,sustainable | sostenible,,sustainable | sostenible,,High,,Low,
Hem,molluscs excl. cephalopods,,venus clams,almeja,chione,veneridae,sustainable | sostenible,,sustainable | sostenible,,High,,Low,
Hem,molluscs excl. cephalopods,,venus clams,almeja,dosinia,veneridae,sustainable | sostenible,,sustainable | sostenible,,High,,Low,
Hem,molluscs excl. cephalopods,,chocolate clams,almeja,megapitaria,veneridae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,High,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),depleted | agotadas,needlefish,otras,ablennes,belonidae,healthy | saludable,,healthy | saludable,,Medium,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,jacks,bonito,caranx,carangidae,healthy | saludable,,healthy | saludable,,Medium,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,bonitos,bonito,sarda,carangidae,healthy | saludable,,healthy | saludable,,Medium,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,amberjacks / yellowtails,esmedregal,seriola,carangidae,depleted | agotadas,,depleted | agotadas,,Low,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,pompano,pampano,trachinotus,carangidae,depleted | agotadas,,depleted | agotadas,,Low,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,moonfish / lookdowns,ronco,selene,carangidae,depleted | agotadas,,depleted | agotadas,,Medium,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,mahi-mahi,otras,coryphaena,coryphaenidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Low,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,sailfish,otras,istiophorus,istiophoridae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Medium,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,true tunas,atun,thunnus,scombridae,depleted | agotadas,,depleted | agotadas,,Low,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,little tunas,barrilete,euthynnus,scombridae,depleted | agotadas,,depleted | agotadas,,Low,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,skipjack tuna,barrilete,katsuwonus,scombridae,depleted | agotadas,,depleted | agotadas,,Low,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,mackerels,macarela,scomber,scombridae,healthy | saludable,,healthy | saludable,,Medium,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,Spanish mackerels,sierra,scomberomorus,scombridae,depleted | agotadas,,depleted | agotadas,,Medium,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,barracudas,otras,sphyraena,sphyraenidae,depleted | agotadas,,depleted | agotadas,,Medium,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,cutlassfishes,cintilla,trichiurus,trichiuridae,depleted | agotadas,,depleted | agotadas,,Medium,,Moderate IUU,
Hem,pelagic marine fish (excl. anchovy & sardine),,swordfish,otras,xiphias,xiphiidae,severely depleted | Las existencias están gravemente agotadas,,severely depleted | Las existencias están gravemente agotadas,,Low,,Moderate IUU,
Hem,sharks,severely depleted | Las existencias están gravemente agotadas,thresher sharks,tiburon,alopias,alopiidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Very Low,,Extremely High IUU,
Hem,sharks,,requiem sharks,tiburon,carcharhinus,carcharhinidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Very Low,,Extremely High IUU,
Hem,sharks,,tiger shark,tiburon,galeocerdo,carcharhinidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Very Low,,Extremely High IUU,
Hem,sharks,,whitetip reef shark,tiburon,nasolamia,carcharhinidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Very Low,,Extremely High IUU,
Hem,sharks,,blue shark,tiburon,prionace,carcharhinidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Very Low,,Extremely High IUU,
Hem,sharks,,nurse sharks,tiburon,ginglymostoma,ginglymostomatidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Very Low,,Extremely High IUU,
Hem,sharks,,mako sharks,tiburon,isurus,lamnidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Very Low,,Extremely High IUU,
Hem,sharks,,salmon sharks,tiburon,lamna,lamnidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Very Low,,Extremely High IUU,
Hem,sharks,,hammerhead sharks,tiburon,sphyrna,sphyrnidae,severely depleted | Las existencias están gravemente agotadas,,depleted | agotadas,,Very Low,,Extremely High IUU,
Hem,sharks,,angel sharks,tiburon,squatina,squatinidae,sustainable | sostenible,,healthy | saludable,,Low,,Moderate IUU,
Hem,sharks,,smoothhounds,tiburon,mustelus,triakidae,sustainable | sostenible,,healthy | saludable,,Low,,Moderate IUU,
Hem,"shrimps, prawns",depleted | agotadas,penaeid shrimp,camaron,farfantepenaeus,penaeidae,depleted | agotadas,,depleted | agotadas,,High,,High IUU,
Hem,"shrimps, prawns",,white shrimp,camaron,litopenaeus / penaus,penaeidae,sustainable | sostenible,,sustainable | sostenible,,High,,High IUU,
Hem,"shrimps, prawns",,rough shrimp,camaron,rimapenaeus,penaeidae,sustainable | sostenible,,sustainable | sostenible,,High,,High IUU,
