Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Jorge,anchovy & sardine (small pelagics),,leatherjacks,sardina,oligoplites,carangidae,healthy | saludable,MSC certified,,,,,,
Jorge,anchovy & sardine (small pelagics),,thread herrings,sardina,opisthonema,clupeidae,healthy | saludable,MSC certified,,,,,,
Jorge,anchovy & sardine (small pelagics),,sardines,sardina,sardinops,clupeidae,healthy | saludable,MSC certified,,,,,,
Jorge,anchovy & sardine (small pelagics),,round herrings,sardina,etrumeus,dussumieriidae,healthy | saludable,MSC certified,,,,,,
Jorge,anchovy & sardine (small pelagics),,anchovies,sardina,cetengraulis,engraulidae,healthy | saludable,MSC certified,,,,,,
Jorge,cephalopods,depleted | agotadas,jumbo squid,calamar,dosidicus,ommastrephidae,severely depleted | Las existencias están gravemente agotadas,"Due to the ecology/biology of the giant squid, it ""moves out"" of the Gulf. It is not necessary to be depleted.",,,,,,
Jorge,crustaceans,depleted | agotadas,spiny lobsters,langosta,panulirus,palinuridae,depleted | agotadas,"The klobster fishery in the gulf is 100% elegal, because the legal fishing gear is traps. However, fishing with traps in the the gulf is impossible. The fishery is by hand.",,,,,,
Jorge,crustaceans,,swimming crabs,jaiba,callinectes,portunidae,depleted | agotadas,"In 1996 a good fishing trip was to catch 1 ton of crab, now a capture of 100 kg is considered an excellent day.",,,,,,
Jorge,demersal marine fishes,,surgeonfishes,otras,acanthurus,acanthuridae,,It is not commercial,,,,,,
Jorge,demersal marine fishes,,sablefish,otras,anoplopoma,anoplopomatidae,,,,,,,,
Jorge,demersal marine fishes,,sea catfishes,bagre,ariopsis,ariidae,,,,,,,,
Jorge,demersal marine fishes,,triggerfishes,cochito,balistes,balistidae,severely depleted | Las existencias están gravemente agotadas,"Common name is Cochito, no carpa",,,,,,
Jorge,demersal marine fishes,,snooks,robalo,centropomus,centropomidae,,NOT FOUND IN THE GULF,,,,,,
Jorge,demersal marine fishes,,whiptail stingrays,raya y similares,hypanus,dasyatidae,depleted | agotadas,,,,,,,
Jorge,demersal marine fishes,,flounders,otras,parapsettus,ephippidae,depleted | agotadas,,,,,,,
Jorge,demersal marine fishes,,mojarras / silver-biddies,bandera,gerres,gerreidae,sustainable | sostenible,,,,,,,
Jorge,demersal marine fishes,,mojarras,mojarra,diapterus,gerreidae,sustainable | sostenible,,,,,,,
