"Stock","st_b.low","st_b.hi","Status"
"ACANTHURIDAE",0.6,0.9,"new"
"ALBULIDAE",0.6,0.9,"new"
"ALOPIIDAE",0.6,0.9,"new"
"ALOSIDAE",0.3,0.5,"sustainable"
"ANOPLOPOMATIDAE",0.6,0.9,"new"
"APOGONIDAE",0.6,0.9,"new"
"ARCIDAE",0.1,0.3,"depleted"
"ARIIDAE",0.3,0.5,"sustainable"
"ATHERINIDAE",0.3,0.5,"sustainable"
"BALAENOPTERIDAE",0.6,0.9,"new"
"BALISTIDAE",0.1,0.3,"depleted"
"BELONIDAE",0.6,0.9,"new"
"CARANGIDAE",0.3,0.5,"sustainable"
"CARCHARHINIDAE",0.1,0.3,"depleted"
"CENTROPOMIDAE",0.1,0.3,"depleted"
"CHANIDAE",0.1,0.3,"depleted"
"CHITONIDAE",0.6,0.9,"new"
"CICHLIDAE",0.6,0.9,"new"
"CORALLIIDAE",0.6,0.9,"new"
"CORYPHAENIDAE",0.3,0.5,"sustainable"
"CYCLOPSETTIDAE",0.6,0.9,"new"
"DASYATIDAE",0.6,0.9,"new"
"DELPHINIDAE",0.5,0.8,"healthy"
"DOROSOMATIDAE",0.6,0.9,"new"
"DUSSUMIERIIDAE",0.6,0.9,"new"
"ENGRAULIDAE",0.1,0.3,"depleted"
"EPHIPPIDAE",0.6,0.9,"new"
"EPINEPHELIDAE",0.6,0.9,"new"
"ESCHRICHTIIDAE",0.6,0.9,"new"
"FISTULARIIDAE",0.6,0.9,"new"
"GALEOCERDONIDAE",0.6,0.9,"new"
"GELIDIACEAE",0.6,0.9,"new"
"GERREIDAE",0.1,0.3,"depleted"
"GERYONIDAE",0.6,0.9,"new"
"GINGLYMOSTOMATIDAE",0.6,0.9,"new"
"HAEMULIDAE",0.1,0.3,"depleted"
"HALIOTIDAE",0.1,0.3,"depleted"
"HEMIRAMPHIDAE",0.6,0.9,"new"
"HIATELLIDAE",0.6,0.9,"new"
"ICTALURIDAE",0.6,0.9,"new"
"ISTIOPHORIDAE",0.1,0.3,"depleted"
"KYPHOSIDAE",0.6,0.9,"new"
"LABRIDAE",0.6,0.9,"new"
"LAMNIDAE",0.6,0.9,"new"
"LATILIDAE",0.5,0.8,"healthy"
"LOBOTIDAE",0.6,0.9,"new"
"LOLIGINIDAE",0.6,0.9,"new"
"LUTJANIDAE",0.1,0.3,"depleted"
"MACTRIDAE",0.6,0.9,"new"
"MEGALOPIDAE",0.6,0.9,"new"
"MERLUCCIIDAE",0.5,0.8,"healthy"
"MOBULIDAE",0.6,0.9,"new"
"MOLIDAE",0.6,0.9,"new"
"MONACANTHIDAE",0.6,0.9,"new"
"MORONIDAE",0.6,0.9,"new"
"MUGILIDAE",0.1,0.3,"depleted"
"MUNIDIDAE",0.6,0.9,"new"
"MURAENIDAE",0.6,0.9,"new"
"MYLIOBATIDAE",0.6,0.9,"new"
"MYTILIDAE",0.1,0.3,"depleted"
"NEMATISTIIDAE",0.6,0.9,"new"
"OCTOPODIDAE",0.1,0.3,"depleted"
"OMMASTREPHIDAE",0.3,0.5,"sustainable"
"OPHICHTHIDAE",0.6,0.9,"new"
"OPHIDIIDAE",0.6,0.9,"new"
"OSTREIDAE",0.1,0.3,"depleted"
"PALINURIDAE",0.3,0.5,"sustainable"
"PANDALIDAE",0.6,0.9,"new"
"PARALICHTHYIDAE",0.6,0.9,"new"
"PECTINIDAE",0.1,0.3,"depleted"
"PENAEIDAE",0.1,0.3,"depleted"
"PHARIDAE",0.6,0.9,"new"
"PHOCOENIDAE",0.6,0.9,"new"
"PHYSETERIDAE",0.6,0.9,"new"
"PINNIDAE",0.6,0.9,"new"
"POLLICIPEDIDAE",0.6,0.9,"new"
"PORTUNIDAE",0.6,0.9,"new"
"PRISTIDAE",0.6,0.9,"new"
"RACHYCENTRIDAE",0.6,0.9,"new"
"RHINOBATIDAE",0.6,0.9,"new"
"SARGASSACEAE",0.6,0.9,"new"
"SCIAENIDAE",0.3,0.5,"sustainable"
"SCOMBRIDAE",0.3,0.5,"sustainable"
"SCORPAENIDAE",0.6,0.9,"new"
"SCYLIORHINIDAE",0.6,0.9,"new"
"SERRANIDAE",0.1,0.3,"depleted"
"SICYONIIDAE",0.6,0.9,"new"
"SOLIERIACEAE",0.6,0.9,"new"
"SPARIDAE",0.6,0.9,"new"
"SPHYRAENIDAE",0.1,0.3,"depleted"
"SPHYRNIDAE",0.6,0.9,"new"
"SPONDYLIDAE",0.6,0.9,"new"
"SPONGIIDAE",0.6,0.9,"new"
"SQUATINIDAE",0.6,0.9,"new"
"STOMOLOPHIDAE",0.6,0.9,"new"
"STROMATEIDAE",0.6,0.9,"new"
"STROMBIDAE",0.1,0.3,"depleted"
"STRONGYLOCENTROTIDAE",0.6,0.9,"new"
"STYLASTERIDAE",0.6,0.9,"new"
"SYNGNATHIDAE",0.6,0.9,"new"
"TETRAODONTIDAE",0.6,0.9,"new"
"TRIAKIDAE",0.6,0.9,"new"
"TRICHIURIDAE",0.5,0.8,"healthy"
"VENERIDAE",0.1,0.3,"depleted"
"XIPHIIDAE",0.1,0.3,"depleted"
"Others",0.1,0.3,"depleted"
