estimated_genus_name,Major_Functional_Group,Major_Functional_Group_adjusted,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Oligoplites,Anchovy & Sardine (small pelagics),Anchovy & Sardine (small pelagics),SARDINA,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
Harengula,Anchovy & Sardine (small pelagics),Anchovy & Sardine (small pelagics),SARDINA,NA,Clupeidae,Clupeidae,family name was estimated from genus name using taxize function
Opisthonema,Anchovy & Sardine (small pelagics),Anchovy & Sardine (small pelagics),SARDINA,Clupeidae,Clupeidae,Clupeidae,family name was estimated from previous keys
Sardinops,Anchovy & Sardine (small pelagics),Anchovy & Sardine (small pelagics),SARDINA,Clupeidae,Clupeidae,Clupeidae,family name was estimated from previous keys
Etrumeus,Anchovy & Sardine (small pelagics),Anchovy & Sardine (small pelagics),SARDINA,NA,Dussumieriidae,Dussumieriidae,family name was estimated from genus name using taxize function
Cetengraulis,Anchovy & Sardine (small pelagics),Anchovy & Sardine (small pelagics),SARDINA,NA,Engraulidae,Engraulidae,family name was estimated from genus name using taxize function
Engraulis,Anchovy & Sardine (small pelagics),Anchovy & Sardine (small pelagics),ANCHOVETA,Engraulidae,Engraulidae,Engraulidae,family name was estimated from previous keys
Lagodon,Anchovy & Sardine (small pelagics),Anchovy & Sardine (small pelagics),SARDINA,NA,Sparidae,Sparidae,family name was estimated from genus name using taxize function
Loligo,Cephalopods,Cephalopods,CALAMAR,NA,Loliginidae,Loliginidae,family name was estimated from genus name using taxize function
Octopus,Cephalopods,Cephalopods,PULPO,Octopodidae,Octopodidae,Octopodidae,family name was estimated from previous keys
Dosidicus,Cephalopods,Cephalopods,CALAMAR,Ommastrephidae,Ommastrephidae,Ommastrephidae,family name was estimated from previous keys
Calappa,Crustaceans,Crustaceans,OTRAS,NA,Calappidae,Calappidae,family name was estimated from genus name using taxize function
Chaceon,Crustaceans,Crustaceans,OTRAS,NA,Geryonidae,Geryonidae,family name was estimated from genus name using taxize function
Grapsus,Crustaceans,Crustaceans,OTRAS,NA,Grapsidae,Grapsidae,family name was estimated from genus name using taxize function
Ucides,Crustaceans,Crustaceans,OTRAS,NA,Ocypodidae,Ocypodidae,family name was estimated from genus name using taxize function
Pagurus,Crustaceans,Crustaceans,OTRAS,NA,Paguridae,Paguridae,family name was estimated from genus name using taxize function
Panulirus,Crustaceans,Crustaceans,LANGOSTA,Palinuridae,Palinuridae,Palinuridae,family name was estimated from previous keys
Pollicipes,Crustaceans,Crustaceans,OTRAS,Pollicipedidae,Pollicipedidae,Pollicipedidae,family name was estimated from previous keys
Callinectes,Crustaceans,Crustaceans,JAIBA,Portunidae,Portunidae,Portunidae,family name was estimated from previous keys
Evibacus,Crustaceans,Crustaceans,OTRAS,Scyllaridae,Scyllaridae,Scyllaridae,family name was estimated from previous keys
Acanthurus,Demersal marine fishes,Demersal marine fishes,OTRAS,Acanthuridae,Acanthuridae,Acanthuridae,family name was estimated from previous keys
Achirus,Demersal marine fishes,Demersal marine fishes,LENGUADO,NA,Achiridae,Achiridae,family name was estimated from genus name using taxize function
Albula,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Albulidae,Albulidae,family name was estimated from genus name using taxize function
Anoplopoma,Demersal marine fishes,Demersal marine fishes,OTRAS,Anoplopomatidae,Anoplopomatidae,Anoplopomatidae,family name was estimated from previous keys
Ariopsis,Demersal marine fishes,Demersal marine fishes,BAGRE,Ariidae,NA,Ariidae,family name was estimated from previous keys
Bagre,Demersal marine fishes,Demersal marine fishes,BANDERA,Ariidae,Ariidae,Ariidae,family name was estimated from previous keys
Balistes,Demersal marine fishes,Demersal marine fishes,CARPA,Balistidae,Balistidae,Balistidae,family name was estimated from previous keys
Perissias,Demersal marine fishes,Demersal marine fishes,OTRAS,Bothidae,NA,Bothidae,family name was estimated from previous keys
Centropomus,Demersal marine fishes,Demersal marine fishes,ROBALO,Centropomidae,Centropomidae,Centropomidae,family name was estimated from previous keys
Scorpaenichthys,Demersal marine fishes,Demersal marine fishes,OTRAS,Cottidae,Cottidae,Cottidae,family name was estimated from previous keys
Citharichthys,Demersal marine fishes,Demersal marine fishes,LENGUADO,NA,Cyclopsettidae,Cyclopsettidae,family name was estimated from genus name using taxize function
Dasyatis,Demersal marine fishes,Demersal marine fishes,RAYA Y SIMILARES,NA,Dasyatidae,Dasyatidae,family name was estimated from genus name using taxize function
Hypanus,Demersal marine fishes,Demersal marine fishes,RAYA Y SIMILARES,Dasyatidae,Dasyatidae,Dasyatidae,family name was estimated from previous keys
Elops,Demersal marine fishes,Demersal marine fishes,OTRAS,Elopidae,Elopidae,Elopidae,family name was estimated from previous keys
Chaetodipterus,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Ephippidae,Ephippidae,family name was estimated from genus name using taxize function
Parapsettus,Demersal marine fishes,Demersal marine fishes,OTRAS,Ephippidae,Ephippidae,Ephippidae,family name was estimated from previous keys
Fistularia,Demersal marine fishes,Demersal marine fishes,OTRAS,Fistulariidae,Fistulariidae,Fistulariidae,family name was estimated from previous keys
Diapterus,Demersal marine fishes,Demersal marine fishes,MOJARRA,Gerreidae,Gerreidae,Gerreidae,family name was estimated from previous keys
Eucinostomus,Demersal marine fishes,Demersal marine fishes,MOJARRA,Gerreidae,Gerreidae,Gerreidae,family name was estimated from previous keys
Eugerres,Demersal marine fishes,Demersal marine fishes,MOJARRA,Gerreidae,Gerreidae,Gerreidae,family name was estimated from previous keys
Gerres,Demersal marine fishes,Demersal marine fishes,BANDERA,Gerreidae,Gerreidae,Gerreidae,family name was estimated from previous keys
Bathygobius,Demersal marine fishes,Demersal marine fishes,OTRAS,Gobiidae,Gobiidae,Gobiidae,family name was estimated from previous keys
Gillichthys,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Gobiidae,Gobiidae,family name was estimated from genus name using taxize function
Gymnura,Demersal marine fishes,Demersal marine fishes,RAYA Y SIMILARES,Gymnuridae,Gymnuridae,Gymnuridae,family name was estimated from previous keys
Anisotremus,Demersal marine fishes,Demersal marine fishes,MOJARRA,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Haemulon,Demersal marine fishes,Demersal marine fishes,RUBIO,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Haemulopsis,Demersal marine fishes,Demersal marine fishes,RONCO,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Microlepidotus,Demersal marine fishes,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Orthopristis,Demersal marine fishes,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Pomadasys,Demersal marine fishes,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Xenichthys,Demersal marine fishes,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Holocentrus,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Holocentridae,Holocentridae,family name was estimated from genus name using taxize function
Kyphosus,Demersal marine fishes,Demersal marine fishes,OTRAS,Kyphosidae,Kyphosidae,Kyphosidae,family name was estimated from previous keys
Lamna,Demersal marine fishes,Demersal marine fishes,PETO,Lamnidae,Lamnidae,Lamnidae,family name was estimated from previous keys
Hoplopagrus,Demersal marine fishes,Demersal marine fishes,PARGO,Lutjanidae,Lutjanidae,Lutjanidae,family name was estimated from previous keys
Lutjanus,Demersal marine fishes,Demersal marine fishes,GUACHINANGO,Lutjanidae,Lutjanidae,Lutjanidae,family name was estimated from previous keys
Ocyurus,Demersal marine fishes,Demersal marine fishes,RUBIA Y VILLAJAIBA,Lutjanidae,Lutjanidae,Lutjanidae,family name was estimated from previous keys
Caulolatilus,Demersal marine fishes,Demersal marine fishes,PIERNA,Malacanthidae,Malacanthidae,Malacanthidae,family name was estimated from previous keys
Merluccius,Demersal marine fishes,Demersal marine fishes,OTRAS,Merlucciidae,Merlucciidae,Merlucciidae,family name was estimated from previous keys
Aluterus,Demersal marine fishes,Demersal marine fishes,OTRAS,Monacanthidae,Monacanthidae,Monacanthidae,family name was estimated from previous keys
