id,fishery_unit,fishery_unit_description,fishery,common_name,highest_taxonomic_id,highest_taxonomic_resolution,IHH_functional_detailed_groups_sm,IHH_functional_major_groups_sm,species,genus,subfamily,family,order,class,superclass,phylum,kingdom,ecosystem_type,motorization,orig_vessel_size,vessel_size_min,vessel_size_max,vessel_size_median,ISSCFV_vessel_type_code,ISSCFV_vessel_type_category,ISSCFG_gear_type_code,ISSCFG_gear_type_name,main_gear_category,main_gear_category_name
20710,MEXFISHTUN001,TUNIDOS/PACIFICO,Tunidos,ALBACORA,Thunnus alalunga,Species,"Tunas, bonitos, billfishes",Pelagic marine fishes,Thunnus alalunga,Thunnus,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic,Motorized vessel,7-7.6,7,7.6,7.3,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20711,MEXFISHTUN001,TUNIDOS/PACIFICO,Tunidos,ATUN,Thunnus alalunga,Species,"Tunas, bonitos, billfishes",Pelagic marine fishes,Thunnus alalunga,Thunnus,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic,Motorized vessel,7-7.6,7,7.6,7.3,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20712,MEXFISHTUN001,TUNIDOS/PACIFICO,Tunidos,ATUN ALETA AMARILLA,Thunnus albacares,Species,"Tunas, bonitos, billfishes",Pelagic marine fishes,Thunnus albacares,Thunnus,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic,Motorized vessel,7-7.6,7,7.6,7.3,09.9.0,Multipurpose vessels,9.32; 9.4; 9.5,Drifting longlines; Vertical lines; Trolling lines,9,Hooks and lines
20713,MEXFISHTUN001,TUNIDOS/PACIFICO,Tunidos,ATUN ALETA AZUL,Thunnus spp,Genus,"Tunas, bonitos, billfishes",Pelagic marine fishes,NEI,Thunnus,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic,Motorized vessel,7-7.6,7,7.6,7.3,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20714,MEXFISHTUN001,TUNIDOS/PACIFICO,Tunidos,ATUN PATUDO,Thunnus obesus,Species,"Tunas, bonitos, billfishes",Pelagic marine fishes,Thunnus obesus,Thunnus,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic,Motorized vessel,7-7.6,7,7.6,7.3,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20715,MEXFISHABU001,ABULON/PACIFICO,Abulon,ABULON,Haliotis spp,Genus,"Abalones, winkles, conchs",Molluscs excl. Cephalopods,NEI,Haliotis,NEI,Haliotidae,Lepetellida,Gastropoda,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,5.5-6.7,5.5,6.7,6.1,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20716,MEXFISHABU001,ABULON/PACIFICO,Abulon,ABULON AMARILLO,Haliotis corrugata,Species,"Abalones, winkles, conchs",Molluscs excl. Cephalopods,Haliotis corrugata,Haliotis,NEI,Haliotidae,Lepetellida,Gastropoda,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,5.5-6.7,5.5,6.7,6.1,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20717,MEXFISHABU001,ABULON/PACIFICO,Abulon,ABULON AZUL,Haliotis fulgens,Species,"Abalones, winkles, conchs",Molluscs excl. Cephalopods,Haliotis fulgens,Haliotis,NEI,Haliotidae,Lepetellida,Gastropoda,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,5.5-6.7,5.5,6.7,6.1,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20718,MEXFISHABU001,ABULON/PACIFICO,Abulon,ABULON CHINO,Haliotis sorenseni,Species,"Abalones, winkles, conchs",Molluscs excl. Cephalopods,Haliotis sorenseni,Haliotis,NEI,Haliotidae,Lepetellida,Gastropoda,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,5.5-6.7,5.5,6.7,6.1,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20719,MEXFISHABU001,ABULON/PACIFICO,Abulon,ABULON NEGRO,Haliotis cracherodii,Species,"Abalones, winkles, conchs",Molluscs excl. Cephalopods,Haliotis cracherodii,Haliotis,NEI,Haliotidae,Lepetellida,Gastropoda,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,5.5-6.7,5.5,6.7,6.1,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20720,MEXFISHABU001,ABULON/PACIFICO,Abulon,ABULON ROJO,Haliotis rufescens,Species,"Abalones, winkles, conchs",Molluscs excl. Cephalopods,Haliotis rufescens,Haliotis,NEI,Haliotidae,Lepetellida,Gastropoda,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,5.5-6.7,5.5,6.7,6.1,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20721,MEXFISHALM001,ALMEJA CATARINA/PACIFICO,Almeja,ALMEJA CATARINA,Argopecten ventricosus,Species,"Scallops, pectens",Molluscs excl. Cephalopods,Argopecten ventricosus,Argopecten,Pectininae,Pectinidae,Pectinida,Bivalvia,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20722,MEXFISHALM002,ALMEJA CHOCOLATA/PACIFICO,Almeja,ALMEJA CHOCOLATA,Megapitaria squalida,Species,"Clams, cockles, arkshells",Molluscs excl. Cephalopods,Megapitaria squalida,Megapitaria,NEI,Veneridae,Venerida,Bivalvia,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,6.4-10.5,6.4,10.5,8.45,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20723,MEXFISHALM002,ALMEJA CHOCOLATA/PACIFICO,Almeja,ALMEJA ROJA,Megapitaria aurantiaca,Species,"Clams, cockles, arkshells",Molluscs excl. Cephalopods,Megapitaria aurantiaca,Megapitaria,NEI,Veneridae,Venerida,Bivalvia,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,6.4-10.5,6.4,10.5,8.45,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20724,MEXFISHALM003,ALMEJA GENEROSA/PACIFICO,Almeja,ALMEJA GENEROSA,Panopea generosa,Species,"Clams, cockles, arkshells",Molluscs excl. Cephalopods,Panopea generosa,Panopea,NEI,Hiatellidae,Adapedonta,Bivalvia,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,6.1-6.7,6.1,6.7,6.4,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20725,MEXFISHALM004,ALMEJA MANO DE LEON/PACIFICO,Almeja,ALMEJA MANO DE LEON,Nodipecten subnodosus,Species,"Scallops, pectens",Molluscs excl. Cephalopods,Nodipecten subnodosus,Nodipecten,Pectininae,Pectinidae,Pectinida,Bivalvia,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,<8.2,ND,8.2,8.2,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20726,MEXFISHALM005,ALMEJA MULA/PACIFICO,Almeja,ALMEJA PATA DE MULA,Anadara tuberculosa,Species,"Clams, cockles, arkshells",Molluscs excl. Cephalopods,Anadara tuberculosa,Anadara,NEI,Arcidae,Arcida,Bivalvia,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,HG,Hand gathering,HG,Hand gathering
20727,MEXFISHALM006,ALMEJA RONOSA/PACIFICO,Almeja,ALMEJA ROÃ‘OSA,Chione californiensis,Species,"Clams, cockles, arkshells",Molluscs excl. Cephalopods,Chione californiensis,Chione,Chioninae,Veneridae,Venerida,Bivalvia,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,ND,ND,ND,,09.9.0,Multipurpose vessels,10.8; 10.2,"Diving; Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10,Miscellaneous gear
20728,MEXFISHALM007,ALMEJA/PACIFICO,Almeja,ALMEJA,Bivalvia,Class,"Clams, cockles, arkshells",Molluscs excl. Cephalopods,NEI,NEI,NEI,NEI,NEI,Bivalvia,NEI,Mollusca,Animalia,Pelagic; Reef,Motorized vessel,6.4-10.5,6.4,10.5,8.45,09.9.0,Multipurpose vessels,10.8; HG,Diving; Hand gathering,Multiple,Multiple
