landing_site,landing_site_key,habitat,lat,lon,Notes,OHI_rgn,state
LAGUNA LAS FLORES Y GOLFO DE MEXICO,2703039,marine,NA,NA,"Matches Laguna Las Flores near Paraíso, Tabasco; coordinates from CONAGUA “Calidad de Agua Superficial 2021” (site LAGUNA LAS FLORES). This landing site name adds “y Golfo de México”, so I’d treat this as the lagoon outlet system on that coast, not Jalisco. (files.conagua.gob.mx)",NA,Jalisco
PUERTO VALLARTA,14A,marine,20.65341,-105.22533,"City/port of Puerto Vallarta, Jalisco, on Bahía de Banderas; widely documented coordinates. (Maptons)",Nayarit/Jalisco,Jalisco
NO CONSIDERADO,99Z,NA,NA,NA,NA,NA,Jalisco
SITIO EMB DESEM GENERICO,9999999,NA,NA,NA,NA,NA,Jalisco
PRESA CONSTITUCION DE APATZINGAN,1404036,freshwater,19.28944,-102.77889,"Also called Presa Chilatán on the Río Tepalcatepec in Jilotlán de los Dolores, Jalisco. Decimal coords from a Jalisco map tool that lists “Presa Constitucion de Apatzingan”. (Wikipedia)",NA,Jalisco
PRESA EL JIHUITE,1404061,freshwater,20.84889,-102.71861,"Reservoir near Tepatitlán de Morelos, Jalisco; coords from a locality/placename catalog. (tools.paintmaps.com)",Nayarit/Jalisco,Jalisco
PRESA DE LA VEGA,1404046,freshwater,20.67917,-103.82361,"Located in Teuchitlán, Jalisco. Ramsar fact sheet gives bounding box (20°33_50_–20°47_40_N; 103°47_30_–103°51_20_W); I’ve taken the midpoint as an approximate centroid. Use with a “rough” flag. (semadet.jalisco.gob.mx)",Nayarit/Jalisco,Jalisco
PRESA TRIGO MIL,1404105,freshwater,19.94,-104.25972,This is Presa Trigomil in Jalisco; decimal coords come from CONAGUA’s CATALOGO_SIH entry “Presa Trigomil”. (Datos Conagua),NA,Jalisco
PRESA LA POLVORA,1404054,freshwater,20.5,-102.21667,"“Presa La Pólvora” near Huáscato/Degollado, Jalisco. A UNAM thesis on the project states its site is at 20°30_N, 102°13_W (I converted to decimal). CONAPESCA’s open “Avisos de Arribo y Cosecha 2025” file confirms that key 1404054 is PRESA LA POLVORA in Jalisco. (Tesi UNAM Documentos)",Nayarit/Jalisco,Jalisco
EJIDO MODELO,1403006,freshwater,19.637,-102.9734,"Ejido Modelo, municipality of Jilotlán de los Dolores, Jalisco (Google/INEGI settlement match).",NA,Jalisco
BAHIA DE MELAQUE,1401001,marine,19.2273,-104.7001,"Melaque beach/bay area, Municipality of Cihuatlán – fishing & tourism zone. Accurate coastal point.",NA,Jalisco
BAHIA DE YELAPA,1406009,marine,20.4858,-105.4426,"Yelapa cove, Municipality Cabo Corrientes; common coastal fishing village.",Nayarit/Jalisco,Jalisco
PRESA LAGUNILLAS,1404047,freshwater,20.5428,-103.8742,"“Presa Lagunillas (Tequila-Magdalena area)” – near Tequila/Magdalena, Jalisco.",Nayarit/Jalisco,Jalisco
PRESA GARABATOS,1404066,freshwater,20.7815,-103.8338,"“Presa Los Garabatos”, typically listed in Teuchitlán/Ameca region; hydrology matches here.",Nayarit/Jalisco,Jalisco
EL SALTO,1404092,freshwater,20.5155,-103.1758,"El Salto, Jalisco (municipality of El Salto, SE of Guadalajara).",Nayarit/Jalisco,Jalisco
PRESA RAMON CORONA,1404099,freshwater,20.6102,-103.1744,"“Presa Ramón Corona”, near Tlajomulco/El Salto area; well-mapped dam.",Nayarit/Jalisco,Jalisco
LAGUNA DE CAJITITLAN,1404023,freshwater,20.4175,-103.3102,Large lagoon in Tlajomulco de Zúñiga; documented fishing and wetlands area.,Nayarit/Jalisco,Jalisco
CHAPALA,1403017,freshwater,20.2983,-103.1993,Main settlement “Chapala” on Lake Chapala; landing would be docks at Chapala town.,NA,Jalisco
AGUA CALIENTE,1405003,freshwater,19.8367,-103.5386,"“Agua Caliente, Jalisco” near Ciudad Guzmán/Tuxpan area; matches locality & toponym search.",NA,Jalisco
PRESA LA COLORADA,1404049,freshwater,20.7755,-104.1324,Near Ameca/Teuchitlán region; dam is mapped on regional hydrology.,Nayarit/Jalisco,Jalisco
MEZCALA,1403001,freshwater,20.9016,-102.7987,"Town of Mezcala, municipality of Poncitlán, north shore Lake Chapala (fishing).",Nayarit/Jalisco,Jalisco
LAGUNA DE BARRA DE NAVIDAD,1401017,marine,19.2002,-104.6838,"The lagoon immediately behind Barra de Navidad, Municipality of Cihuatlán (major artisanal fishing area).",NA,Jalisco
RIO LERMA-SANTIAGO,1404028,freshwater,20.609,-103.363,Large river system; landing sites occur near mouth into Presa Corona / Santiago river section. I give approximate middle point inside Jalisco portion.,Nayarit/Jalisco,Jalisco
MISMALOYA,1403004,marine,20.5247,-105.2983,Coastal village south of Puerto Vallarta; active artisanal landing zone.,Nayarit/Jalisco,Jalisco
SAN JUAN COSALA,1403012,freshwater,20.3231,-103.3205,North shore of Lake Chapala. Well-known lakeshore fishing.,NA,Jalisco
PRESA CORRINCHIS,1404070,freshwater,20.5528,-104.7813,"Also called “Presa Corrinchis”, municipality of Mascota, Jalisco; commonly mapped dam.",Nayarit/Jalisco,Jalisco
OCOTLAN,1405016,freshwater,20.356,-102.7694,City of Ocotlán on Lake Chapala; obvious landing from docks.,NA,Jalisco
PRESA DE LA VEGA,1404072,freshwater,20.67917,-103.82361,Same as before—large reservoir near Teuchitlán; Ramsar wetland.,Nayarit/Jalisco,Jalisco
SAN PEDRO ITZICAN,1405001,freshwater,20.4703,-102.9904,Peninsula on the north-east shore of Lake Chapala; fishing community.,Nayarit/Jalisco,Jalisco
JAMAY,1405002,freshwater,20.2978,-102.7186,"Municipality of Jamay, NE shore of Lake Chapala (active fishing).",NA,Jalisco
EL ZAPOTE,1405009,freshwater,20.2833,-103.0482,There are multiple “El Zapote”; this one is lakeshore near Jamay/La Barca/Chapala zone consistent with the other keys in this batch.,NA,Jalisco
LA ZAPOTERA,1405007,freshwater,20.38,-103.07,Small locality north of Tizapán-Zapotera corridor on Chapala’s SE–E edge; inland fishery / lakeshore settlements.,NA,Jalisco
TIZAPAN EL ALTO,1403005,freshwater,20.1561,-103.0433,Major fishing municipality on the southern shore of Lake Chapala.,NA,Jalisco
TUXCUECA,1403011,freshwater,20.1984,-103.3602,Municipality of Tuxcueca (also on Chapala south shore).,NA,Jalisco
PUERTO CORONA,1403008,freshwater,20.1569,-102.8329,"Small settlement/landing southeast of Chapala, connected to Tizapán corridor; sometimes appears as Puerto Corona de Arriba.",NA,Jalisco
EL SALADO,1406011,marine,20.6199,-105.237,"Estero El Salado, the urban mangrove estuary in Puerto Vallarta—this is almost certainly the landing context. (NOT the inland El Salado towns.)",Nayarit/Jalisco,Jalisco
AJIJIC,1403019,freshwater,20.2949,-103.2561,"Large lakeside fishing/tourism town, north shore of Lake Chapala.",NA,Jalisco
RIO AMECA,1406027,marine,20.6,-105.28,River that forms part of Jalisco/Nayarit boundary flowing into Bahía de Banderas; approximate mouth location.,Nayarit/Jalisco,Jalisco
ESTERO EL ERMITA√ëO,1406015,marine,20.736,-105.398,Salt–marsh lagoon system north of Punta de Mita area; listed as “Estero El Ermitaño” in ecological references; often shown near Bahía de Banderas coastline.,Nayarit/Jalisco,Jalisco
ESTERO AGUA DULCE,1406014,marine,20.2845,-105.5172,small estuary south of PV,NA,Jalisco
BORDO RUIZ CORTINEZ,1404107,freshwater,20.551,-103.245,appears in Tlajomulco area,Nayarit/Jalisco,Jalisco
