"estimated_family_name","year","FAO_est_production","CONAPESCA_est_production","Major_Functional_Group","valid_pair","biomass_discrepancy","ratio_CONAPESCA.FAO"
"carangidae",2018,239.81,186.44,"Pelagic marine fish (excl. anchovy & sardine)",TRUE,53.37,77.74
"haliotidae",2018,21.56,0.387,"Molluscs excl. Cephalopods",TRUE,21.173,1.79
"lutjanidae",2018,0,5.148,"Demersal marine fishes",FALSE,NA,NA
"moronidae",2018,200,NA,"Demersal marine fishes",FALSE,NA,NA
"mytilidae",2018,105.26,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"ostreidae",2018,6304.82,4953.591,"Molluscs excl. Cephalopods",TRUE,1351.229,78.57
"others",2018,1031.62,NA,NA,FALSE,NA,NA
"pectinidae",2018,0,70.81,"Molluscs excl. Cephalopods",FALSE,NA,NA
"penaeidae",2018,155107.47,136603.94063,"Shrimps, prawns",TRUE,18503.52937,88.07
"scombridae",2018,9152.03,9352.0259,"Demersal marine fishes",TRUE,-199.9959,102.19
"albulidae",2019,9.57,NA,"Demersal marine fishes",FALSE,NA,NA
"carangidae",2019,495.1,495.1,"Pelagic marine fish (excl. anchovy & sardine)",TRUE,0,100
"centropomidae",2019,105.56,100.06,"Demersal marine fishes",TRUE,5.5,94.79
"gerreidae",2019,25.3,NA,"Demersal marine fishes",FALSE,NA,NA
"haliotidae",2019,94.78,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"lutjanidae",2019,121.49,121.4939,"Demersal marine fishes",TRUE,-0.00390000000000157,100
"moronidae",2019,1281.8,NA,"Demersal marine fishes",FALSE,NA,NA
"mytilidae",2019,80.14,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"ostreidae",2019,4419.9,4482.134,"Molluscs excl. Cephalopods",TRUE,-62.2340000000004,101.41
"others",2019,71.25,NA,NA,FALSE,NA,NA
"pectinidae",2019,0,112.03,"Molluscs excl. Cephalopods",FALSE,NA,NA
"penaeidae",2019,169514.87,163874.7512,"Shrimps, prawns",TRUE,5640.1188,96.67
"scombridae",2019,6656.93,8901.9252,"Demersal marine fishes",TRUE,-2244.9952,133.72
"carangidae",2020,531.38,431.878,"Pelagic marine fish (excl. anchovy & sardine)",TRUE,99.502,81.27
"centropomidae",2020,100.98,81.422,"Demersal marine fishes",TRUE,19.558,80.63
"gerreidae",2020,21.96,NA,"Demersal marine fishes",FALSE,NA,NA
"haliotidae",2020,52.3,0.292,"Molluscs excl. Cephalopods",TRUE,52.008,0.56
"lutjanidae",2020,107.47,86.6767,"Demersal marine fishes",TRUE,20.7933,80.65
"moronidae",2020,1737.39,NA,"Demersal marine fishes",FALSE,NA,NA
"mytilidae",2020,131,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"ostreidae",2020,5743.89,4632.451,"Molluscs excl. Cephalopods",TRUE,1111.439,80.65
"others",2020,38.45,NA,NA,FALSE,NA,NA
"palinuridae",2020,6.32,10.16,"Crustaceans",TRUE,-3.84,160.76
"pectinidae",2020,0,40.5,"Molluscs excl. Cephalopods",FALSE,NA,NA
"penaeidae",2020,212347.17,160861.24632,"Shrimps, prawns",TRUE,51485.92368,75.75
"scombridae",2020,4556.17,6920.5603,"Demersal marine fishes",TRUE,-2364.3903,151.89
"albulidae",2021,27.64,NA,"Demersal marine fishes",FALSE,NA,NA
"carangidae",2021,300.56,276.47,"Pelagic marine fish (excl. anchovy & sardine)",TRUE,24.09,91.98
"centropomidae",2021,0,280,"Demersal marine fishes",FALSE,NA,NA
"haliotidae",2021,44.95,7.6,"Molluscs excl. Cephalopods",TRUE,37.35,16.91
"lutjanidae",2021,86.4,86.9924,"Demersal marine fishes",TRUE,-0.592399999999984,100.69
"moronidae",2021,1872.3,NA,"Demersal marine fishes",FALSE,NA,NA
"mytilidae",2021,51.67,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"ostreidae",2021,6991.95,6048.474,"Molluscs excl. Cephalopods",TRUE,943.476,86.51
"others",2021,69.11,NA,NA,FALSE,NA,NA
"palinuridae",2021,0.04,0.255,"Crustaceans",TRUE,-0.215,637.5
"pectinidae",2021,0,36.85,"Molluscs excl. Cephalopods",FALSE,NA,NA
"penaeidae",2021,181927.9,175829.39323,"Shrimps, prawns",TRUE,6098.50677000001,96.65
"scombridae",2021,5510.99,9102.6635,"Demersal marine fishes",TRUE,-3591.6735,165.17
"carangidae",2022,89.56,89.56,"Pelagic marine fish (excl. anchovy & sardine)",TRUE,0,100
"gerreidae",2022,11.74,NA,"Demersal marine fishes",FALSE,NA,NA
"haliotidae",2022,40.32,8.677,"Molluscs excl. Cephalopods",TRUE,31.643,21.52
"lutjanidae",2022,138.82,138.8211,"Demersal marine fishes",TRUE,-0.00110000000000809,100
"moronidae",2022,1405.91,NA,"Demersal marine fishes",FALSE,NA,NA
"mytilidae",2022,223.04,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"ostreidae",2022,9417.67,5021.979,"Molluscs excl. Cephalopods",TRUE,4395.691,53.33
"others",2022,15.63,NA,NA,FALSE,NA,NA
"pectinidae",2022,0,17.5,"Molluscs excl. Cephalopods",FALSE,NA,NA
"penaeidae",2022,196306.9,193407.94232,"Shrimps, prawns",TRUE,2898.95767999999,98.52
"scombridae",2022,6258.45,9378.4465,"Demersal marine fishes",TRUE,-3119.9965,149.85
"carangidae",2023,270.67,270.67,"Pelagic marine fish (excl. anchovy & sardine)",TRUE,0,100
"centropomidae",2023,0,3,"Demersal marine fishes",FALSE,NA,NA
"haliotidae",2023,38.08,6.167,"Molluscs excl. Cephalopods",TRUE,31.913,16.19
"lutjanidae",2023,153.6,153.599,"Demersal marine fishes",TRUE,0.00100000000000477,100
"mytilidae",2023,1.44,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"ostreidae",2023,7905.44,4294.302,"Molluscs excl. Cephalopods",TRUE,3611.138,54.32
"others",2023,7.53,NA,NA,FALSE,NA,NA
"palinuridae",2023,0,8.205,"Crustaceans",FALSE,NA,NA
"paralichthyidae",2023,0,0.7,NA,FALSE,NA,NA
"pectinidae",2023,0,7.45,"Molluscs excl. Cephalopods",FALSE,NA,NA
"penaeidae",2023,192907.09,191492.095,"Shrimps, prawns",TRUE,1414.995,99.27
"scombridae",2023,5684.21,9083.217,"Demersal marine fishes",TRUE,-3399.007,159.8
"arcidae",2024,14.48,NA,NA,FALSE,NA,NA
"carangidae",2024,341.39,346.305,"Pelagic marine fish (excl. anchovy & sardine)",TRUE,-4.91500000000002,101.44
"centropomidae",2024,8.5,8.78,"Demersal marine fishes",TRUE,-0.279999999999999,103.29
"gerreidae",2024,0,1.92,"Demersal marine fishes",FALSE,NA,NA
"haemulidae",2024,9.77,NA,"Demersal marine fishes",FALSE,NA,NA
"haliotidae",2024,36.63,7.6038,"Molluscs excl. Cephalopods",TRUE,29.0262,20.76
"hiatellidae",2024,0.18,4.0774,"Molluscs excl. Cephalopods",TRUE,-3.8974,2265.22
"lutjanidae",2024,68.64,68.64,"Demersal marine fishes",TRUE,0,100
"mugilidae",2024,0,4.634,"Demersal marine fishes",FALSE,NA,NA
"mytilidae",2024,0.27,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"ostreidae",2024,8536.7,6702.77197,"Molluscs excl. Cephalopods",TRUE,1833.92803,78.52
"others",2024,17.67,NA,NA,FALSE,NA,NA
"palinuridae",2024,0.1,3.921,"Crustaceans",TRUE,-3.821,3921
"paralichthyidae",2024,5.38,17.508737,NA,TRUE,-12.128737,325.44
"pectinidae",2024,5.56,2.3,"Molluscs excl. Cephalopods",TRUE,3.26,41.37
"penaeidae",2024,215598.98,210874.1498562,"Shrimps, prawns",TRUE,4724.83014380001,97.81
"pinnidae",2024,121.62,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"sciaenidae",2024,104.96,7.212,"Demersal marine fishes",TRUE,97.748,6.87
"scombridae",2024,5627.41,9112.11102,"Demersal marine fishes",TRUE,-3484.70102,161.92
"spirulinaceae",2024,0.06,NA,NA,FALSE,NA,NA
"ulvaceae",2024,0.03,NA,NA,FALSE,NA,NA
"veneridae",2024,147.18,NA,"Molluscs excl. Cephalopods",FALSE,NA,NA
"centropomidae",2018,NA,0.5,"Demersal marine fishes",FALSE,NA,NA
"hiatellidae",2018,NA,26.477,"Molluscs excl. Cephalopods",FALSE,NA,NA
"nei",2018,NA,566.9045,NA,FALSE,NA,NA
"sciaenidae",2018,NA,5.853,"Demersal marine fishes",FALSE,NA,NA
"veneridae",2018,NA,40.803,"Molluscs excl. Cephalopods",FALSE,NA,NA
NA,2018,NA,255.519,NA,FALSE,NA,NA
"elopidae",2019,NA,9.574,"Demersal marine fishes",FALSE,NA,NA
"hiatellidae",2019,NA,1.938,"Molluscs excl. Cephalopods",FALSE,NA,NA
"nei",2019,NA,123.2423,NA,FALSE,NA,NA
"palinuridae",2019,NA,0.39,"Crustaceans",FALSE,NA,NA
"sciaenidae",2019,NA,76.5,"Demersal marine fishes",FALSE,NA,NA
"veneridae",2019,NA,39.4,"Molluscs excl. Cephalopods",FALSE,NA,NA
NA,2019,NA,256.398,NA,FALSE,NA,NA
"hiatellidae",2020,NA,3.54,"Molluscs excl. Cephalopods",FALSE,NA,NA
"nei",2020,NA,66.2578,NA,FALSE,NA,NA
"sciaenidae",2020,NA,113.82,"Demersal marine fishes",FALSE,NA,NA
"veneridae",2020,NA,22.83,"Molluscs excl. Cephalopods",FALSE,NA,NA
NA,2020,NA,247.042,NA,FALSE,NA,NA
"hiatellidae",2021,NA,2.263,"Molluscs excl. Cephalopods",FALSE,NA,NA
"nei",2021,NA,129.207,NA,FALSE,NA,NA
"sciaenidae",2021,NA,6.462,"Demersal marine fishes",FALSE,NA,NA
"veneridae",2021,NA,24.164,"Molluscs excl. Cephalopods",FALSE,NA,NA
NA,2021,NA,181.956,NA,FALSE,NA,NA
"hiatellidae",2022,NA,11.356,"Molluscs excl. Cephalopods",FALSE,NA,NA
"nei",2022,NA,120.093,NA,FALSE,NA,NA
"sciaenidae",2022,NA,4.144,"Demersal marine fishes",FALSE,NA,NA
"veneridae",2022,NA,66.392,"Molluscs excl. Cephalopods",FALSE,NA,NA
"family missing but genus available",2022,NA,37.62,NA,FALSE,NA,NA
NA,2022,NA,545.209,NA,FALSE,NA,NA
"hiatellidae",2023,NA,7.998,"Molluscs excl. Cephalopods",FALSE,NA,NA
"nei",2023,NA,108.984,NA,FALSE,NA,NA
"sciaenidae",2023,NA,0.95,"Demersal marine fishes",FALSE,NA,NA
"veneridae",2023,NA,60.209,"Molluscs excl. Cephalopods",FALSE,NA,NA
NA,2023,NA,298.885,NA,FALSE,NA,NA
"elopidae",2024,NA,0.2,"Demersal marine fishes",FALSE,NA,NA
"nei",2024,NA,129.09,NA,FALSE,NA,NA
NA,2024,NA,87.5189,NA,FALSE,NA,NA
"carangidae",2025,NA,209.1571,"Pelagic marine fish (excl. anchovy & sardine)",FALSE,NA,NA
"centropomidae",2025,NA,55.545,"Demersal marine fishes",FALSE,NA,NA
"gerreidae",2025,NA,0.04,"Demersal marine fishes",FALSE,NA,NA
"haemulidae",2025,NA,0.03,"Demersal marine fishes",FALSE,NA,NA
"haliotidae",2025,NA,0.56,"Molluscs excl. Cephalopods",FALSE,NA,NA
"hiatellidae",2025,NA,0.2653,"Molluscs excl. Cephalopods",FALSE,NA,NA
"lutjanidae",2025,NA,49.5,"Demersal marine fishes",FALSE,NA,NA
"mugilidae",2025,NA,0.33,"Demersal marine fishes",FALSE,NA,NA
