"state_reported","office_name_reported","landing_site_reported","year_reported","month_reported","receipt_date_reported","period_start_reported","period_end_reported","eu_rnpa_reported","eu_name_reported","vessel_rnpa_reported","vessel_name_reported","fleet_reported","aquaculture_reported","est_aquaculture_production","est_sector","taxa_group_reported","est_taxa_group","taxa_name_reported","clean_taxa_name","common_name_clean","scientific_name_reported","est_Major_Functional_Group","landed_weight_reported","live_weight_reported","est_weight_kg","value_reported"
"SONORA","HUATABAMPO",NA,2023,5,2023-05-02,NA,NA,"2609003450","INTERNACIONAL DE SISTEMAS ACUATICOS SPR DE RL","26001909","INTERNACIONAL DE SISTEMAS ACUATICOS SPR DE RL",NA,NA,"likely aquaculture","marine: aquaculture","OSTION","OSTION","OSTION JAPONES DE CULTIVO  ENT. FCO.","OSTION JAPONES","ostion japones",NA,"molluscs excl. cephalopods",4000,4000,4000,160000
"SINALOA","CULIACAN","LA ARENITAS",2021,11,2021-11-10,2021-11-10,2021-11-10,"2502000124","SOCIEDAD COOPERATIVA DE PESCADORES DE EL BRINCO, S.C.L. DE C.V.","0000000_",NA,"small_scale","no","possibly aquaculture","marine: small-scale capture","CAMARON","CAMARON","CAMARON AZUL ENT. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",2165,2165,2165,259800
"SINALOA","TOPOLOBAMPO","TOPOLOBAMPO",2016,7,2016-07-20,2016-07-16,2016-07-19,"2511002152","SCPP RIBEREÑOS DE TOPOLOBAMPO SC DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","TIBURON","TIBURON","TORO ENT. FCO.","TORO","toro",NA,"sharks",100,100,100,500
"SINALOA","MAZATLAN","MAZATLAN",2010,2,2010-01-29,2010-12-28,2010-01-16,"2508009897","PESQUERA JAHAIRA, SA DE CV","00021436","PAWLING IV",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","CORVINA","CORVINA","CORVINA ENT. FCA.","CORVINA","corvina",NA,"demersal marine fishes",235,235,235,2350
"SONORA","GUAYMAS","GUAYMAS",2021,11,2021-11-10,2021-11-05,2021-11-07,"2604011565","PESQUERA COSTA ROCA SA DE CV","00100784","DON EMILIANO","large_scale",NA,"unlikely aquaculture","marine: large-scale capture","SARDINA","SARDINA","SARDINA MONTERREY ENT. FCA. (SARDINOPS SAGAX)","SARDINA MONTERREY (SARDINOPS SAGAX)","sardina monterrey","Sardinops Sagax","anchovy & sardine (small pelagics)",48663,56449.08,56449.08,145989
"SINALOA","MAZATLAN","EMBARCADERO ISLA DE LA PIEDRA",2015,5,2015-05-18,2015-05-04,2015-05-16,"2508013204","REGINO ZATARAIN ZAMUDIO","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","TIBURON","TIBURON","TORO ENT. FCO.","TORO","toro",NA,"sharks",130,130,130,390
"SINALOA","ESCUINAPA","LA BRECHA",2008,5,2008-05-24,2008-05-19,2008-05-24,"2504001567","SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA PESCADORES DE LA BRECHA SC DE RL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","PARGO","GUACHINANGO","PARGO DESV. FCO.","PARGO","pargo",NA,"demersal marine fishes",18,19.8,19.8,720
"SINALOA","MAZATLAN","MAZATLAN",2007,10,2007-10-19,2007-10-12,2007-10-19,"2508010887","PESQUERA FATIMA, SA DE CV","00055822","LOS GUICOS",NA,NA,"not aquaculture","marine: fishery sector yet to be classified","TIBURON","TIBURON","TIBURON ALETA SECA DE","TIBURON","tiburon",NA,"sharks",169,0,169,8450
"SINALOA","ESCUINAPA","PUNTA DE GRANO",2015,10,2015-10-12,2015-10-09,2015-10-12,"2504001484","SCP Y COMERCIALIZACION DE PRODUCTOS DEL MAR DE TEACAPAN, SC DE RL.","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","LISA","LISA","LISA ENT. FCA. (MUGIL CEPHALUS)","LISA (MUGIL CEPHALUS)","lisa","Mugil Cephalus","demersal marine fishes",50,50,50,500
"SONORA","BAHIA KINO","BAHIA KINO",2024,2,2024-02-29,2024-02-08,2024-02-10,"2611002599","LUIS RAUL COTA CHAN","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","CORVINA","CORVINA","CORVINA ALETA AMARILLA ENT. FCA.","CORVINA ALETA AMARILLA","corvina aleta amarilla",NA,"demersal marine fishes",110,110,110,1650
"BAJA CALIFORNIA SUR","LA PAZ","EL SARGENTO",2014,5,2014-05-30,2014-05-25,2014-05-30,"0305000069","SCPP EJIDAL DE RIBERA EL SARGENTO Y SU ANEXO LA VENTANA SCL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","PERICO ENT. FCO.","PERICO","perico",NA,"pelagic marine fish (excl. anchovy & sardine)",687,687,687,13740
"NAYARIT","SANTIAGO IXCUINTLA","CENTRO RECEPCION COOP. OSTRICAMICHIN",2022,12,2022-12-12,2022-12-10,2022-12-12,"1806000475","SCPP EN GRAL Y AC OSTRICAMICHIN SC DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","CORVINA","CORVINA","CORVINA DESV. FCA.","CORVINA","corvina",NA,"demersal marine fishes",350,385,385,7000
