"Major_Functional_Group","recorded_taxa_group","estimated_genus_name","estimated_species_name","states","n_records_2000.2025"
"anchovy & sardine (small pelagics)","ANCHOVETA","engraulis","engraulis mordax","SINALOA, SONORA",5888
"anchovy & sardine (small pelagics)","ANCHOVETA",NA,"unknown","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",6390
"anchovy & sardine (small pelagics)","SARDINA","cetengraulis","cetengraulis mysticetus","BAJA CALIFORNIA, SINALOA, SONORA",1404
"anchovy & sardine (small pelagics)","SARDINA","cetengraulis","cetengraulis mysticetus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",10459
"anchovy & sardine (small pelagics)","SARDINA","etrumeus","etrumeus acuminatus","SONORA",632
"anchovy & sardine (small pelagics)","SARDINA","etrumeus","etrumeus teres","BAJA CALIFORNIA SUR, SINALOA, SONORA",1697
"anchovy & sardine (small pelagics)","SARDINA","harengula","harengula thrissina","SINALOA, SONORA",21
"anchovy & sardine (small pelagics)","SARDINA","lagodon","lagodon rhomboides","SINALOA",1
"anchovy & sardine (small pelagics)","SARDINA","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",2236
"anchovy & sardine (small pelagics)","SARDINA","oligoplites","oligoplites altus","SINALOA, SONORA",264
"anchovy & sardine (small pelagics)","SARDINA","opisthonema","opisthonema libertate","SINALOA, SONORA",7018
"anchovy & sardine (small pelagics)","SARDINA","opisthonema","opisthonema berlangai","BAJA CALIFORNIA SUR, SINALOA, SONORA",23861
"anchovy & sardine (small pelagics)","SARDINA","sardinops","sardinops caeruleus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",18784
"anchovy & sardine (small pelagics)","SARDINA","sardinops","sardinops sagax","BAJA CALIFORNIA SUR, SINALOA, SONORA",6563
"anchovy & sardine (small pelagics)","SARDINA","sardinops","sardinops sagax","BAJA CALIFORNIA SUR, SINALOA, SONORA",1450
"anchovy & sardine (small pelagics)","SARDINA",NA,"unknown","BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",772
"cephalopods","CALAMAR","dosidicus","dosidicus gigas","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",48127
"cephalopods","CALAMAR","loligo","loligo opalescens","SINALOA, SONORA",13
"cephalopods","CALAMAR",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",19531
"cephalopods","PULPO","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",21635
"cephalopods","PULPO","octopus","octopus maya","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, SONORA",43
"cephalopods","PULPO",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, SONORA",587
"crustaceans","JAIBA","callinectes","callinectes bellicosus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",13262
"crustaceans","JAIBA","callinectes","callinectes sapidus","BAJA CALIFORNIA, SINALOA, SONORA",13
"crustaceans","JAIBA","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",161309
"crustaceans","JAIBA",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",7454
"crustaceans","LANGOSTA","nei","nei","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",76
"crustaceans","LANGOSTA","panulirus","panulirus argus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",3773
"crustaceans","LANGOSTA","panulirus","panulirus sp","SONORA",2
"crustaceans","LANGOSTA","panulirus","panulirus gracilis","JALISCO, NAYARIT, SINALOA, SONORA",159
"crustaceans","LANGOSTA","panulirus","panulirus inflatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",1401
"crustaceans","LANGOSTA","panulirus","panulirus interruptus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",4753
"crustaceans","LANGOSTA",NA,"unknown","BAJA CALIFORNIA SUR",23
"crustaceans","LANGOSTA",NA,NA,"BAJA CALIFORNIA",1
"crustaceans","OTRAS","calappa","calappa granulata","BAJA CALIFORNIA",2
